symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
LAZIOUSDT,2022-01-01-00:00,2022-01-02-00:00,first,"[0.3179950698438784, 0.20049301561216104, 0.14050944946589974, 0.08874281018898932, 0.062448644207066556, 0.06409202958093672, 0.043549712407559574, 0.038619556285949055, 0.043549712407559574]",0.0126527874653281,2.7773508524032198
LAZIOUSDT,2022-01-01-00:00,2022-01-02-00:00,second,"[0.12325390304026294, 0.11503697617091208, 0.10517666392769104, 0.09860312243221035, 0.09695973705834018, 0.09449465899753492, 0.09942481511914544, 0.08545603944124898, 0.09120788824979457, 0.09038619556285948]",0.0039596529437894,3.313377671980389
LAZIOUSDT,2022-01-02-00:00,2022-01-03-00:00,first,"[0.31009023789991796, 0.1911402789171452, 0.14109926168990977, 0.09762100082034454, 0.08367514356029532, 0.05004101722723544, 0.04840032813781788, 0.03691550451189499, 0.04101722723543889]",0.0101054827786598,2.798284411513758
LAZIOUSDT,2022-01-02-00:00,2022-01-03-00:00,second,"[0.13781788351107466, 0.10582444626743231, 0.10418375717801477, 0.10500410172272355, 0.10500410172272355, 0.09433962264150944, 0.08613617719442165, 0.09351927809680066, 0.08203445447087777, 0.08613617719442165]",0.0055630339650057,3.306052883665956
LAZIOUSDT,2022-01-03-00:00,2022-01-04-00:00,first,"[0.2962962962962963, 0.20634920634920634, 0.12169312169312169, 0.08616780045351474, 0.08087679516250945, 0.06651549508692366, 0.05517762660619804, 0.04157218442932729, 0.045351473922902494]",0.0071007769796466,2.8416091375718526
LAZIOUSDT,2022-01-03-00:00,2022-01-04-00:00,second,"[0.13000755857898716, 0.10657596371882086, 0.11186696900982615, 0.12018140589569161, 0.09221466364323508, 0.09523809523809523, 0.08238851095993953, 0.0944822373393802, 0.08238851095993953, 0.08465608465608465]",0.0066711707441866,3.3045633616237025
LAZIOUSDT,2022-01-04-00:00,2022-01-05-00:00,first,"[0.30478395061728397, 0.1736111111111111, 0.12654320987654322, 0.08873456790123457, 0.08333333333333333, 0.06558641975308642, 0.05864197530864197, 0.043209876543209874, 0.05555555555555555]",0.0044352464073533,2.8724574934583824
LAZIOUSDT,2022-01-04-00:00,2022-01-05-00:00,second,"[0.10570987654320987, 0.11188271604938271, 0.12962962962962962, 0.09567901234567901, 0.10339506172839506, 0.10416666666666667, 0.08950617283950617, 0.08333333333333333, 0.07716049382716049, 0.09953703703703703]",0.0091848211857251,3.307550218431468
LAZIOUSDT,2022-01-05-00:00,2022-01-06-00:00,first,"[0.30849220103986136, 0.1949740034662045, 0.12305025996533796, 0.08665511265164645, 0.1022530329289428, 0.05545927209705372, 0.04072790294627383, 0.043327556325823226, 0.045060658578856154]",0.0109814970372714,2.814589718280988
LAZIOUSDT,2022-01-05-00:00,2022-01-06-00:00,second,"[0.12045060658578856, 0.12564991334488734, 0.1048526863084922, 0.1048526863084922, 0.09185441941074524, 0.10051993067590988, 0.09792027729636049, 0.07105719237435008, 0.08232235701906412, 0.10051993067590988]",0.0073930178017801,3.3047226043495384
LAZIOUSDT,2022-01-06-00:00,2022-01-07-00:00,first,"[0.3104500381388253, 0.17315026697177727, 0.11365369946605644, 0.09916094584286804, 0.08543096872616324, 0.07170099160945843, 0.059496567505720827, 0.04271548436308162, 0.04424103737604882]",0.0053732267766829,2.860481054732822
LAZIOUSDT,2022-01-06-00:00,2022-01-07-00:00,second,"[0.11136536994660565, 0.11670480549199085, 0.10678871090770405, 0.09153318077803203, 0.09839816933638444, 0.11441647597254005, 0.09000762776506484, 0.09305873379099924, 0.08390541571319603, 0.09382151029748284]",0.0064169690031676,3.313451949970369
LAZIOUSDT,2022-01-07-00:00,2022-01-08-00:00,first,"[0.28510938602681724, 0.16937191249117856, 0.13620324629498942, 0.09244883556810163, 0.08327452364149612, 0.07621736062103035, 0.05504587155963303, 0.05222300635144672, 0.05010585744530699]",0.0066771575688167,2.9101438022384865
LAZIOUSDT,2022-01-07-00:00,2022-01-08-00:00,second,"[0.11079745942131264, 0.12702893436838392, 0.10515172900494002, 0.10444601270289344, 0.10444601270289344, 0.09527170077628794, 0.09244883556810163, 0.09809456598447425, 0.07974594213126324, 0.08256880733944955]",0.0050271341165892,3.309670236604421
LAZIOUSDT,2022-01-08-00:00,2022-01-09-00:00,first,"[0.33358895705521474, 0.17868098159509202, 0.12653374233128833, 0.1004601226993865, 0.06901840490797546, 0.06058282208588957, 0.05521472392638037, 0.03987730061349693, 0.036042944785276074]",0.0089541776322139,2.7828656607661184
LAZIOUSDT,2022-01-08-00:00,2022-01-09-00:00,second,"[0.13957055214723926, 0.10659509202453987, 0.12423312883435583, 0.10199386503067484, 0.09662576687116564, 0.1058282208588957, 0.08128834355828221, 0.07822085889570553, 0.08358895705521473, 0.08205521472392638]",0.0088907796871558,3.29635901663869
LAZIOUSDT,2022-01-09-00:00,2022-01-10-00:00,first,"[0.3012232415902141, 0.17737003058103976, 0.13379204892966362, 0.09480122324159021, 0.10091743119266056, 0.06498470948012232, 0.05198776758409786, 0.046636085626911315, 0.028287461773700305]",0.0071247810928868,2.838198221946332
LAZIOUSDT,2022-01-09-00:00,2022-01-10-00:00,second,"[0.11314984709480122, 0.12385321100917432, 0.11391437308868502, 0.10932721712538226, 0.10321100917431193, 0.09938837920489296, 0.09097859327217125, 0.09785932721712538, 0.06880733944954129, 0.07951070336391437]",0.0066349853672085,3.3031114632854552
LAZIOUSDT,2022-01-10-00:00,2022-01-11-00:00,first,"[0.3040650406504065, 0.1975609756097561, 0.13170731707317074, 0.1048780487804878, 0.08536585365853659, 0.05121951219512195, 0.05447154471544716, 0.032520325203252036, 0.038211382113821135]",0.0100946634197142,2.802892053144048
LAZIOUSDT,2022-01-10-00:00,2022-01-11-00:00,second,"[0.13008130081300814, 0.11544715447154472, 0.11300813008130081, 0.1048780487804878, 0.08292682926829269, 0.09674796747967479, 0.08780487804878048, 0.07723577235772358, 0.08617886178861789, 0.10569105691056911]",0.0074917278871331,3.3038280255704713
LAZIOUSDT,2022-01-11-00:00,2022-01-12-00:00,first,"[0.3080260303687636, 0.18004338394793926, 0.12292118582791034, 0.0911062906724512, 0.09038322487346348, 0.060014461315979754, 0.05567606652205351, 0.04193781634128706, 0.049891540130151846]",0.0058409306649679,2.8519473601246705
LAZIOUSDT,2022-01-11-00:00,2022-01-12-00:00,second,"[0.1193058568329718, 0.1193058568329718, 0.1272595806218366, 0.09038322487346348, 0.10773680404916848, 0.0911062906724512, 0.09255242227042661, 0.09327548806941431, 0.08893709327548807, 0.07013738250180766]",0.007114595063954,3.301385978480665
LAZIOUSDT,2022-01-12-00:00,2022-01-13-00:00,first,"[0.3008982035928144, 0.18413173652694612, 0.11826347305389222, 0.09730538922155689, 0.0845808383233533, 0.06287425149700598, 0.05464071856287425, 0.050149700598802395, 0.04715568862275449]",0.0033852542272384,2.8680042834330326
LAZIOUSDT,2022-01-12-00:00,2022-01-13-00:00,second,"[0.13622754491017963, 0.12425149700598802, 0.11002994011976049, 0.09056886227544911, 0.09356287425149701, 0.09356287425149701, 0.09131736526946108, 0.08982035928143713, 0.07709580838323353, 0.09356287425149701]",0.0073367266439574,3.3017694539824562
LAZIOUSDT,2022-01-13-00:00,2022-01-14-00:00,first,"[0.3069387755102041, 0.19673469387755102, 0.11183673469387755, 0.08734693877551021, 0.08, 0.07346938775510205, 0.0653061224489796, 0.04244897959183674, 0.035918367346938776]",0.0091572760480554,2.836362320649072
LAZIOUSDT,2022-01-13-00:00,2022-01-14-00:00,second,"[0.1306122448979592, 0.10612244897959183, 0.10938775510204081, 0.09306122448979592, 0.08571428571428572, 0.09224489795918367, 0.08816326530612245, 0.10938775510204081, 0.08897959183673469, 0.0963265306122449]",0.0086547430084948,3.309859504012352
LAZIOUSDT,2022-01-14-00:00,2022-01-15-00:00,first,"[0.3172866520787746, 0.17359591539022612, 0.12253829321663019, 0.09263311451495258, 0.08315098468271334, 0.05981035740335521, 0.05324580598103574, 0.05470459518599562, 0.043034281546316555]",0.0052841039529991,2.8444108773870806
LAZIOUSDT,2022-01-14-00:00,2022-01-15-00:00,second,"[0.13420860685630925, 0.11524434719183078, 0.12180889861415026, 0.0962800875273523, 0.09919766593727207, 0.09482129832239242, 0.08606856309263311, 0.09117432530999271, 0.07950401167031364, 0.08169219547775347]",0.0059386635385468,3.301315613687836
LAZIOUSDT,2022-01-15-00:00,2022-01-16-00:00,first,"[0.3237410071942446, 0.18794964028776978, 0.11241007194244604, 0.08093525179856115, 0.08633093525179857, 0.07913669064748201, 0.040467625899280574, 0.04316546762589928, 0.045863309352517985]",0.012003289283386,2.809600558465118
LAZIOUSDT,2022-01-15-00:00,2022-01-16-00:00,second,"[0.13309352517985612, 0.11061151079136691, 0.11600719424460432, 0.10971223021582734, 0.08363309352517985, 0.11061151079136691, 0.08902877697841727, 0.09352517985611511, 0.0710431654676259, 0.08273381294964029]",0.0086180174764991,3.2985129053407314
LAZIOUSDT,2022-01-16-00:00,2022-01-17-00:00,first,"[0.28489483747609945, 0.16921606118546845, 0.13097514340344169, 0.09369024856596558, 0.10611854684512428, 0.06787762906309751, 0.058317399617590825, 0.043021032504780114, 0.045889101338432124]",0.0076359134317303,2.89916700702918
LAZIOUSDT,2022-01-16-00:00,2022-01-17-00:00,second,"[0.12810707456978968, 0.11281070745697896, 0.11376673040152964, 0.10994263862332695, 0.08986615678776291, 0.09273422562141491, 0.08795411089866156, 0.08604206500956023, 0.07648183556405354, 0.1022944550669216]",0.0072566437541054,3.3054557666953506
LAZIOUSDT,2022-01-17-00:00,2022-01-18-00:00,first,"[0.33271547729379053, 0.17145505097312327, 0.09823911028730306, 0.09731232622798888, 0.08341056533827618, 0.07043558850787766, 0.06765523632993513, 0.037998146431881374, 0.04077849860982391]",0.0109931560822013,2.8192821376477557
LAZIOUSDT,2022-01-17-00:00,2022-01-18-00:00,second,"[0.12418906394810009, 0.10009267840593142, 0.13253012048192772, 0.10009267840593142, 0.0917516218721038, 0.08619091751621873, 0.0917516218721038, 0.09823911028730306, 0.0871177015755329, 0.08804448563484708]",0.0078305342844986,3.306290237171421
LAZIOUSDT,2022-01-18-00:00,2022-01-19-00:00,first,"[0.31175934366453967, 0.1814038286235187, 0.13217866909753875, 0.09115770282588878, 0.08659981768459435, 0.059252506836827715, 0.04649042844120328, 0.04740200546946217, 0.04375569735642662]",0.0068223159321342,2.8309328194591736
LAZIOUSDT,2022-01-18-00:00,2022-01-19-00:00,second,"[0.13035551504102097, 0.10756608933454877, 0.11850501367365543, 0.09206927985414767, 0.08933454876937101, 0.09480401093892434, 0.09298085688240657, 0.08568824065633546, 0.09389243391066546, 0.09480401093892434]",0.0072977600650646,3.309227506145274
LAZIOUSDT,2022-01-19-00:00,2022-01-20-00:00,first,"[0.31555555555555553, 0.19377777777777777, 0.12711111111111112, 0.09422222222222222, 0.08088888888888889, 0.06577777777777778, 0.042666666666666665, 0.04088888888888889, 0.03911111111111111]",0.008020465768388,2.80058399205866
LAZIOUSDT,2022-01-19-00:00,2022-01-20-00:00,second,"[0.11822222222222223, 0.12977777777777777, 0.11022222222222222, 0.09422222222222222, 0.11377777777777778, 0.09244444444444444, 0.09333333333333334, 0.08, 0.07822222222222222, 0.08977777777777778]",0.0071076797634438,3.303207516238522
LAZIOUSDT,2022-01-20-00:00,2022-01-21-00:00,first,"[0.2997967479674797, 0.18800813008130082, 0.13109756097560976, 0.10365853658536585, 0.0975609756097561, 0.059959349593495935, 0.041666666666666664, 0.03353658536585366, 0.044715447154471545]",0.0096008774516378,2.824362342829569
LAZIOUSDT,2022-01-20-00:00,2022-01-21-00:00,second,"[0.12703252032520326, 0.11585365853658537, 0.10873983739837398, 0.09044715447154472, 0.10569105691056911, 0.09247967479674797, 0.08638211382113821, 0.09552845528455285, 0.09044715447154472, 0.08739837398373984]",0.0050308500668043,3.310061853984544
LAZIOUSDT,2022-01-21-00:00,2022-01-22-00:00,first,"[0.3177723177723178, 0.15806715806715807, 0.13923013923013924, 0.07452907452907453, 0.1122031122031122, 0.0687960687960688, 0.04586404586404586, 0.036855036855036855, 0.04668304668304668]",0.0148512058163311,2.827048781449897
LAZIOUSDT,2022-01-21-00:00,2022-01-22-00:00,second,"[0.10974610974610975, 0.10647010647010648, 0.11302211302211303, 0.11384111384111384, 0.10237510237510238, 0.11056511056511056, 0.11466011466011466, 0.07862407862407862, 0.07207207207207207, 0.07862407862407862]",0.0101904642748297,3.3028167745087313
LAZIOUSDT,2022-01-22-00:00,2022-01-23-00:00,first,"[0.32475083056478404, 0.16611295681063123, 0.13122923588039867, 0.09302325581395349, 0.07973421926910298, 0.058970099667774084, 0.05149501661129568, 0.04983388704318937, 0.044850498338870434]",0.0067920683098621,2.8289444102846675
