symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
WINUSDT,2022-01-01-00:00,2022-01-02-00:00,first,"[0.36363636363636365, 0.22068008327550312, 0.14712005551700208, 0.09784871616932686, 0.046495489243580844, 0.02498265093684941, 0.02498265093684941, 0.029840388619014575, 0.04441360166551006]",0.0289589365027059,2.5691916986213927
WINUSDT,2022-01-01-00:00,2022-01-02-00:00,second,"[0.10687022900763359, 0.11589174184594032, 0.11103400416377515, 0.10131852879944483, 0.11242192921582235, 0.1054823039555864, 0.0916030534351145, 0.08743927827897294, 0.07702984038861901, 0.09090909090909091]",0.0062089355099112,3.311256302421833
WINUSDT,2022-01-02-00:00,2022-01-03-00:00,first,"[0.3816793893129771, 0.19777931991672448, 0.12907702984038863, 0.07356002775850104, 0.04371963913948647, 0.046495489243580844, 0.04302567661346287, 0.034004163775156145, 0.05065926439972242]",0.0247505603513722,2.6333755638934897
WINUSDT,2022-01-02-00:00,2022-01-03-00:00,second,"[0.10131852879944483, 0.12005551700208189, 0.12699514226231784, 0.10687022900763359, 0.09923664122137404, 0.09646079111727966, 0.10131852879944483, 0.09021512838306732, 0.0777238029146426, 0.0798056904927134]",0.0069647037288835,3.3061544221610455
WINUSDT,2022-01-03-00:00,2022-01-04-00:00,first,"[0.42083333333333334, 0.18263888888888888, 0.10069444444444445, 0.052083333333333336, 0.0375, 0.04652777777777778, 0.04791666666666667, 0.050694444444444445, 0.06111111111111111]",0.0314899084562212,2.587120727134289
WINUSDT,2022-01-03-00:00,2022-01-04-00:00,second,"[0.13958333333333334, 0.10416666666666667, 0.12222222222222222, 0.1076388888888889, 0.1, 0.10347222222222222, 0.08819444444444445, 0.07083333333333333, 0.08680555555555555, 0.07708333333333334]",0.0086818206061991,3.2946153964655407
WINUSDT,2022-01-04-00:00,2022-01-05-00:00,first,"[0.3861111111111111, 0.2548611111111111, 0.12152777777777778, 0.03888888888888889, 0.025694444444444443, 0.044444444444444446, 0.04652777777777778, 0.04513888888888889, 0.03680555555555556]",0.0364113261116799,2.5028093437871375
WINUSDT,2022-01-04-00:00,2022-01-05-00:00,second,"[0.13125, 0.12777777777777777, 0.09930555555555555, 0.11180555555555556, 0.09861111111111111, 0.08888888888888889, 0.09791666666666667, 0.08819444444444445, 0.07361111111111111, 0.08263888888888889]",0.0074952663963134,3.299571773049578
WINUSDT,2022-01-05-00:00,2022-01-06-00:00,first,"[0.39000693962526023, 0.2241498959056211, 0.13809854267869534, 0.0659264399722415, 0.04580152671755725, 0.034004163775156145, 0.03539208882720333, 0.031922276197085354, 0.03469812630117974]",0.0333767526403587,2.533573284326634
WINUSDT,2022-01-05-00:00,2022-01-06-00:00,second,"[0.11311589174184594, 0.12074947952810548, 0.1040943789035392, 0.10687022900763359, 0.1040943789035392, 0.09021512838306732, 0.10270645385149202, 0.09576682859125607, 0.08258154059680778, 0.0798056904927134]",0.0055865557846583,3.3108674235282916
