symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
ALPACAUSDT,2023-01-01-00:00,2023-01-02-00:00,first,"[0.5596707818930041, 0.102880658436214, 0.14814814814814814, 0.0411522633744856, 0.053497942386831275, 0.024691358024691357, 0.024691358024691357, 0.01646090534979424, 0.02880658436213992]",0.0626333772819713,2.1383734791033016
ALPACAUSDT,2023-01-01-00:00,2023-01-02-00:00,second,"[0.11522633744855967, 0.07818930041152264, 0.08641975308641975, 0.0411522633744856, 0.0823045267489712, 0.05761316872427984, 0.06995884773662552, 0.31275720164609055, 0.0823045267489712, 0.07407407407407407]",0.0444810424752974,3.0427441519452896
ALPACAUSDT,2023-01-02-00:00,2023-01-03-00:00,first,"[0.5346938775510204, 0.15918367346938775, 0.10612244897959183, 0.0326530612244898, 0.05714285714285714, 0.012244897959183673, 0.024489795918367346, 0.02857142857142857, 0.044897959183673466]",0.0519253070860087,2.201971016213132
ALPACAUSDT,2023-01-02-00:00,2023-01-03-00:00,second,"[0.1469387755102041, 0.06938775510204082, 0.0653061224489796, 0.05714285714285714, 0.061224489795918366, 0.08571428571428572, 0.07346938775510205, 0.24081632653061225, 0.09795918367346938, 0.10204081632653061]",0.0410312877075556,3.152885870535415
ALPACAUSDT,2023-01-03-00:00,2023-01-04-00:00,first,"[0.4970588235294118, 0.17352941176470588, 0.10294117647058823, 0.061764705882352944, 0.04411764705882353, 0.03235294117647059, 0.03823529411764706, 0.01764705882352941, 0.03235294117647059]",0.0435619617478734,2.3272895184913045
ALPACAUSDT,2023-01-03-00:00,2023-01-04-00:00,second,"[0.17352941176470588, 0.09117647058823529, 0.07058823529411765, 0.041176470588235294, 0.07647058823529412, 0.058823529411764705, 0.061764705882352944, 0.2411764705882353, 0.12058823529411765, 0.06470588235294118]",0.0475385612403426,3.1035875623545537
ALPACAUSDT,2023-01-04-00:00,2023-01-05-00:00,first,"[0.4849624060150376, 0.18233082706766918, 0.13345864661654136, 0.05451127819548872, 0.05639097744360902, 0.022556390977443608, 0.03007518796992481, 0.013157894736842105, 0.022556390977443608]",0.0441537529713968,2.285547521450721
ALPACAUSDT,2023-01-04-00:00,2023-01-05-00:00,second,"[0.13345864661654136, 0.09022556390977443, 0.11466165413533834, 0.08646616541353383, 0.07894736842105263, 0.07142857142857142, 0.09022556390977443, 0.16165413533834586, 0.10526315789473684, 0.06766917293233082]",0.0217229567068217,3.2685647757584912
ALPACAUSDT,2023-01-05-00:00,2023-01-06-00:00,first,"[0.49217002237136465, 0.1476510067114094, 0.15436241610738255, 0.049217002237136466, 0.06263982102908278, 0.03131991051454139, 0.020134228187919462, 0.02237136465324385, 0.020134228187919462]",0.0490141569347702,2.2971697914695555
ALPACAUSDT,2023-01-05-00:00,2023-01-06-00:00,second,"[0.14317673378076062, 0.07158836689038031, 0.058165548098434, 0.06263982102908278, 0.06935123042505593, 0.07829977628635347, 0.1029082774049217, 0.2058165548098434, 0.1342281879194631, 0.0738255033557047]",0.0390307413373214,3.191038508173125
ALPACAUSDT,2023-01-06-00:00,2023-01-07-00:00,first,"[0.587012987012987, 0.12727272727272726, 0.12467532467532468, 0.04155844155844156, 0.03116883116883117, 0.023376623376623377, 0.023376623376623377, 0.033766233766233764, 0.007792207792207792]",0.0635517758553346,2.0237841634401694
ALPACAUSDT,2023-01-06-00:00,2023-01-07-00:00,second,"[0.13506493506493505, 0.09350649350649351, 0.04935064935064935, 0.07012987012987013, 0.06493506493506493, 0.07012987012987013, 0.07792207792207792, 0.21298701298701297, 0.16103896103896104, 0.06493506493506493]",0.0422979195291126,3.160419372602585
ALPACAUSDT,2023-01-07-00:00,2023-01-08-00:00,first,"[0.5433526011560693, 0.14739884393063585, 0.10115606936416185, 0.049132947976878616, 0.046242774566473986, 0.031791907514450865, 0.03468208092485549, 0.028901734104046242, 0.017341040462427744]",0.0538494678871307,2.2139041692056947
ALPACAUSDT,2023-01-07-00:00,2023-01-08-00:00,second,"[0.10982658959537572, 0.057803468208092484, 0.07225433526011561, 0.049132947976878616, 0.0953757225433526, 0.07225433526011561, 0.057803468208092484, 0.26011560693641617, 0.13005780346820808, 0.0953757225433526]",0.0445259476083639,3.121598669895376
