symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
BEAMXUSDT,2023-11-14-00:00,2023-11-15-00:00,first,"[0.33016627078384797, 0.1330166270783848, 0.1163895486935867, 0.09026128266033254, 0.07363420427553444, 0.08788598574821853, 0.06413301662707839, 0.06175771971496437, 0.04275534441805225]",0.0148492751454326,2.8714326747941805
BEAMXUSDT,2023-11-14-00:00,2023-11-15-00:00,second,"[0.11163895486935867, 0.1187648456057007, 0.10926365795724466, 0.11163895486935867, 0.11401425178147269, 0.0855106888361045, 0.09738717339667459, 0.08788598574821853, 0.08076009501187649, 0.0831353919239905]",0.0060689565831623,3.3079102460478844
BEAMXUSDT,2023-11-15-00:00,2023-11-16-00:00,first,"[0.32546842470506593, 0.17418459403192227, 0.12491325468424705, 0.08049965301873699, 0.0652324774462179, 0.05759888965995836, 0.07147814018043026, 0.05759888965995836, 0.04302567661346287]",0.0098602198792011,2.832327419070903
BEAMXUSDT,2023-11-15-00:00,2023-11-16-00:00,second,"[0.1193615544760583, 0.10340041637751561, 0.12005551700208189, 0.10687022900763359, 0.1054823039555864, 0.10340041637751561, 0.0916030534351145, 0.08119361554476058, 0.08674531575294935, 0.08188757807078417]",0.0051343938072895,3.3088447930046505
BEAMXUSDT,2023-11-16-00:00,2023-11-17-00:00,first,"[0.3178348369188064, 0.16099930603747398, 0.131852879944483, 0.0936849410131853, 0.07217210270645386, 0.054823039555863984, 0.05759888965995836, 0.06662040249826509, 0.04441360166551006]",0.0087081921426426,2.855673024292423
BEAMXUSDT,2023-11-16-00:00,2023-11-17-00:00,second,"[0.12768910478834142, 0.11727966689798751, 0.10756419153365718, 0.09090909090909091, 0.09576682859125607, 0.10617626648161, 0.09784871616932686, 0.08882720333102012, 0.08743927827897294, 0.08049965301873699]",0.0050744821494939,3.3082895666588055
BEAMXUSDT,2023-11-17-00:00,2023-11-18-00:00,first,"[0.32546842470506593, 0.19014573213046496, 0.12144344205412907, 0.09646079111727966, 0.06315058986814712, 0.06731436502428868, 0.04718945176960444, 0.0527411519777932, 0.03608605135322693]",0.0089886904533235,2.795689789709497
BEAMXUSDT,2023-11-17-00:00,2023-11-18-00:00,second,"[0.10201249132546843, 0.12213740458015267, 0.11103400416377515, 0.12074947952810548, 0.09299097848716169, 0.10478834142956281, 0.08674531575294935, 0.09784871616932686, 0.08396946564885496, 0.0777238029146426]",0.0084975116309946,3.3071131146633923
BEAMXUSDT,2023-11-18-00:00,2023-11-19-00:00,first,"[0.2995135510771369, 0.1813759555246699, 0.11605281445448228, 0.08200138985406533, 0.07644197359277276, 0.0660180681028492, 0.06045865184155664, 0.06532314107018763, 0.05281445448227936]",0.0064397741949486,2.8925011687921347
BEAMXUSDT,2023-11-18-00:00,2023-11-19-00:00,second,"[0.11674774148714386, 0.1063238359972203, 0.10771369006254343, 0.09034051424600417, 0.1014593467685893, 0.1014593467685893, 0.11118832522585129, 0.0917303683113273, 0.09103544127866574, 0.08200138985406533]",0.005718122330324,3.3141140118157844
BEAMXUSDT,2023-11-19-00:00,2023-11-20-00:00,first,"[0.29493407356002777, 0.17834836918806385, 0.11311589174184594, 0.10340041637751561, 0.07494795281054822, 0.0798056904927134, 0.047883414295628035, 0.055517002081887576, 0.0520471894517696]",0.0071690206421206,2.891940019893597
BEAMXUSDT,2023-11-19-00:00,2023-11-20-00:00,second,"[0.11380985426786953, 0.12005551700208189, 0.09507286606523248, 0.10201249132546843, 0.0916030534351145, 0.09854267869535045, 0.10478834142956281, 0.0916030534351145, 0.09854267869535045, 0.08396946564885496]",0.006333630283216,3.3144776326707013
BEAMXUSDT,2023-11-20-00:00,2023-11-21-00:00,first,"[0.30881332408049966, 0.16724496877168632, 0.10340041637751561, 0.09993060374739764, 0.08188757807078417, 0.06870229007633588, 0.06037473976405274, 0.05412907702984039, 0.055517002081887576]",0.0067521356699509,2.890425120655968
BEAMXUSDT,2023-11-20-00:00,2023-11-21-00:00,second,"[0.11450381679389313, 0.12005551700208189, 0.10131852879944483, 0.09646079111727966, 0.10964607911172797, 0.09576682859125607, 0.09437890353920889, 0.09646079111727966, 0.07494795281054822, 0.09646079111727966]",0.006815939820422,3.3114922388111334
BEAMXUSDT,2023-11-21-00:00,2023-11-22-00:00,first,"[0.30972222222222223, 0.17777777777777778, 0.11597222222222223, 0.09027777777777778, 0.08958333333333333, 0.06527777777777778, 0.05555555555555555, 0.044444444444444446, 0.05138888888888889]",0.0058693846431688,2.8605883376101255
BEAMXUSDT,2023-11-21-00:00,2023-11-22-00:00,second,"[0.1111111111111111, 0.11736111111111111, 0.09236111111111112, 0.11319444444444444, 0.12013888888888889, 0.09236111111111112, 0.09236111111111112, 0.09791666666666667, 0.09305555555555556, 0.07013888888888889]",0.0090433515824213,3.3061862656581726
BEAMXUSDT,2023-11-22-00:00,2023-11-23-00:00,first,"[0.2903899721448468, 0.16573816155988857, 0.12674094707520892, 0.10376044568245125, 0.07938718662952646, 0.07242339832869081, 0.057103064066852366, 0.04944289693593315, 0.05501392757660167]",0.0052425843193799,2.9096267099165747
BEAMXUSDT,2023-11-22-00:00,2023-11-23-00:00,second,"[0.12465181058495822, 0.133008356545961, 0.10306406685236769, 0.10376044568245125, 0.10515320334261838, 0.09261838440111421, 0.0967966573816156, 0.07729805013927576, 0.07729805013927576, 0.08635097493036212]",0.006742268134554,3.3004359311537717
BEAMXUSDT,2023-11-23-00:00,2023-11-24-00:00,first,"[0.2839160839160839, 0.17692307692307693, 0.12657342657342657, 0.0986013986013986, 0.08181818181818182, 0.07832167832167833, 0.057342657342657345, 0.04685314685314685, 0.04965034965034965]",0.0049027948838135,2.906548863755942
BEAMXUSDT,2023-11-23-00:00,2023-11-24-00:00,second,"[0.10979020979020979, 0.12237762237762238, 0.11188811188811189, 0.11398601398601399, 0.1041958041958042, 0.08671328671328671, 0.07972027972027972, 0.1048951048951049, 0.07972027972027972, 0.08671328671328671]",0.0082714475634089,3.306214041597894
BEAMXUSDT,2023-11-24-00:00,2023-11-25-00:00,first,"[0.2877391920623671, 0.18143160878809356, 0.12969525159461376, 0.08646350106307583, 0.08433734939759036, 0.06378454996456413, 0.058114812189936214, 0.06094968107725018, 0.04748405386250886]",0.005977678936143,2.898926433112584
BEAMXUSDT,2023-11-24-00:00,2023-11-25-00:00,second,"[0.10559886605244508, 0.11410347271438696, 0.11197732104890148, 0.10772501771793054, 0.1034727143869596, 0.09851169383416017, 0.1034727143869596, 0.07299787384833452, 0.0892983699503898, 0.09284195605953224]",0.0062869035931409,3.3116852028988077
