symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
FUNUSDT,2023-01-01-00:00,2023-01-02-00:00,first,"[0.2880098887515451, 0.07416563658838071, 0.05315203955500618, 0.02595797280593325, 0.021013597033374538, 0.009888751545117428, 0.003708281829419036, 0.0, 0.5241038318912238]",0.1062991869623441,1.8587389254216728
FUNUSDT,2023-01-01-00:00,2023-01-02-00:00,second,"[0.032138442521631644, 0.014833127317676144, 0.016069221260815822, 0.0173053152039555, 0.011124845488257108, 0.009888751545117428, 0.027194066749072928, 0.027194066749072928, 0.08034610630407911, 0.7639060568603214]",0.1357817409605258,1.4565323037405615
FUNUSDT,2023-01-02-00:00,2023-01-03-00:00,first,"[0.2682926829268293, 0.06445993031358885, 0.03397212543554007, 0.0313588850174216, 0.013066202090592335, 0.017421602787456445, 0.0078397212543554, 0.01132404181184669, 0.5522648083623694]",0.1125571817337098,1.8712817546659346
FUNUSDT,2023-01-02-00:00,2023-01-03-00:00,second,"[0.040940766550522645, 0.03048780487804878, 0.02003484320557491, 0.014808362369337979, 0.017421602787456445, 0.024390243902439025, 0.012195121951219513, 0.02613240418118467, 0.032229965156794424, 0.7813588850174216]",0.1392723065919458,1.4305304451114365
FUNUSDT,2023-01-03-00:00,2023-01-04-00:00,first,"[0.2670043415340087, 0.07380607814761216, 0.03835021707670044, 0.02170767004341534, 0.015918958031837915, 0.009406657018813314, 0.007959479015918957, 0.00723589001447178, 0.5586107091172214]",0.1139673819014547,1.8211989368946404
FUNUSDT,2023-01-03-00:00,2023-01-04-00:00,second,"[0.02243125904486252, 0.016642547033285094, 0.01881331403762663, 0.01447178002894356, 0.012301013024602027, 0.011577424023154847, 0.015195369030390739, 0.019536903039073805, 0.05861070911722142, 0.8104196816208393]",0.1450844659126294,1.2583708937813407
FUNUSDT,2023-01-04-00:00,2023-01-05-00:00,first,"[0.2613469985358712, 0.05929721815519766, 0.048316251830161056, 0.024890190336749635, 0.01903367496339678, 0.008052708638360176, 0.008052708638360176, 0.0036603221083455345, 0.5673499267935578]",0.1159094302739739,1.8058351728628734
FUNUSDT,2023-01-04-00:00,2023-01-05-00:00,second,"[0.0314787701317716, 0.014641288433382138, 0.014641288433382138, 0.015373352855051245, 0.01683748169838946, 0.012445095168374817, 0.013177159590043924, 0.017569546120058566, 0.043923865300146414, 0.8199121522693997]",0.1469829600423415,1.2237343508854428
FUNUSDT,2023-01-05-00:00,2023-01-06-00:00,first,"[0.28502802241793435, 0.07125700560448359, 0.041633306645316254, 0.03282626100880705, 0.020816653322658127, 0.008006405124099279, 0.009607686148919135, 0.0032025620496397116, 0.5276220976781425]",0.1070810238038816,1.8900814801089763
FUNUSDT,2023-01-05-00:00,2023-01-06-00:00,second,"[0.03682946357085669, 0.017614091273018415, 0.016012810248198558, 0.01921537229783827, 0.008006405124099279, 0.009607686148919135, 0.01200960768614892, 0.01921537229783827, 0.04243394715772618, 0.8190552441953562]",0.1468115784275327,1.2187530449274275
FUNUSDT,2023-01-06-00:00,2023-01-07-00:00,first,"[0.2631981637337414, 0.061208875286916604, 0.06273909716908951, 0.018362662586074982, 0.010711553175210406, 0.0045906656465187455, 0.005355776587605203, 0.0038255547054322878, 0.5700076511094109]",0.1165000356774968,1.7491830318536814
FUNUSDT,2023-01-06-00:00,2023-01-07-00:00,second,"[0.02448355011476664, 0.017597551644988524, 0.009946442234123947, 0.011476664116296864, 0.01224177505738332, 0.008416220351951033, 0.011476664116296864, 0.016067329762815608, 0.05279265493496557, 0.8355011476664116]",0.1501007591217438,1.1198890583287633
FUNUSDT,2023-01-07-00:00,2023-01-08-00:00,first,"[0.2427664079040226, 0.06916019760056458, 0.0374029640084686, 0.012702893436838392, 0.009880028228652082, 0.008468595624558928, 0.007057163020465773, 0.0028228652081863093, 0.6097388849682428]",0.1253291987572372,1.6533243420046846
FUNUSDT,2023-01-07-00:00,2023-01-08-00:00,second,"[0.02399435426958363, 0.009880028228652082, 0.006351446718419196, 0.009174311926605505, 0.012702893436838392, 0.016937191249117856, 0.007057163020465773, 0.02399435426958363, 0.03387438249823571, 0.8560338743824982]",0.1542073044649611,1.02000439119566
FUNUSDT,2023-01-08-00:00,2023-01-09-00:00,first,"[0.25106082036775107, 0.05799151343705799, 0.03748231966053748, 0.02263083451202263, 0.021216407355021217, 0.003536067892503536, 0.004243281471004243, 0.006364922206506365, 0.5954738330975955]",0.1221591872304267,1.7120425319935473
FUNUSDT,2023-01-08-00:00,2023-01-09-00:00,second,"[0.019801980198019802, 0.009900990099009901, 0.011315417256011316, 0.009193776520509194, 0.016973125884016973, 0.007779349363507779, 0.012022630834512023, 0.019801980198019802, 0.027581329561527583, 0.8656294200848657]",0.1561264136054346,0.9794464026913834
FUNUSDT,2023-01-09-00:00,2023-01-10-00:00,first,"[0.3269908386187456, 0.1536293164200141, 0.07399577167019028, 0.04580690627202255, 0.021846370683579985, 0.018322762508809022, 0.010570824524312896, 0.011980267794221282, 0.3368569415081043]",0.0704578430893763,2.3251246024000873
FUNUSDT,2023-01-09-00:00,2023-01-10-00:00,second,"[0.18957011980267793, 0.08527131782945736, 0.05708245243128964, 0.03382663847780127, 0.0204369274136716, 0.026074700493305146, 0.01620859760394644, 0.02536997885835095, 0.02536997885835095, 0.5207892882311487]",0.1011365574758507,2.266170639035631
FUNUSDT,2023-01-10-00:00,2023-01-11-00:00,first,"[0.2941590429275158, 0.15552427867698804, 0.08163265306122448, 0.047149894440534836, 0.033075299085151305, 0.021815622800844477, 0.014074595355383532, 0.009852216748768473, 0.342716396903589]",0.065990868076203,2.404449098199655
FUNUSDT,2023-01-10-00:00,2023-01-11-00:00,second,"[0.1900070372976777, 0.03589021815622801, 0.047149894440534836, 0.043631245601688955, 0.025334271639690358, 0.02674173117522871, 0.01618578465869106, 0.022519352568613652, 0.02744546094299789, 0.5650950035186488]",0.1100850840323506,2.1337141198317675
FUNUSDT,2023-01-11-00:00,2023-01-12-00:00,first,"[0.24522968197879857, 0.08409893992932863, 0.06643109540636043, 0.03745583038869258, 0.019081272084805655, 0.01625441696113074, 0.009893992932862191, 0.005653710247349823, 0.5159010600706714]",0.1044763487799991,2.0413131811577125
FUNUSDT,2023-01-11-00:00,2023-01-12-00:00,second,"[0.08551236749116607, 0.0176678445229682, 0.009893992932862191, 0.01625441696113074, 0.0176678445229682, 0.0176678445229682, 0.009893992932862191, 0.018374558303886925, 0.024734982332155476, 0.7823321554770318]",0.1394669606838678,1.3554016020145272
FUNUSDT,2023-01-12-00:00,2023-01-13-00:00,first,"[0.25724381625441695, 0.13356890459363957, 0.07773851590106007, 0.045229681978798585, 0.03674911660777385, 0.015547703180212015, 0.0176678445229682, 0.009893992932862191, 0.40636042402826855]",0.0801339852150207,2.345564567996558
