symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
JSTUSDT,2023-01-01-00:00,2023-01-02-00:00,first,"[0.6113989637305699, 0.14853195164075994, 0.09499136442141623, 0.046632124352331605, 0.039723661485319514, 0.008635578583765112, 0.022452504317789293, 0.012089810017271158, 0.015544041450777202]",0.0689708817925752,1.9088772725263734
JSTUSDT,2023-01-01-00:00,2023-01-02-00:00,second,"[0.10535405872193437, 0.08981001727115717, 0.06563039723661486, 0.04317789291882556, 0.09844559585492228, 0.11398963730569948, 0.11744386873920552, 0.10535405872193437, 0.16062176165803108, 0.1001727115716753]",0.028922134301006,3.2555760944283545
JSTUSDT,2023-01-02-00:00,2023-01-03-00:00,first,"[0.4850640113798009, 0.20768136557610242, 0.08961593172119488, 0.06827880512091039, 0.04551920341394026, 0.03982930298719772, 0.02275960170697013, 0.017069701280227598, 0.02418207681365576]",0.0479164716080535,2.295900508181557
JSTUSDT,2023-01-02-00:00,2023-01-03-00:00,second,"[0.13229018492176386, 0.09815078236130868, 0.08819345661450925, 0.05405405405405406, 0.09103840682788052, 0.11806543385490754, 0.08961593172119488, 0.12375533428165007, 0.10668563300142248, 0.09815078236130868]",0.0199342938231384,3.2879726925411035
JSTUSDT,2023-01-03-00:00,2023-01-04-00:00,first,"[0.5121163166397416, 0.18578352180936994, 0.10823909531502424, 0.0630048465266559, 0.045234248788368334, 0.01938610662358643, 0.024232633279483037, 0.022617124394184167, 0.01938610662358643]",0.0490619074954331,2.2203467197523117
JSTUSDT,2023-01-03-00:00,2023-01-04-00:00,second,"[0.13731825525040386, 0.06462035541195477, 0.07592891760904685, 0.048465266558966075, 0.07754442649434572, 0.09369951534733441, 0.12277867528271405, 0.09046849757673667, 0.18578352180936994, 0.10339256865912763]",0.0327536238584556,3.2235943592597254
JSTUSDT,2023-01-04-00:00,2023-01-05-00:00,first,"[0.42063492063492064, 0.12103174603174603, 0.12103174603174603, 0.09523809523809523, 0.07738095238095238, 0.05555555555555555, 0.02976190476190476, 0.027777777777777776, 0.051587301587301584]",0.0278743857772368,2.618546438475057
JSTUSDT,2023-01-04-00:00,2023-01-05-00:00,second,"[0.15476190476190477, 0.08531746031746032, 0.06944444444444445, 0.06944444444444445, 0.07142857142857142, 0.07738095238095238, 0.06746031746031746, 0.10515873015873016, 0.20436507936507936, 0.09523809523809523]",0.0353850292041543,3.2069826411070754
JSTUSDT,2023-01-05-00:00,2023-01-06-00:00,first,"[0.3943089430894309, 0.12398373983739837, 0.12804878048780488, 0.11991869918699187, 0.052845528455284556, 0.04878048780487805, 0.028455284552845527, 0.022357723577235773, 0.08130081300813008]",0.0344313333180766,2.649248210081578
JSTUSDT,2023-01-05-00:00,2023-01-06-00:00,second,"[0.13008130081300814, 0.06504065040650407, 0.06707317073170732, 0.06504065040650407, 0.06910569105691057, 0.052845528455284556, 0.11788617886178862, 0.1016260162601626, 0.17682926829268292, 0.15447154471544716]",0.040984181931403,3.2047412175756294
