symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
ASTRUSDT,2024-01-01,2024-01-02-00:00,first,"[0.30383275261324044, 0.17142857142857143, 0.11777003484320557, 0.09686411149825784, 0.07665505226480836, 0.06898954703832752, 0.06202090592334495, 0.05574912891986063, 0.046689895470383276]",0.0032007743744042,2.8855480944970484
ASTRUSDT,2024-01-01,2024-01-02-00:00,second,"[0.12125435540069686, 0.11219512195121951, 0.11149825783972125, 0.0808362369337979, 0.10801393728222997, 0.08780487804878048, 0.09337979094076655, 0.10452961672473868, 0.09198606271777003, 0.08850174216027874]",0.006812132501408,3.3105825034302923
ASTRUSDT,2024-01-02,2024-01-03-00:00,first,"[0.3011126564673157, 0.1835883171070932, 0.13073713490959665, 0.09318497913769123, 0.06536856745479833, 0.0737134909596662, 0.05006954102920723, 0.05354659248956885, 0.048678720445062586]",0.0056578040914824,2.862402028388575
ASTRUSDT,2024-01-02,2024-01-03-00:00,second,"[0.11543810848400557, 0.1070931849791377, 0.11961057023643949, 0.10083449235048679, 0.09040333796940195, 0.10639777468706536, 0.08831710709318498, 0.10013908205841446, 0.08831710709318498, 0.08344923504867872]",0.0062087512837617,3.312201113097121
ASTRUSDT,2024-01-03,2024-01-04-00:00,first,"[0.30326162387231087, 0.16099930603747398, 0.13324080499653018, 0.11311589174184594, 0.07425399028452463, 0.062456627342123525, 0.05898681471200555, 0.05759888965995836, 0.03608605135322693]",0.0075957356171656,2.8687733625405243
ASTRUSDT,2024-01-03,2024-01-04-00:00,second,"[0.10756419153365718, 0.12699514226231784, 0.09993060374739764, 0.11380985426786953, 0.08952116585704371, 0.10131852879944483, 0.10478834142956281, 0.07564191533657183, 0.08674531575294935, 0.0936849410131853]",0.0094655640981627,3.308075208684101
ASTRUSDT,2024-01-04,2024-01-05-00:00,first,"[0.2963219986120749, 0.1554476058292852, 0.11658570437196392, 0.09923664122137404, 0.08952116585704371, 0.0791117279666898, 0.07564191533657183, 0.047883414295628035, 0.040249826509368494]",0.0094403232705996,2.909117784792963
ASTRUSDT,2024-01-04,2024-01-05-00:00,second,"[0.10062456627342123, 0.11103400416377515, 0.09715475364330327, 0.11380985426786953, 0.11172796668979876, 0.09576682859125607, 0.09715475364330327, 0.08466342817487855, 0.10131852879944483, 0.08674531575294935]",0.0080353030470474,3.315426129189421
ASTRUSDT,2024-01-05,2024-01-06-00:00,first,"[0.3011797362942401, 0.16516308119361556, 0.12838306731436502, 0.09437890353920889, 0.09090909090909091, 0.06662040249826509, 0.05759888965995836, 0.054823039555863984, 0.040943789035392086]",0.0042205407347272,2.8825714250015837
ASTRUSDT,2024-01-05,2024-01-06-00:00,second,"[0.10964607911172797, 0.12352532963219987, 0.10825815405968078, 0.10964607911172797, 0.10062456627342123, 0.09784871616932686, 0.0922970159611381, 0.08813324080499653, 0.08813324080499653, 0.08188757807078417]",0.0034005553408786,3.3113196262778875
ASTRUSDT,2024-01-06,2024-01-07-00:00,first,"[0.3, 0.17569444444444443, 0.12152777777777778, 0.09722222222222222, 0.08611111111111111, 0.06180555555555556, 0.05486111111111111, 0.05625, 0.04652777777777778]",0.0029132975660829,2.88040485659389
ASTRUSDT,2024-01-06,2024-01-07-00:00,second,"[0.12916666666666668, 0.10902777777777778, 0.11666666666666667, 0.09652777777777778, 0.10208333333333333, 0.09583333333333334, 0.10625, 0.075, 0.07708333333333334, 0.09236111111111112]",0.0078693440134161,3.303832084138034
ASTRUSDT,2024-01-07,2024-01-08-00:00,first,"[0.2833333333333333, 0.17777777777777778, 0.14097222222222222, 0.08958333333333333, 0.09375, 0.06875, 0.059722222222222225, 0.04583333333333333, 0.04027777777777778]",0.0079604986449591,2.887763418446521
ASTRUSDT,2024-01-07,2024-01-08-00:00,second,"[0.11597222222222223, 0.09652777777777778, 0.10694444444444444, 0.10208333333333333, 0.09930555555555555, 0.10486111111111111, 0.10625, 0.08680555555555555, 0.09097222222222222, 0.09027777777777778]",0.0059483467778397,3.316645659442916
ASTRUSDT,2024-01-08,2024-01-09-00:00,first,"[0.3020833333333333, 0.17916666666666667, 0.11736111111111111, 0.09583333333333334, 0.0875, 0.06180555555555556, 0.06319444444444444, 0.05347222222222222, 0.03958333333333333]",0.0044377103276247,2.870988564348804
