symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
BLURUSDT,2024-01-01,2024-01-02-00:00,first,"[0.3028368794326241, 0.15531914893617021, 0.12836879432624113, 0.09148936170212765, 0.08581560283687943, 0.07943262411347518, 0.06312056737588652, 0.05035460992907802, 0.04326241134751773]",0.0065523895904223,2.894020097048481
BLURUSDT,2024-01-01,2024-01-02-00:00,second,"[0.125531914893617, 0.10851063829787234, 0.10283687943262411, 0.09007092198581561, 0.09858156028368795, 0.08936170212765958, 0.09078014184397164, 0.10354609929078014, 0.10283687943262411, 0.08794326241134752]",0.0074518985050661,3.313544751417309
BLURUSDT,2024-01-02,2024-01-03-00:00,first,"[0.30362116991643456, 0.16225626740947074, 0.11768802228412256, 0.0967966573816156, 0.08844011142061281, 0.05988857938718663, 0.056406685236768804, 0.06267409470752089, 0.05222841225626741]",0.0066316741291496,2.8967934279996497
BLURUSDT,2024-01-02,2024-01-03-00:00,second,"[0.11281337047353761, 0.12325905292479108, 0.11629526462395544, 0.10445682451253482, 0.11142061281337047, 0.08774373259052924, 0.09610027855153204, 0.08913649025069638, 0.08008356545961003, 0.0786908077994429]",0.0061615865463088,3.3055579847705285
BLURUSDT,2024-01-03,2024-01-04-00:00,first,"[0.28700486448922863, 0.16817234190410008, 0.11883252258512857, 0.09381514940931203, 0.08825573314801946, 0.07574704656011119, 0.07018763029881862, 0.05281445448227936, 0.045170257123002086]",0.0070516354190939,2.9208524358012595
BLURUSDT,2024-01-03,2024-01-04-00:00,second,"[0.10979847116052814, 0.11049339819318972, 0.10910354412786658, 0.10076441973592773, 0.11188325225851285, 0.10423905489923559, 0.0945100764419736, 0.08547602501737317, 0.0945100764419736, 0.07922168172341904]",0.0054988555464508,3.3133963365924317
BLURUSDT,2024-01-04,2024-01-05-00:00,first,"[0.27966689798750866, 0.1825121443442054, 0.13948646773074255, 0.10964607911172797, 0.09576682859125607, 0.04996530187369882, 0.061068702290076333, 0.04371963913948647, 0.03816793893129771]",0.0118593378601464,2.871690748680466
BLURUSDT,2024-01-04,2024-01-05-00:00,second,"[0.10478834142956281, 0.09923664122137404, 0.1040943789035392, 0.1054823039555864, 0.11450381679389313, 0.0916030534351145, 0.09923664122137404, 0.08119361554476058, 0.10964607911172797, 0.09021512838306732]",0.009700813109504,3.3153590346249016
BLURUSDT,2024-01-05,2024-01-06-00:00,first,"[0.3435114503816794, 0.16446911866759195, 0.10825815405968078, 0.0798056904927134, 0.08119361554476058, 0.07147814018043026, 0.05065926439972242, 0.05065926439972242, 0.04996530187369882]",0.0118295524617054,2.814323462582721
BLURUSDT,2024-01-05,2024-01-06-00:00,second,"[0.11727966689798751, 0.12491325468424705, 0.1193615544760583, 0.11380985426786953, 0.09646079111727966, 0.09299097848716169, 0.0936849410131853, 0.0922970159611381, 0.06800832755031229, 0.08119361554476058]",0.0066597465411669,3.2996388563266312
