symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
C98USDT,2024-01-01,2024-01-02-00:00,first,"[0.2952783650458069, 0.18604651162790697, 0.11557434813248767, 0.09866102889358704, 0.10288935870331219, 0.05637773079633545, 0.05708245243128964, 0.048625792811839326, 0.03946441155743481]",0.0078698624696541,2.863905779674106
C98USDT,2024-01-01,2024-01-02-00:00,second,"[0.11346018322762509, 0.11064129668780831, 0.11346018322762509, 0.11698379140239605, 0.09584214235377025, 0.09372797744890768, 0.0817477096546864, 0.09654686398872446, 0.0923185341789993, 0.08527131782945736]",0.0057020472969155,3.3115103159377828
C98USDT,2024-01-02,2024-01-03-00:00,first,"[0.3267605633802817, 0.18169014084507043, 0.13098591549295774, 0.1028169014084507, 0.07816901408450705, 0.048591549295774646, 0.0528169014084507, 0.04084507042253521, 0.03732394366197183]",0.0096185592868315,2.7849356577864355
C98USDT,2024-01-02,2024-01-03-00:00,second,"[0.11338028169014085, 0.1176056338028169, 0.11690140845070422, 0.10492957746478873, 0.09718309859154929, 0.08661971830985915, 0.09507042253521127, 0.09084507042253522, 0.08028169014084507, 0.09718309859154929]",0.0053539943026499,3.3111690124442883
C98USDT,2024-01-03,2024-01-04-00:00,first,"[0.30692362598144185, 0.1827266238401142, 0.14346895074946467, 0.08065667380442541, 0.07566024268379729, 0.06209850107066381, 0.05139186295503212, 0.042826552462526764, 0.05424696645253391]",0.0087885966966482,2.8394998291617557
C98USDT,2024-01-03,2024-01-04-00:00,second,"[0.13847251962883655, 0.11063526052819414, 0.11063526052819414, 0.099214846538187, 0.10421127765881513, 0.09850107066381156, 0.08993576017130621, 0.0913633119200571, 0.07209136331192005, 0.08493932905067808]",0.005469049091564,3.301416707445579
C98USDT,2024-01-04,2024-01-05-00:00,first,"[0.29543859649122806, 0.1712280701754386, 0.12140350877192982, 0.10666666666666667, 0.07508771929824562, 0.07438596491228071, 0.05473684210526316, 0.05052631578947368, 0.05052631578947368]",0.0048810342597947,2.8933465836528383
C98USDT,2024-01-04,2024-01-05-00:00,second,"[0.11157894736842106, 0.10526315789473684, 0.09894736842105263, 0.11157894736842106, 0.10035087719298245, 0.08771929824561403, 0.1080701754385965, 0.09263157894736843, 0.09263157894736843, 0.0912280701754386]",0.0071118669764886,3.3168907995489727
C98USDT,2024-01-05,2024-01-06-00:00,first,"[0.30518097941802697, 0.1767210787792761, 0.11639460610361958, 0.085166784953868, 0.08942512420156139, 0.06813342796309439, 0.06813342796309439, 0.051809794180269694, 0.03903477643718949]",0.0060022383738565,2.8717327918523217
C98USDT,2024-01-05,2024-01-06-00:00,second,"[0.12278211497515969, 0.11923349893541518, 0.1078779276082328, 0.0936834634492548, 0.0830376153300213, 0.08658623136976579, 0.09723207948899928, 0.0965223562810504, 0.09723207948899928, 0.09581263307310149]",0.0077902519098189,3.3113050898343004
C98USDT,2024-01-06,2024-01-07-00:00,first,"[0.31082062454611475, 0.18082788671023964, 0.11619462599854757, 0.09658678286129267, 0.0915032679738562, 0.05591866376180102, 0.05519244734931009, 0.03994190268700073, 0.053013798111837325]",0.0075790191142412,2.845901288269615
C98USDT,2024-01-06,2024-01-07-00:00,second,"[0.12127814088598403, 0.10312273057371096, 0.10239651416122005, 0.08714596949891068, 0.1074800290486565, 0.10530137981118373, 0.09077705156136529, 0.08859840232389252, 0.08932461873638345, 0.10457516339869281]",0.0077454439155128,3.314310875166783
C98USDT,2024-01-07,2024-01-08-00:00,first,"[0.3126801152737752, 0.17939481268011528, 0.138328530259366, 0.10446685878962536, 0.0670028818443804, 0.0569164265129683, 0.05043227665706052, 0.043227665706051875, 0.04755043227665706]",0.0083762787517433,2.8231671829126714
C98USDT,2024-01-07,2024-01-08-00:00,second,"[0.13688760806916425, 0.1340057636887608, 0.11887608069164265, 0.08573487031700289, 0.0936599423631124, 0.08285302593659942, 0.08213256484149856, 0.09726224783861671, 0.07132564841498559, 0.09726224783861671]",0.013310747157912,3.289931814111497
C98USDT,2024-01-08,2024-01-09-00:00,first,"[0.31063829787234043, 0.18581560283687942, 0.12836879432624113, 0.0950354609929078, 0.07872340425531915, 0.0574468085106383, 0.04822695035460993, 0.04539007092198582, 0.05035460992907802]",0.0060799606835336,2.8340119680805533
C98USDT,2024-01-08,2024-01-09-00:00,second,"[0.11914893617021277, 0.10212765957446808, 0.1198581560283688, 0.10567375886524823, 0.1, 0.1, 0.08865248226950355, 0.08581560283687943, 0.08581560283687943, 0.09290780141843971]",0.0047228138431148,3.3121155500548416
C98USDT,2024-01-09,2024-01-10-00:00,first,"[0.32711621233859395, 0.17718794835007173, 0.11836441893830703, 0.09397417503586801, 0.07245337159253945, 0.06814921090387374, 0.05738880918220947, 0.04232424677187949, 0.043041606886657105]",0.0063078504982808,2.818239094791146
C98USDT,2024-01-09,2024-01-10-00:00,second,"[0.11692969870875179, 0.11764705882352941, 0.10401721664275466, 0.11979913916786226, 0.09325681492109039, 0.10473457675753228, 0.09827833572453372, 0.0781922525107604, 0.07532281205164992, 0.09182209469153516]",0.0078024435766852,3.3055405846031687
