symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
FUNUSDT,2024-01-01,2024-01-02-00:00,first,"[0.29562982005141386, 0.20651242502142245, 0.11482433590402742, 0.07626392459297343, 0.08226221079691516, 0.07626392459297343, 0.061696658097686374, 0.03684661525278492, 0.049700085689802914]",0.0112147937614487,2.849658044565912
FUNUSDT,2024-01-01,2024-01-02-00:00,second,"[0.15081405312767782, 0.11053984575835475, 0.0856898029134533, 0.08226221079691516, 0.07883461868037704, 0.10197086546700942, 0.10539845758354756, 0.07883461868037704, 0.10025706940874037, 0.10539845758354756]",0.0163080514703459,3.2936786022374984
FUNUSDT,2024-01-02,2024-01-03-00:00,first,"[0.2791702679343129, 0.19273984442523767, 0.12100259291270528, 0.08902333621434745, 0.0881590319792567, 0.07173725151253241, 0.07260155574762317, 0.045808124459809856, 0.03975799481417459]",0.0100058759895653,2.8960738455748127
FUNUSDT,2024-01-02,2024-01-03-00:00,second,"[0.12445980985306827, 0.12273120138288678, 0.1063094209161625, 0.10025929127052723, 0.10025929127052723, 0.09420916162489196, 0.06482281763180639, 0.09075194468452895, 0.09075194468452895, 0.10544511668107173]",0.007530250075098,3.3022326363295167
FUNUSDT,2024-01-03,2024-01-04-00:00,first,"[0.2926605504587156, 0.2036697247706422, 0.11192660550458716, 0.08623853211009175, 0.07247706422018349, 0.06880733944954129, 0.06880733944954129, 0.045871559633027525, 0.04954128440366973]",0.0097862670774973,2.8694018961349097
FUNUSDT,2024-01-03,2024-01-04-00:00,second,"[0.14587155963302753, 0.08440366972477065, 0.0944954128440367, 0.10091743119266056, 0.07339449541284404, 0.13853211009174313, 0.08440366972477065, 0.10917431192660551, 0.0908256880733945, 0.0779816513761468]",0.0180250244954205,3.284530653962826
FUNUSDT,2024-01-04,2024-01-05-00:00,first,"[0.32059925093632957, 0.1797752808988764, 0.12284644194756554, 0.08464419475655431, 0.08614232209737828, 0.07041198501872659, 0.056179775280898875, 0.038202247191011236, 0.04119850187265917]",0.00748434412298,2.821490729927792
FUNUSDT,2024-01-04,2024-01-05-00:00,second,"[0.1295880149812734, 0.11535580524344569, 0.10262172284644194, 0.09363295880149813, 0.10037453183520599, 0.1198501872659176, 0.08389513108614233, 0.08913857677902622, 0.0853932584269663, 0.08014981273408239]",0.0069227458503007,3.303981942257582
FUNUSDT,2024-01-05,2024-01-06-00:00,first,"[0.29045996592844975, 0.17717206132879046, 0.14310051107325383, 0.08773424190800681, 0.08347529812606473, 0.048551959114139696, 0.08262350936967632, 0.046848381601362864, 0.04003407155025554]",0.0107040424907761,2.870721149674933
FUNUSDT,2024-01-05,2024-01-06-00:00,second,"[0.10477001703577513, 0.11158432708688246, 0.12947189097103917, 0.10221465076660988, 0.08006814310051108, 0.12776831345826234, 0.07751277683134583, 0.09795570698466781, 0.08773424190800681, 0.08091993185689948]",0.0119018751331361,3.2989541618369214
