symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
RONINUSDT,2024-02-05,2024-02-06-00:00,first,"[0.23076923076923078, 0.13186813186813187, 0.14285714285714285, 0.18681318681318682, 0.054945054945054944, 0.06593406593406594, 0.03296703296703297, 0.0989010989010989, 0.054945054945054944]",0.0366128268649046,2.93785981610592
RONINUSDT,2024-02-05,2024-02-06-00:00,second,"[0.15384615384615385, 0.12087912087912088, 0.0989010989010989, 0.06593406593406594, 0.12087912087912088, 0.0989010989010989, 0.10989010989010989, 0.0989010989010989, 0.08791208791208792, 0.04395604395604396]",0.0178714405005902,3.258041942275949
RONINUSDT,2024-02-06,2024-02-07-00:00,first,"[0.30742539902845245, 0.1734906315058987, 0.13532269257460097, 0.09576682859125607, 0.06939625260235947, 0.0652324774462179, 0.06176266481609993, 0.04510756419153366, 0.046495489243580844]",0.0047306835226869,2.855744178113224
RONINUSDT,2024-02-06,2024-02-07-00:00,second,"[0.11658570437196392, 0.11519777931991672, 0.10687022900763359, 0.10895211658570438, 0.10340041637751561, 0.10478834142956281, 0.08882720333102012, 0.09021512838306732, 0.0777238029146426, 0.08743927827897294]",0.0039150956451124,3.310598881114712
RONINUSDT,2024-02-07,2024-02-08-00:00,first,"[0.26648160999306036, 0.1825121443442054, 0.11450381679389313, 0.09993060374739764, 0.10062456627342123, 0.07286606523247745, 0.05829285218598196, 0.05690492713393477, 0.047883414295628035]",0.0099962901078505,2.9393373593586807
RONINUSDT,2024-02-07,2024-02-08-00:00,second,"[0.12491325468424705, 0.11103400416377515, 0.10617626648161, 0.10964607911172797, 0.10617626648161, 0.10340041637751561, 0.08813324080499653, 0.07425399028452463, 0.09021512838306732, 0.08605135322692574]",0.0053681651461595,3.3071611565433985
RONINUSDT,2024-02-08,2024-02-09-00:00,first,"[0.29493407356002777, 0.16655100624566274, 0.12491325468424705, 0.10340041637751561, 0.08049965301873699, 0.07425399028452463, 0.06037473976405274, 0.04996530187369882, 0.04510756419153366]",0.0038886230624108,2.8969203015840765
RONINUSDT,2024-02-08,2024-02-09-00:00,second,"[0.12699514226231784, 0.12074947952810548, 0.11866759195003469, 0.1040943789035392, 0.08952116585704371, 0.09090909090909091, 0.0922970159611381, 0.08327550312283137, 0.08952116585704371, 0.08396946564885496]",0.0051944910017389,3.304889488662575
RONINUSDT,2024-02-09,2024-02-10-00:00,first,"[0.28313671061762663, 0.17834836918806385, 0.13601665510062458, 0.10687022900763359, 0.0798056904927134, 0.07356002775850104, 0.054823039555863984, 0.04996530187369882, 0.03747397640527411]",0.0067850949327246,2.886503868093027
RONINUSDT,2024-02-09,2024-02-10-00:00,second,"[0.12144344205412907, 0.10687022900763359, 0.10895211658570438, 0.09993060374739764, 0.09646079111727966, 0.09784871616932686, 0.10270645385149202, 0.09090909090909091, 0.0784177654406662, 0.09646079111727966]",0.0048837060343959,3.3134154650088057
RONINUSDT,2024-02-10,2024-02-11-00:00,first,"[0.2906815020862309, 0.16063977746870653, 0.14812239221140472, 0.09666203059805285, 0.08623087621696801, 0.07232267037552156, 0.0584144645340751, 0.04450625869262865, 0.04242002781641168]",0.0080070409052765,2.887377989456692
RONINUSDT,2024-02-10,2024-02-11-00:00,second,"[0.12169680111265646, 0.11613351877607789, 0.10222531293463143, 0.09735744089012517, 0.09874826147426982, 0.09457579972183588, 0.1043115438108484, 0.09596662030598054, 0.0799721835883171, 0.0890125173852573]",0.0049655104552103,3.312392056179806
RONINUSDT,2024-02-11,2024-02-12-00:00,first,"[0.2923611111111111, 0.17916666666666667, 0.12361111111111112, 0.08402777777777778, 0.07430555555555556, 0.06527777777777778, 0.06805555555555555, 0.05277777777777778, 0.06041666666666667]",0.0065385439167204,2.9043601324971333
RONINUSDT,2024-02-11,2024-02-12-00:00,second,"[0.13194444444444445, 0.12083333333333333, 0.12013888888888889, 0.09791666666666667, 0.09722222222222222, 0.1, 0.07222222222222222, 0.08541666666666667, 0.09652777777777778, 0.07777777777777778]",0.008561256810663,3.297747154848877
RONINUSDT,2024-02-12,2024-02-13-00:00,first,"[0.31824512534818944, 0.1796657381615599, 0.1149025069637883, 0.08565459610027855, 0.06824512534818941, 0.07103064066852367, 0.054317548746518104, 0.06197771587743733, 0.04596100278551532]",0.0079782589961985,2.849466284813769
RONINUSDT,2024-02-12,2024-02-13-00:00,second,"[0.1190807799442897, 0.12116991643454039, 0.10236768802228412, 0.10793871866295264, 0.12116991643454039, 0.09192200557103064, 0.09122562674094707, 0.08844011142061281, 0.08844011142061281, 0.06824512534818941]",0.0065241486935379,3.301660266253803
RONINUSDT,2024-02-13,2024-02-14-00:00,first,"[0.3331015299026426, 0.18219749652294853, 0.11543810848400557, 0.08970792767732963, 0.07232267037552156, 0.059805285118219746, 0.05910987482614743, 0.0521557719054242, 0.03616133518776078]",0.0089553220027627,2.80117752347343
RONINUSDT,2024-02-13,2024-02-14-00:00,second,"[0.12239221140472879, 0.11404728789986092, 0.12169680111265646, 0.09874826147426982, 0.1043115438108484, 0.08623087621696801, 0.09874826147426982, 0.09457579972183588, 0.0702364394993046, 0.0890125173852573]",0.0066722544843201,3.304169189661934
RONINUSDT,2024-02-14,2024-02-15-00:00,first,"[0.2727272727272727, 0.238029146426093, 0.1568355308813324, 0.1054823039555864, 0.07217210270645386, 0.05065926439972242, 0.046495489243580844, 0.03261623872310895, 0.02498265093684941]",0.0227571050202164,2.757148152402005
RONINUSDT,2024-02-14,2024-02-15-00:00,second,"[0.11866759195003469, 0.10617626648161, 0.10478834142956281, 0.0922970159611381, 0.10756419153365718, 0.10131852879944483, 0.09854267869535045, 0.0936849410131853, 0.08535739070090215, 0.0916030534351145]",0.0054007756593037,3.315809531739794
RONINUSDT,2024-02-15,2024-02-16-00:00,first,"[0.2652777777777778, 0.22361111111111112, 0.15486111111111112, 0.09097222222222222, 0.07361111111111111, 0.06527777777777778, 0.049305555555555554, 0.04722222222222222, 0.029861111111111113]",0.0172093836796091,2.8298309009618694
RONINUSDT,2024-02-15,2024-02-16-00:00,second,"[0.11736111111111111, 0.10486111111111111, 0.10555555555555556, 0.10416666666666667, 0.09861111111111111, 0.09305555555555556, 0.10208333333333333, 0.09583333333333334, 0.09583333333333334, 0.08263888888888889]",0.0044906442736997,3.3163923553060948
RONINUSDT,2024-02-16,2024-02-17-00:00,first,"[0.29424011103400416, 0.17696044413601666, 0.11658570437196392, 0.09923664122137404, 0.08188757807078417, 0.0652324774462179, 0.07286606523247745, 0.055517002081887576, 0.03747397640527411]",0.0055868318235798,2.890657180018536
RONINUSDT,2024-02-16,2024-02-17-00:00,second,"[0.12352532963219987, 0.12838306731436502, 0.10895211658570438, 0.10895211658570438, 0.08119361554476058, 0.0936849410131853, 0.10062456627342123, 0.08466342817487855, 0.08674531575294935, 0.08327550312283137]",0.0060684058734907,3.303481619381376
RONINUSDT,2024-02-17,2024-02-18-00:00,first,"[0.31780250347705147, 0.1780250347705146, 0.12795549374130738, 0.0890125173852573, 0.07232267037552156, 0.06328233657858136, 0.061196105702364396, 0.04450625869262865, 0.0458970792767733]",0.0055703973559304,2.835588259856181
RONINUSDT,2024-02-17,2024-02-18-00:00,second,"[0.10639777468706536, 0.10848400556328233, 0.11126564673157163, 0.11543810848400557, 0.0917941585535466, 0.10570236439499305, 0.10152990264255911, 0.07649513212795549, 0.0952712100139082, 0.08762169680111266]",0.008211698521954,3.31220905051609
RONINUSDT,2024-02-18,2024-02-19-00:00,first,"[0.2905923344947735, 0.18257839721254354, 0.13588850174216027, 0.10034843205574913, 0.07735191637630662, 0.07247386759581882, 0.04529616724738676, 0.050174216027874564, 0.04529616724738676]",0.0058672000674713,2.871259038589403
RONINUSDT,2024-02-18,2024-02-19-00:00,second,"[0.12682926829268293, 0.1240418118466899, 0.10871080139372823, 0.09895470383275261, 0.08362369337979095, 0.10313588850174216, 0.10383275261324042, 0.08571428571428572, 0.07665505226480836, 0.08850174216027874]",0.0075445535534292,3.303692234566653
RONINUSDT,2024-02-19,2024-02-20-00:00,first,"[0.28383067314365024, 0.14712005551700208, 0.1443442054129077, 0.11658570437196392, 0.0791117279666898, 0.0784177654406662, 0.05968077723802915, 0.05065926439972242, 0.040249826509368494]",0.0116091036086468,2.91180333979413
RONINUSDT,2024-02-19,2024-02-20-00:00,second,"[0.12560721721027066, 0.11589174184594032, 0.10825815405968078, 0.09784871616932686, 0.09646079111727966, 0.08882720333102012, 0.09854267869535045, 0.10340041637751561, 0.08605135322692574, 0.0791117279666898]",0.0052291914144,3.3093202530922947
RONINUSDT,2024-02-20,2024-02-21-00:00,first,"[0.3034722222222222, 0.16111111111111112, 0.10694444444444444, 0.10625, 0.07361111111111111, 0.08472222222222223, 0.06180555555555556, 0.05277777777777778, 0.049305555555555554]",0.0085654611210976,2.9000598383649008
RONINUSDT,2024-02-20,2024-02-21-00:00,second,"[0.10416666666666667, 0.11666666666666667, 0.09375, 0.10208333333333333, 0.11527777777777778, 0.11180555555555556, 0.1, 0.08888888888888889, 0.08402777777777778, 0.08333333333333333]",0.007899944547901,3.3120150704511984
RONINUSDT,2024-02-21,2024-02-22-00:00,first,"[0.3851492019430951, 0.15405968077723803, 0.09715475364330327, 0.061068702290076333, 0.06870229007633588, 0.07494795281054822, 0.05690492713393477, 0.055517002081887576, 0.046495489243580844]",0.0216050772836579,2.737270672235278
RONINUSDT,2024-02-21,2024-02-22-00:00,second,"[0.12699514226231784, 0.10756419153365718, 0.11727966689798751, 0.10895211658570438, 0.0922970159611381, 0.09437890353920889, 0.10131852879944483, 0.08049965301873699, 0.08327550312283137, 0.08743927827897294]",0.0061564634300701,3.307130630772834
RONINUSDT,2024-02-22,2024-02-23-00:00,first,"[0.34906315058986814, 0.16308119361554477, 0.10756419153365718, 0.08674531575294935, 0.06453851492019431, 0.06800832755031229, 0.05412907702984039, 0.05343511450381679, 0.05343511450381679]",0.0131233130767029,2.8069669213476627
RONINUSDT,2024-02-22,2024-02-23-00:00,second,"[0.1339347675225538, 0.11311589174184594, 0.10825815405968078, 0.10825815405968078, 0.0922970159611381, 0.09646079111727966, 0.08535739070090215, 0.0922970159611381, 0.08674531575294935, 0.08327550312283137]",0.0040258238891858,3.3062137334420485
RONINUSDT,2024-02-23,2024-02-24-00:00,first,"[0.2881944444444444, 0.15625, 0.11388888888888889, 0.11597222222222223, 0.09930555555555555, 0.07569444444444444, 0.05, 0.05416666666666667, 0.04652777777777778]",0.0114930233271812,2.915757902921784
RONINUSDT,2024-02-23,2024-02-24-00:00,second,"[0.13125, 0.12569444444444444, 0.10416666666666667, 0.10694444444444444, 0.09722222222222222, 0.08819444444444445, 0.08055555555555556, 0.09722222222222222, 0.09861111111111111, 0.07013888888888889]",0.0087802494276721,3.2993702486155847
RONINUSDT,2024-02-24,2024-02-25-00:00,first,"[0.3039555863983345, 0.21721027064538515, 0.13462873004857737, 0.1040943789035392, 0.05690492713393477, 0.06037473976405274, 0.054823039555863984, 0.040943789035392086, 0.027064538514920196]",0.0135375470355149,2.769121670677594
RONINUSDT,2024-02-24,2024-02-25-00:00,second,"[0.12699514226231784, 0.11450381679389313, 0.1040943789035392, 0.09715475364330327, 0.08952116585704371, 0.08743927827897294, 0.09993060374739764, 0.09646079111727966, 0.09299097848716169, 0.09090909090909091]",0.006385384124702,3.312382293975709
RONINUSDT,2024-02-25,2024-02-26-00:00,first,"[0.18875780707841777, 0.19292158223455932, 0.18043025676613464, 0.12907702984038863, 0.09437890353920889, 0.06731436502428868, 0.061068702290076333, 0.046495489243580844, 0.0395558639833449]",0.0273624107481542,2.958937991166378
RONINUSDT,2024-02-25,2024-02-26-00:00,second,"[0.10270645385149202, 0.11311589174184594, 0.10825815405968078, 0.11103400416377515, 0.10201249132546843, 0.0922970159611381, 0.09715475364330327, 0.0916030534351145, 0.08396946564885496, 0.09784871616932686]",0.0052582358256235,3.316313145007565
RONINUSDT,2024-02-26,2024-02-27-00:00,first,"[0.28881118881118883, 0.1839160839160839, 0.13916083916083916, 0.0958041958041958, 0.08111888111888112, 0.06433566433566433, 0.06083916083916084, 0.05174825174825175, 0.03426573426573427]",0.0060950012547872,2.8690907168524964
RONINUSDT,2024-02-26,2024-02-27-00:00,second,"[0.12517482517482517, 0.1020979020979021, 0.1055944055944056, 0.1048951048951049, 0.11118881118881119, 0.10139860139860139, 0.0965034965034965, 0.09020979020979021, 0.07902097902097902, 0.08391608391608392]",0.0049583672960121,3.310186619013614
RONINUSDT,2024-02-27,2024-02-28-00:00,first,"[0.3157529493407356, 0.15475364330326163, 0.12699514226231784, 0.08743927827897294, 0.07009021512838307, 0.08188757807078417, 0.0659264399722415, 0.04441360166551006, 0.0527411519777932]",0.0103640671516924,2.87367011197965
RONINUSDT,2024-02-27,2024-02-28-00:00,second,"[0.11450381679389313, 0.10964607911172797, 0.11311589174184594, 0.11172796668979876, 0.09923664122137404, 0.10201249132546843, 0.09576682859125607, 0.08882720333102012, 0.09646079111727966, 0.06870229007633588]",0.0056621770129922,3.3085452825892148
RONINUSDT,2024-02-28,2024-02-29-00:00,first,"[0.3117606123869172, 0.17536534446764093, 0.12526096033402923, 0.09046624913013222, 0.08002783576896312, 0.06889352818371608, 0.06263048016701461, 0.04036186499652053, 0.04523312456506611]",0.0041077115360965,2.8504086023256523
RONINUSDT,2024-02-28,2024-02-29-00:00,second,"[0.11551844119693806, 0.11343075852470424, 0.1057759220598469, 0.10020876826722339, 0.09394572025052192, 0.10438413361169102, 0.09116214335421016, 0.10090466249130133, 0.09255393180236604, 0.08211551844119694]",0.0046486898509142,3.314929244738099
RONINUSDT,2024-02-29,2024-03-01-00:00,first,"[0.32199861207494795, 0.1839000693962526, 0.12074947952810548, 0.08466342817487855, 0.0784177654406662, 0.05690492713393477, 0.041637751561415685, 0.05412907702984039, 0.05759888965995836]",0.0096878623185067,2.824750706541782
RONINUSDT,2024-02-29,2024-03-01-00:00,second,"[0.13948646773074255, 0.11311589174184594, 0.11311589174184594, 0.09507286606523248, 0.11519777931991672, 0.11242192921582235, 0.08119361554476058, 0.07564191533657183, 0.08743927827897294, 0.06731436502428868]",0.0109471724672073,3.289396612341388
RONINUSDT,2024-03-01,2024-03-02-00:00,first,"[0.3104166666666667, 0.18333333333333332, 0.11944444444444445, 0.11041666666666666, 0.08402777777777778, 0.0625, 0.05, 0.044444444444444446, 0.035416666666666666]",0.0077737623709112,2.826429440355482
RONINUSDT,2024-03-01,2024-03-02-00:00,second,"[0.11805555555555555, 0.12361111111111112, 0.10833333333333334, 0.09305555555555556, 0.09375, 0.09583333333333334, 0.09652777777777778, 0.09166666666666666, 0.09236111111111112, 0.08680555555555555]",0.0041575976250945,3.3123596098540973
RONINUSDT,2024-03-02,2024-03-03-00:00,first,"[0.30326162387231087, 0.17626648160999306, 0.11519777931991672, 0.09021512838306732, 0.07078417765440666, 0.0652324774462179, 0.06731436502428868, 0.06037473976405274, 0.05135322692574601]",0.0058993827757746,2.889539501690706
RONINUSDT,2024-03-02,2024-03-03-00:00,second,"[0.12283136710617627, 0.10895211658570438, 0.10825815405968078, 0.11658570437196392, 0.09784871616932686, 0.09437890353920889, 0.08882720333102012, 0.09437890353920889, 0.09090909090909091, 0.07702984038861901]",0.0045548388500269,3.309316160088274
RONINUSDT,2024-03-03,2024-03-04-00:00,first,"[0.2873004857737682, 0.1845940319222762, 0.14295628036086053, 0.10062456627342123, 0.06800832755031229, 0.0652324774462179, 0.05065926439972242, 0.05343511450381679, 0.04718945176960444]",0.00754431625553,2.873815896151357
RONINUSDT,2024-03-03,2024-03-04-00:00,second,"[0.11242192921582235, 0.12005551700208189, 0.09437890353920889, 0.09715475364330327, 0.11380985426786953, 0.10478834142956281, 0.08813324080499653, 0.08466342817487855, 0.09923664122137404, 0.08535739070090215]",0.0079609595015556,3.311881412162929
RONINUSDT,2024-03-04,2024-03-05-00:00,first,"[0.2925642807505212, 0.18207088255733148, 0.1369006254343294, 0.10006949270326616, 0.06462821403752605, 0.07227241139680333, 0.05698401667824878, 0.05142460041695622, 0.043085476025017375]",0.0059330426130343,2.871755328475325
RONINUSDT,2024-03-04,2024-03-05-00:00,second,"[0.11674774148714386, 0.11257817929117443, 0.11049339819318972, 0.10701876302988186, 0.10284920083391244, 0.09034051424600417, 0.10215427380125087, 0.08756080611535788, 0.09034051424600417, 0.07991660875608061]",0.0036904198476588,3.312022707829673
RONINUSDT,2024-03-05,2024-03-06-00:00,first,"[0.3102012491325468, 0.17487855655794587, 0.1325468424705066, 0.08049965301873699, 0.0652324774462179, 0.07286606523247745, 0.06037473976405274, 0.062456627342123525, 0.040943789035392086]",0.0080856739141655,2.858196922108094
RONINUSDT,2024-03-05,2024-03-06-00:00,second,"[0.12144344205412907, 0.1040943789035392, 0.10478834142956281, 0.10478834142956281, 0.10131852879944483, 0.10825815405968078, 0.09854267869535045, 0.08188757807078417, 0.09507286606523248, 0.0798056904927134]",0.0054969909687521,3.312009489585737
RONINUSDT,2024-03-06,2024-03-07-00:00,first,"[0.3143650242886884, 0.19292158223455932, 0.11172796668979876, 0.08535739070090215, 0.07564191533657183, 0.0659264399722415, 0.0659264399722415, 0.046495489243580844, 0.041637751561415685]",0.0084666321773644,2.834906009507151
RONINUSDT,2024-03-06,2024-03-07-00:00,second,"[0.1297709923664122, 0.12005551700208189, 0.1193615544760583, 0.0916030534351145, 0.08952116585704371, 0.09784871616932686, 0.08743927827897294, 0.09715475364330327, 0.09299097848716169, 0.07425399028452463]",0.0080384724967223,3.3025753853506004
RONINUSDT,2024-03-07,2024-03-08-00:00,first,"[0.3020833333333333, 0.18125, 0.11944444444444445, 0.09027777777777778, 0.07569444444444444, 0.08125, 0.05694444444444444, 0.04513888888888889, 0.04791666666666667]",0.0050387700197887,2.8709822047237243
RONINUSDT,2024-03-07,2024-03-08-00:00,second,"[0.12638888888888888, 0.125, 0.09791666666666667, 0.09861111111111111, 0.1076388888888889, 0.08680555555555555, 0.10972222222222222, 0.09583333333333334, 0.0798611111111111, 0.07222222222222222]",0.0093958068017354,3.301251602089179
RONINUSDT,2024-03-08,2024-03-09-00:00,first,"[0.3143650242886884, 0.16655100624566274, 0.12630117973629423, 0.09507286606523248, 0.06939625260235947, 0.07356002775850104, 0.05690492713393477, 0.05412907702984039, 0.04371963913948647]",0.0053971698806774,2.8598340911252342
RONINUSDT,2024-03-08,2024-03-09-00:00,second,"[0.11380985426786953, 0.12144344205412907, 0.11589174184594032, 0.1040943789035392, 0.09576682859125607, 0.0922970159611381, 0.09299097848716169, 0.08952116585704371, 0.0916030534351145, 0.08258154059680778]",0.0037313162686515,3.311051401741354
RONINUSDT,2024-03-09,2024-03-10-00:00,first,"[0.3108952116585704, 0.14226231783483692, 0.13740458015267176, 0.08605135322692574, 0.08952116585704371, 0.06662040249826509, 0.062456627342123525, 0.061068702290076333, 0.04371963913948647]",0.0104559643456692,2.887863994877568
