symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
ADAUSDT,2024-07-01,2024-07-02-00:00,first,"[0.32569444444444445, 0.17430555555555555, 0.11458333333333333, 0.09513888888888888, 0.07361111111111111, 0.06666666666666667, 0.05763888888888889, 0.04652777777777778, 0.04583333333333333]",0.0054978425673603,2.832006908676508
ADAUSDT,2024-07-01,2024-07-02-00:00,second,"[0.125, 0.1111111111111111, 0.10138888888888889, 0.12152777777777778, 0.09305555555555556, 0.09097222222222222, 0.10138888888888889, 0.08263888888888889, 0.08958333333333333, 0.08333333333333333]",0.0065092763620524,3.307529739201927
ADAUSDT,2024-07-02,2024-07-03-00:00,first,"[0.3102012491325468, 0.17834836918806385, 0.11242192921582235, 0.09993060374739764, 0.08466342817487855, 0.05968077723802915, 0.062456627342123525, 0.04580152671755725, 0.046495489243580844]",0.0055852923366412,2.857705094371955
ADAUSDT,2024-07-02,2024-07-03-00:00,second,"[0.1297709923664122, 0.11242192921582235, 0.11866759195003469, 0.10478834142956281, 0.1054823039555864, 0.10062456627342123, 0.0922970159611381, 0.07494795281054822, 0.08119361554476058, 0.0798056904927134]",0.0059036060143533,3.300978768370003
ADAUSDT,2024-07-03,2024-07-04-00:00,first,"[0.34073560027758504, 0.17002081887578072, 0.10062456627342123, 0.0922970159611381, 0.07356002775850104, 0.07217210270645386, 0.05690492713393477, 0.049271339347675226, 0.04441360166551006]",0.0099846483754321,2.8140165355169717
ADAUSDT,2024-07-03,2024-07-04-00:00,second,"[0.12768910478834142, 0.11103400416377515, 0.11450381679389313, 0.0936849410131853, 0.10756419153365718, 0.10062456627342123, 0.0936849410131853, 0.0784177654406662, 0.08396946564885496, 0.08882720333102012]",0.0058071060440998,3.307028078201419
ADAUSDT,2024-07-04,2024-07-05-00:00,first,"[0.34652777777777777, 0.1736111111111111, 0.10972222222222222, 0.08055555555555556, 0.06458333333333334, 0.075, 0.05555555555555555, 0.04722222222222222, 0.04722222222222222]",0.0122257164766067,2.7940939677579166
ADAUSDT,2024-07-04,2024-07-05-00:00,second,"[0.1361111111111111, 0.11041666666666666, 0.1, 0.1076388888888889, 0.09027777777777778, 0.09930555555555555, 0.0875, 0.08888888888888889, 0.09513888888888888, 0.08472222222222223]",0.005987665247084,3.3075565406878304
ADAUSDT,2024-07-05,2024-07-06-00:00,first,"[0.26648160999306036, 0.16655100624566274, 0.12491325468424705, 0.10478834142956281, 0.09090909090909091, 0.06939625260235947, 0.07425399028452463, 0.047883414295628035, 0.054823039555863984]",0.0105296063459434,2.95475615900342
ADAUSDT,2024-07-05,2024-07-06-00:00,second,"[0.12907702984038863, 0.10131852879944483, 0.11727966689798751, 0.11589174184594032, 0.08466342817487855, 0.1054823039555864, 0.08882720333102012, 0.09923664122137404, 0.0791117279666898, 0.0791117279666898]",0.0094215661712005,3.3028333657317224
ADAUSDT,2024-07-06,2024-07-07-00:00,first,"[0.35045107564191535, 0.1714087439278279, 0.10617626648161, 0.08119361554476058, 0.0659264399722415, 0.07564191533657183, 0.05829285218598196, 0.04233171408743928, 0.048577376821651634]",0.0136082215895921,2.7884285053132287
ADAUSDT,2024-07-06,2024-07-07-00:00,second,"[0.10756419153365718, 0.131852879944483, 0.11242192921582235, 0.10825815405968078, 0.09437890353920889, 0.08882720333102012, 0.11103400416377515, 0.08674531575294935, 0.08327550312283137, 0.07564191533657183]",0.0086302137913401,3.303169863020897
ADAUSDT,2024-07-07,2024-07-08-00:00,first,"[0.3039555863983345, 0.16655100624566274, 0.12283136710617627, 0.09854267869535045, 0.08258154059680778, 0.062456627342123525, 0.05412907702984039, 0.05898681471200555, 0.04996530187369882]",0.0044445898996618,2.8855783928077554
