symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
ARDRUSDT,2024-07-01,2024-07-02-00:00,first,"[0.30791788856304986, 0.17888563049853373, 0.12316715542521994, 0.0747800586510264, 0.08797653958944282, 0.06964809384164222, 0.06378299120234604, 0.04325513196480939, 0.050586510263929615]",0.0070664280050404,2.8625699337702253
ARDRUSDT,2024-07-01,2024-07-02-00:00,second,"[0.1217008797653959, 0.11143695014662756, 0.13049853372434017, 0.10337243401759531, 0.08284457478005865, 0.09090909090909091, 0.09750733137829912, 0.09164222873900293, 0.08357771260997067, 0.08651026392961877]",0.0061268785647872,3.3047743181502365
ARDRUSDT,2024-07-02,2024-07-03-00:00,first,"[0.2662241887905605, 0.1976401179941003, 0.13495575221238937, 0.08775811209439528, 0.09513274336283185, 0.07227138643067847, 0.05088495575221239, 0.043510324483775814, 0.051622418879056046]",0.0130459771058137,2.901545761604149
ARDRUSDT,2024-07-02,2024-07-03-00:00,second,"[0.11946902654867257, 0.09660766961651918, 0.10693215339233038, 0.1187315634218289, 0.10029498525073746, 0.10324483775811209, 0.09365781710914454, 0.084070796460177, 0.09218289085545722, 0.08480825958702065]",0.0051731047498726,3.312029423198376
ARDRUSDT,2024-07-03,2024-07-04-00:00,first,"[0.3062730627306273, 0.17564575645756458, 0.12546125461254612, 0.08929889298892989, 0.09151291512915129, 0.06494464944649446, 0.055350553505535055, 0.05166051660516605, 0.03985239852398524]",0.0041344996244896,2.8596398484726917
ARDRUSDT,2024-07-03,2024-07-04-00:00,second,"[0.10848708487084871, 0.12841328413284134, 0.09446494464944649, 0.0974169741697417, 0.0959409594095941, 0.0996309963099631, 0.1003690036900369, 0.0974169741697417, 0.09003690036900369, 0.08782287822878229]",0.0073657134002593,3.313781795133352
ARDRUSDT,2024-07-04,2024-07-05-00:00,first,"[0.3225108225108225, 0.1984126984126984, 0.11688311688311688, 0.08152958152958154, 0.08152958152958154, 0.06204906204906205, 0.05483405483405483, 0.04256854256854257, 0.03968253968253968]",0.0102556892635144,2.7983141079108877
ARDRUSDT,2024-07-04,2024-07-05-00:00,second,"[0.10966810966810966, 0.11616161616161616, 0.12121212121212122, 0.10894660894660894, 0.10028860028860029, 0.09740259740259741, 0.09451659451659451, 0.07647907647907648, 0.09595959595959595, 0.07936507936507936]",0.005907189278178,3.3078413613365627
ARDRUSDT,2024-07-05,2024-07-06-00:00,first,"[0.3050605844618674, 0.1796151104775481, 0.11760513186029936, 0.10620099786172488, 0.07911617961511047, 0.07056307911617961, 0.0548823948681397, 0.04775481111903065, 0.039201710620099785]",0.004547047679775,2.8561856257710976
ARDRUSDT,2024-07-05,2024-07-06-00:00,second,"[0.13043478260869565, 0.10477548111190306, 0.1104775481111903, 0.10121168923734854, 0.08267997148966501, 0.09052031361368496, 0.1104775481111903, 0.09123307198859587, 0.09194583036350677, 0.08624376336421953]",0.0072035292511632,3.3086777112846937
ARDRUSDT,2024-07-06,2024-07-07-00:00,first,"[0.30504754937820044, 0.19092904169714703, 0.10899780541331383, 0.08558888076079005, 0.08851499634235552, 0.07607900512070227, 0.055596196049743966, 0.04974396488661302, 0.03950256035113387]",0.0082936226978899,2.85433804793397
ARDRUSDT,2024-07-06,2024-07-07-00:00,second,"[0.1119239209948793, 0.11485003657644477, 0.11265544989027067, 0.1119239209948793, 0.09436722750548647, 0.09948792977322604, 0.08997805413313825, 0.09729334308705194, 0.08851499634235552, 0.07900512070226774]",0.0046170470738833,3.3118694536566355
ARDRUSDT,2024-07-07,2024-07-08-00:00,first,"[0.29927536231884055, 0.17391304347826086, 0.13405797101449277, 0.09420289855072464, 0.06811594202898551, 0.07101449275362319, 0.057971014492753624, 0.05507246376811594, 0.0463768115942029]",0.0039391555296589,2.87841925715453
ARDRUSDT,2024-07-07,2024-07-08-00:00,second,"[0.11956521739130435, 0.10289855072463767, 0.1036231884057971, 0.1072463768115942, 0.11739130434782609, 0.08623188405797101, 0.08840579710144927, 0.09202898550724638, 0.09420289855072464, 0.08840579710144927]",0.0063436409828289,3.312570195743298
ARDRUSDT,2024-07-08,2024-07-09-00:00,first,"[0.2767162066525124, 0.20382165605095542, 0.12809624911535739, 0.09554140127388536, 0.07501769285208776, 0.05732484076433121, 0.052370842179759375, 0.056617126680820945, 0.05449398443029016]",0.0100197794678636,2.886927147343936
ARDRUSDT,2024-07-08,2024-07-09-00:00,second,"[0.1111111111111111, 0.11818825194621373, 0.11181882519462137, 0.09695682944090588, 0.11181882519462137, 0.09554140127388536, 0.08846426043878274, 0.08775654635527247, 0.0835102618542109, 0.09483368719037509]",0.005728486557499,3.312259479118552
ARDRUSDT,2024-07-09,2024-07-10-00:00,first,"[0.3088023088023088, 0.18253968253968253, 0.11688311688311688, 0.07936507936507936, 0.08008658008658008, 0.08080808080808081, 0.05627705627705628, 0.05627705627705628, 0.03896103896103896]",0.0075804212596503,2.858110461886836
ARDRUSDT,2024-07-09,2024-07-10-00:00,second,"[0.1204906204906205, 0.11544011544011544, 0.10317460317460317, 0.10894660894660894, 0.11544011544011544, 0.08946608946608947, 0.08297258297258298, 0.08658008658008658, 0.08513708513708514, 0.09235209235209235]",0.0058930132217768,3.308654706892759
ARDRUSDT,2024-07-10,2024-07-11-00:00,first,"[0.26015037593984963, 0.181203007518797, 0.14135338345864662, 0.0962406015037594, 0.08571428571428572, 0.07593984962406015, 0.05338345864661654, 0.06015037593984962, 0.04586466165413534]",0.0102572265687775,2.935676325163745
ARDRUSDT,2024-07-10,2024-07-11-00:00,second,"[0.14210526315789473, 0.11954887218045113, 0.09548872180451128, 0.10526315789473684, 0.07894736842105263, 0.10601503759398496, 0.08947368421052632, 0.09323308270676692, 0.0849624060150376, 0.0849624060150376]",0.0082474512453024,3.2993824044254105
ARDRUSDT,2024-07-11,2024-07-12-00:00,first,"[0.2803738317757009, 0.19937694704049844, 0.12227414330218069, 0.08878504672897196, 0.10669781931464174, 0.07242990654205607, 0.037383177570093455, 0.04361370716510903, 0.04906542056074766]",0.0132429573696332,2.8656016759708822
ARDRUSDT,2024-07-11,2024-07-12-00:00,second,"[0.13395638629283488, 0.1409657320872274, 0.11838006230529595, 0.09813084112149532, 0.09345794392523364, 0.08644859813084112, 0.08722741433021806, 0.08411214953271028, 0.08255451713395638, 0.07476635514018691]",0.0101822619350825,3.2891347066159518
ARDRUSDT,2024-07-12,2024-07-13-00:00,first,"[0.2839325018341893, 0.15700660308143802, 0.12032281731474688, 0.09024211298606016, 0.09537784299339692, 0.07923697725605282, 0.06016140865737344, 0.055025678650036686, 0.058694057226705794]",0.0105479931376854,2.943283153249788
ARDRUSDT,2024-07-12,2024-07-13-00:00,second,"[0.12472487160674982, 0.11885546588407923, 0.10711665443873808, 0.09977989728539985, 0.10051357300073367, 0.09611151870873075, 0.0983125458547322, 0.09611151870873075, 0.07116654438738078, 0.08730741012472487]",0.0046447467594804,3.306935566223559
ARDRUSDT,2024-07-13,2024-07-14-00:00,first,"[0.2744082840236686, 0.16789940828402367, 0.11168639053254438, 0.10281065088757396, 0.09097633136094675, 0.07988165680473373, 0.06804733727810651, 0.05251479289940828, 0.051775147928994084]",0.0106813129972723,2.9489176854636807
ARDRUSDT,2024-07-13,2024-07-14-00:00,second,"[0.1257396449704142, 0.11612426035502958, 0.10946745562130178, 0.09837278106508876, 0.09393491124260354, 0.10281065088757396, 0.09319526627218935, 0.08653846153846154, 0.08949704142011834, 0.08431952662721894]",0.0034001785726617,3.3103460050987343
ARDRUSDT,2024-07-14,2024-07-15-00:00,first,"[0.26451138868479057, 0.1792799412196914, 0.1462160176340926, 0.10360029390154299, 0.08596620132255695, 0.06171932402645114, 0.0653930933137399, 0.0440852314474651, 0.04922850844966936]",0.0108474141296153,2.9185328446867214
ARDRUSDT,2024-07-14,2024-07-15-00:00,second,"[0.12123438648052902, 0.11756061719324026, 0.11168258633357825, 0.11903012490815577, 0.10139603232916973, 0.07421013960323292, 0.10727406318883174, 0.09110947832476121, 0.07935341660543718, 0.07714915503306392]",0.0077063860394284,3.299719216669577
ARDRUSDT,2024-07-15,2024-07-16-00:00,first,"[0.2961058045554739, 0.1763409257898604, 0.12490815576781777, 0.106539309331374, 0.07494489346069066, 0.06906686260102865, 0.0668626010286554, 0.04775900073475386, 0.03747244673034533]",0.0046377089064179,2.874939970811373
ARDRUSDT,2024-07-15,2024-07-16-00:00,second,"[0.11462160176340926, 0.1109478324761205, 0.11388684790595151, 0.08890521675238795, 0.11021307861866275, 0.09625275532696546, 0.09551800146950772, 0.07714915503306392, 0.08155767817781043, 0.1109478324761205]",0.0086127942712852,3.3088439415585804
ARDRUSDT,2024-07-16,2024-07-17-00:00,first,"[0.30752532561505064, 0.16063675832127353, 0.12156295224312591, 0.09261939218523878, 0.08465991316931983, 0.07091172214182344, 0.060057887120115776, 0.05788712011577424, 0.04413892908827786]",0.0054976594210659,2.887091847970837
ARDRUSDT,2024-07-16,2024-07-17-00:00,second,"[0.12445730824891461, 0.09913169319826338, 0.11722141823444283, 0.09840810419681621, 0.08972503617945007, 0.1049204052098408, 0.08827785817655572, 0.10274963820549927, 0.09117221418234443, 0.08393632416787265]",0.0074841875655731,3.3112807914591915
