symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
ARPAUSDT,2024-07-01,2024-07-02-00:00,first,"[0.30651060716898315, 0.1645940014630578, 0.11338697878566203, 0.10607168983174835, 0.08778346744696415, 0.08266276517922458, 0.053401609363569864, 0.048280907095830286, 0.03730797366495977]",0.0086578856170321,2.870050815129164
ARPAUSDT,2024-07-01,2024-07-02-00:00,second,"[0.12289685442574981, 0.1141185076810534, 0.10460863204096561, 0.10826627651792246, 0.1097293343087052, 0.09217264081931237, 0.07900512070226774, 0.0936356986100951, 0.08119970738844184, 0.09436722750548647]",0.0058914846437481,3.308597693132597
ARPAUSDT,2024-07-02,2024-07-03-00:00,first,"[0.2942664418212479, 0.15851602023608768, 0.1163575042158516, 0.09780775716694773, 0.1163575042158516, 0.05902192242833052, 0.05733558178752108, 0.03625632377740304, 0.06408094435075885]",0.0125327680260448,2.89574794426505
ARPAUSDT,2024-07-02,2024-07-03-00:00,second,"[0.14924114671163574, 0.09696458684654301, 0.1045531197301855, 0.09865092748735245, 0.10623946037099494, 0.09527824620573355, 0.07251264755480608, 0.0893760539629005, 0.06829679595278246, 0.11888701517706576]",0.0138765598675087,3.288624404135891
ARPAUSDT,2024-07-03,2024-07-04-00:00,first,"[0.3121869782971619, 0.15776293823038398, 0.11185308848080133, 0.08430717863105175, 0.11853088480801335, 0.0651085141903172, 0.06093489148580968, 0.04257095158597663, 0.04674457429048414]",0.0120970332514447,2.866624311010852
ARPAUSDT,2024-07-03,2024-07-04-00:00,second,"[0.12687813021702837, 0.12437395659432388, 0.10350584307178631, 0.10684474123539232, 0.08848080133555926, 0.0993322203672788, 0.1010016694490818, 0.0709515859766277, 0.08514190317195326, 0.09348914858096828]",0.0077943221131251,3.302959660625948
ARPAUSDT,2024-07-04,2024-07-05-00:00,first,"[0.2737752161383285, 0.2017291066282421, 0.11311239193083573, 0.0893371757925072, 0.09221902017291066, 0.06628242074927954, 0.06195965417867435, 0.05259365994236311, 0.04899135446685879]",0.010515184511111,2.9064061819448326
ARPAUSDT,2024-07-04,2024-07-05-00:00,second,"[0.11743515850144093, 0.12031700288184438, 0.11023054755043228, 0.10302593659942363, 0.08717579250720461, 0.09798270893371758, 0.09654178674351585, 0.0914985590778098, 0.09510086455331412, 0.08069164265129683]",0.0041971705787491,3.3113110694647427
ARPAUSDT,2024-07-05,2024-07-06-00:00,first,"[0.29619181946403383, 0.18970380818053598, 0.14174894217207334, 0.08533145275035262, 0.07404795486600846, 0.05923836389280677, 0.059943582510578276, 0.04442877291960508, 0.04936530324400564]",0.0079960450899667,2.854255742915539
ARPAUSDT,2024-07-05,2024-07-06-00:00,second,"[0.12059238363892807, 0.11777150916784203, 0.11212976022566996, 0.10225669957686882, 0.12200282087447109, 0.08180535966149506, 0.09943582510578279, 0.09379407616361073, 0.06981664315937941, 0.08039492242595205]",0.007860115369228,3.299424500413328
ARPAUSDT,2024-07-06,2024-07-07-00:00,first,"[0.27524893314367, 0.1906116642958748, 0.1422475106685633, 0.0945945945945946, 0.08463726884779517, 0.060455192034139404, 0.0561877667140825, 0.050497866287339974, 0.04551920341394026]",0.008285600466806,2.890187843124209
ARPAUSDT,2024-07-06,2024-07-07-00:00,second,"[0.1073968705547653, 0.12802275960170698, 0.10810810810810811, 0.10312944523470839, 0.09103840682788052, 0.10028449502133713, 0.09601706970128022, 0.0903271692745377, 0.09174964438122332, 0.08392603129445235]",0.0049123680267542,3.311922507552284
ARPAUSDT,2024-07-07,2024-07-08-00:00,first,"[0.2863278453829635, 0.16893342877594847, 0.1224051539012169, 0.10164638511095204, 0.08589835361488905, 0.06442376521116679, 0.06513958482462419, 0.05869720830350752, 0.046528274874731566]",0.0059814639305066,2.917952210061758
ARPAUSDT,2024-07-07,2024-07-08-00:00,second,"[0.13314244810307801, 0.11381531853972798, 0.11095204008589836, 0.10021474588403723, 0.11023622047244094, 0.09377236936292055, 0.07802433786685756, 0.0816034359341446, 0.08804581245526127, 0.0901932712956335]",0.0062386833811579,3.303418752118332
ARPAUSDT,2024-07-08,2024-07-09-00:00,first,"[0.2861250898634076, 0.16534867002156722, 0.1250898634076204, 0.10208483105679367, 0.0884255930984903, 0.06542056074766354, 0.06613946800862688, 0.052480230050323505, 0.04888569374550683]",0.006038605270586,2.919055135659249
ARPAUSDT,2024-07-08,2024-07-09-00:00,second,"[0.12005751258087707, 0.11430625449317038, 0.11358734723220705, 0.10927390366642703, 0.10136592379583034, 0.09417685118619698, 0.09561466570812366, 0.08123652048885693, 0.08123652048885693, 0.08914450035945364]",0.0035898772973752,3.3091979678104737
ARPAUSDT,2024-07-09,2024-07-10-00:00,first,"[0.3070921985815603, 0.1723404255319149, 0.12056737588652482, 0.09361702127659574, 0.08085106382978724, 0.07872340425531915, 0.05531914893617021, 0.04184397163120567, 0.04964539007092199]",0.0051992299632653,2.8678529790585
