symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
CTXCUSDT,2024-07-01,2024-07-02-00:00,first,"[0.29709035222052066, 0.16539050535987748, 0.13705972434915772, 0.0903522205206738, 0.09418070444104135, 0.0666156202143951, 0.07120980091883614, 0.0451761102603369, 0.032924961715160794]",0.0089640666834274,2.872693202002736
CTXCUSDT,2024-07-01,2024-07-02-00:00,second,"[0.12404287901990811, 0.12557427258805512, 0.10566615620214395, 0.09877488514548238, 0.09571209800918837, 0.10183767228177641, 0.09111791730474732, 0.06738131699846861, 0.0995405819295559, 0.0903522205206738]",0.0077067225793311,3.303337717912277
CTXCUSDT,2024-07-02,2024-07-03-00:00,first,"[0.2881002087682672, 0.19137091162143355, 0.1266527487821851, 0.08420320111343076, 0.08420320111343076, 0.06958942240779402, 0.06402226861517049, 0.054975643702157274, 0.03688239387613083]",0.0076692656610853,2.879642496918576
CTXCUSDT,2024-07-02,2024-07-03-00:00,second,"[0.1127348643006263, 0.116214335421016, 0.10786360473208072, 0.09881697981906751, 0.10786360473208072, 0.10647181628392484, 0.09672929714683368, 0.08977035490605428, 0.08002783576896312, 0.08350730688935282]",0.0046057552646721,3.311797257913897
CTXCUSDT,2024-07-03,2024-07-04-00:00,first,"[0.2867281760113556, 0.16962384669978708, 0.12491128459900638, 0.0880056777856636, 0.0936834634492548, 0.0745209368346345, 0.058907026259758695, 0.05961674946770759, 0.0440028388928318]",0.0069901490906776,2.91503089689394
CTXCUSDT,2024-07-03,2024-07-04-00:00,second,"[0.11497515968772179, 0.1256210078069553, 0.11284599006387509, 0.0887154009936125, 0.09510290986515259, 0.0908445706174592, 0.09865152590489709, 0.09581263307310149, 0.0880056777856636, 0.08942512420156139]",0.0062712451467592,3.3110522147016126
CTXCUSDT,2024-07-04,2024-07-05-00:00,first,"[0.31223628691983124, 0.1849507735583685, 0.12869198312236288, 0.08368495077355836, 0.0850914205344585, 0.05907172995780591, 0.05625879043600562, 0.052742616033755275, 0.03727144866385373]",0.006959848965735,2.8327456428848024
CTXCUSDT,2024-07-04,2024-07-05-00:00,second,"[0.12447257383966245, 0.1090014064697609, 0.10478199718706048, 0.11462728551336146, 0.09634317862165963, 0.0970464135021097, 0.08720112517580872, 0.09915611814345991, 0.09142053445850915, 0.0759493670886076]",0.005622963595695,3.309216450480696
CTXCUSDT,2024-07-05,2024-07-06-00:00,first,"[0.3281907433380084, 0.15988779803646563, 0.105890603085554, 0.0967741935483871, 0.07713884992987377, 0.06030855539971949, 0.06241234221598878, 0.06311360448807854, 0.04628330995792426]",0.0097928987445056,2.8554928344919244
CTXCUSDT,2024-07-05,2024-07-06-00:00,second,"[0.11150070126227209, 0.105890603085554, 0.11430575035063113, 0.11430575035063113, 0.1002805049088359, 0.10098176718092566, 0.09186535764375876, 0.09326788218793829, 0.09046283309957924, 0.07713884992987377]",0.0051147290564901,3.312335723151455
CTXCUSDT,2024-07-06,2024-07-07-00:00,first,"[0.3181818181818182, 0.15007215007215008, 0.13131313131313133, 0.08585858585858586, 0.07575757575757576, 0.08658008658008658, 0.049783549783549784, 0.05772005772005772, 0.044733044733044736]",0.0110504554321818,2.866118018475846
CTXCUSDT,2024-07-06,2024-07-07-00:00,second,"[0.12842712842712842, 0.12698412698412698, 0.08946608946608947, 0.09812409812409813, 0.10822510822510822, 0.0873015873015873, 0.11471861471861472, 0.08658008658008658, 0.08513708513708514, 0.07503607503607504]",0.0102205336599851,3.299746223486842
CTXCUSDT,2024-07-07,2024-07-08-00:00,first,"[0.3093632958801498, 0.16853932584269662, 0.11535580524344569, 0.09363295880149813, 0.08913857677902622, 0.06741573033707865, 0.0651685393258427, 0.050187265917602995, 0.04119850187265917]",0.0057635920004869,2.872086925663664
CTXCUSDT,2024-07-07,2024-07-08-00:00,second,"[0.12284644194756554, 0.13333333333333333, 0.10262172284644194, 0.10636704119850188, 0.08464419475655431, 0.07940074906367041, 0.09812734082397004, 0.09737827715355805, 0.08314606741573034, 0.09213483146067415]",0.0087128513143749,3.303036737467837
CTXCUSDT,2024-07-08,2024-07-09-00:00,first,"[0.3126369612856099, 0.17384952520087654, 0.1110299488677867, 0.08473338203067933, 0.08327246165084003, 0.08400292184075968, 0.05113221329437546, 0.04017531044558072, 0.0591672753834916]",0.0102586885017348,2.8628376746748123
CTXCUSDT,2024-07-08,2024-07-09-00:00,second,"[0.1197954711468225, 0.12490869247626005, 0.09861212563915267, 0.10518626734842951, 0.08911614317019723, 0.10883856829802775, 0.08765522279035792, 0.07815924032140248, 0.08108108108108109, 0.10664718772826881]",0.0091605333804794,3.3055429145133908
CTXCUSDT,2024-07-09,2024-07-10-00:00,first,"[0.2812725958062184, 0.18004338394793926, 0.13449023861171366, 0.08459869848156182, 0.09544468546637744, 0.0650759219088937, 0.06869125090383225, 0.046999276934201015, 0.04338394793926247]",0.0089925267201266,2.8998921879749915
CTXCUSDT,2024-07-09,2024-07-10-00:00,second,"[0.12581344902386118, 0.10845986984815618, 0.12364425162689804, 0.09327548806941431, 0.09399855386840203, 0.1012292118582791, 0.08821402747650037, 0.09399855386840203, 0.07664497469269703, 0.09472161966738973]",0.0077759482625645,3.306832542976509
CTXCUSDT,2024-07-10,2024-07-11-00:00,first,"[0.2997918112421929, 0.18875780707841777, 0.1304649548924358, 0.08535739070090215, 0.07217210270645386, 0.07009021512838307, 0.05690492713393477, 0.05968077723802915, 0.03678001387925052]",0.0066365436878422,2.8572014696915065
CTXCUSDT,2024-07-10,2024-07-11-00:00,second,"[0.12074947952810548, 0.1193615544760583, 0.10270645385149202, 0.10895211658570438, 0.08535739070090215, 0.09993060374739764, 0.09923664122137404, 0.09090909090909091, 0.09299097848716169, 0.0798056904927134]",0.0052515036571344,3.3100856625893287
CTXCUSDT,2024-07-11,2024-07-12-00:00,first,"[0.28908964558721334, 0.1813759555246699, 0.1292564280750521, 0.1014593467685893, 0.07713690062543432, 0.07088255733148019, 0.048644892286309936, 0.05698401667824878, 0.045170257123002086]",0.0053153296951129,2.886087261888564
CTXCUSDT,2024-07-11,2024-07-12-00:00,second,"[0.11883252258512857, 0.1063238359972203, 0.13551077136900624, 0.10215427380125087, 0.10423905489923559, 0.07088255733148019, 0.08756080611535788, 0.0965948575399583, 0.09381514940931203, 0.08408617095205004]",0.0086216178191919,3.300616553538975
CTXCUSDT,2024-07-12,2024-07-13-00:00,first,"[0.3172866520787746, 0.17286652078774617, 0.09336250911743253, 0.0787746170678337, 0.08825674690007294, 0.07804522246535375, 0.06272793581327499, 0.05616338439095551, 0.0525164113785558]",0.0117636359331167,2.8748170176394563
CTXCUSDT,2024-07-12,2024-07-13-00:00,second,"[0.1261852662290299, 0.11305616338439095, 0.08898614150255288, 0.10576221735959154, 0.09773887673231219, 0.10211524434719182, 0.08898614150255288, 0.08460977388767323, 0.09700948212983224, 0.09555069292487235]",0.0066738865447603,3.312049295554814
CTXCUSDT,2024-07-13,2024-07-14-00:00,first,"[0.2888402625820569, 0.1772428884026258, 0.12326768781911014, 0.099927060539752, 0.09190371991247265, 0.05762217359591539, 0.05908096280087528, 0.046681254558716266, 0.055433989788475566]",0.0061459257321059,2.8968407399897598
CTXCUSDT,2024-07-13,2024-07-14-00:00,second,"[0.12180889861415026, 0.11451495258935084, 0.11086797957695113, 0.09409190371991247, 0.09555069292487235, 0.10357403355215171, 0.09773887673231219, 0.08971553610503283, 0.08898614150255288, 0.08315098468271334]",0.0034955972786606,3.312045292643727
CTXCUSDT,2024-07-14,2024-07-15-00:00,first,"[0.28109854604200324, 0.1777059773828756, 0.12197092084006463, 0.09208400646203554, 0.0840064620355412, 0.062197092084006464, 0.06623586429725363, 0.05735056542810985, 0.05735056542810985]",0.0072166598850757,2.926490509996027
CTXCUSDT,2024-07-14,2024-07-15-00:00,second,"[0.12924071082390953, 0.10096930533117932, 0.10096930533117932, 0.1050080775444265, 0.11066235864297254, 0.09208400646203554, 0.0815831987075929, 0.0864297253634895, 0.09369951534733441, 0.09935379644588045]",0.00821600441451,3.3105374038055806
CTXCUSDT,2024-07-15,2024-07-16-00:00,first,"[0.30404354587869364, 0.17107309486780714, 0.12130637636080871, 0.07309486780715396, 0.08864696734059098, 0.07309486780715396, 0.0583203732503888, 0.053654743390357695, 0.056765163297045104]",0.0072145932525039,2.889288048091235
CTXCUSDT,2024-07-15,2024-07-16-00:00,second,"[0.1321928460342146, 0.10964230171073094, 0.1119751166407465, 0.08320373250388803, 0.09253499222395023, 0.10730948678071539, 0.09331259720062209, 0.08320373250388803, 0.08864696734059098, 0.09797822706065319]",0.008071446963131,3.3070655747253017
CTXCUSDT,2024-07-16,2024-07-17-00:00,first,"[0.29511834319526625, 0.20414201183431951, 0.11390532544378698, 0.09393491124260354, 0.07618343195266272, 0.07692307692307693, 0.03698224852071006, 0.05547337278106509, 0.047337278106508875]",0.0097617062112487,2.848388268846502
CTXCUSDT,2024-07-16,2024-07-17-00:00,second,"[0.11982248520710059, 0.10798816568047337, 0.10502958579881656, 0.10724852071005918, 0.09837278106508876, 0.10133136094674557, 0.08727810650887574, 0.09467455621301775, 0.07692307692307693, 0.10133136094674557]",0.005674575613242,3.3126161520737263
CTXCUSDT,2024-07-17,2024-07-18-00:00,first,"[0.32279411764705884, 0.16691176470588234, 0.12426470588235294, 0.09852941176470588, 0.08088235294117647, 0.0661764705882353, 0.05073529411764706, 0.041176470588235294, 0.04852941176470588]",0.0061903441860687,2.833175226636193
