symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
DODOUSDT,2024-07-01,2024-07-02-00:00,first,"[0.3415195702225633, 0.15195702225633154, 0.10974673829623945, 0.09593246354566386, 0.08595548733691481, 0.0636991557943208, 0.060629316960859554, 0.04604758250191865, 0.044512663085188024]",0.0110891524068988,2.823535671595837
DODOUSDT,2024-07-01,2024-07-02-00:00,second,"[0.0997697620874904, 0.11435149654643131, 0.11204911742133537, 0.09363008442056792, 0.09516500383729855, 0.09823484267075978, 0.09900230237912509, 0.09669992325402917, 0.07981580966999233, 0.11128165771297006]",0.0087012849317863,3.314876361999357
DODOUSDT,2024-07-02,2024-07-03-00:00,first,"[0.31956155143338955, 0.17959527824620575, 0.12310286677908938, 0.08263069139966273, 0.06913996627318718, 0.0699831365935919, 0.05733558178752108, 0.03625632377740304, 0.06239460370994941]",0.0092686744604857,2.834816183425469
DODOUSDT,2024-07-02,2024-07-03-00:00,second,"[0.13237774030354132, 0.09612141652613827, 0.10370994940978077, 0.10118043844856661, 0.11298482293423272, 0.10118043844856661, 0.08600337268128162, 0.08768971332209106, 0.08094435075885328, 0.09780775716694773]",0.0085377400257626,3.3082127389923164
DODOUSDT,2024-07-03,2024-07-04-00:00,first,"[0.33171912832929784, 0.1549636803874092, 0.10976594027441484, 0.096045197740113, 0.07909604519774012, 0.06618240516545601, 0.062146892655367235, 0.05084745762711865, 0.04923325262308313]",0.00851552009009,2.849739455366884
DODOUSDT,2024-07-03,2024-07-04-00:00,second,"[0.11299435028248588, 0.09927360774818401, 0.13236481033091202, 0.1016949152542373, 0.13075060532687652, 0.09200968523002422, 0.08555286521388217, 0.07425343018563357, 0.08393866020984665, 0.08716707021791767]",0.0112310865089852,3.297147141397471
DODOUSDT,2024-07-04,2024-07-05-00:00,first,"[0.31845238095238093, 0.16666666666666666, 0.12574404761904762, 0.08630952380952381, 0.078125, 0.08482142857142858, 0.058779761904761904, 0.03943452380952381, 0.041666666666666664]",0.0081978111482306,2.8423134252416538
DODOUSDT,2024-07-04,2024-07-05-00:00,second,"[0.12351190476190477, 0.10491071428571429, 0.11532738095238096, 0.10863095238095238, 0.10044642857142858, 0.09375, 0.07738095238095238, 0.07886904761904762, 0.09598214285714286, 0.10119047619047619]",0.0078766699953608,3.308014675830338
DODOUSDT,2024-07-05,2024-07-06-00:00,first,"[0.3387900355871886, 0.17224199288256228, 0.11743772241992882, 0.08754448398576513, 0.08327402135231317, 0.06476868327402135, 0.04768683274021352, 0.04768683274021352, 0.040569395017793594]",0.009300625606199,2.797248881271712
DODOUSDT,2024-07-05,2024-07-06-00:00,second,"[0.1295373665480427, 0.11601423487544484, 0.10818505338078292, 0.10533807829181495, 0.10106761565836299, 0.09181494661921709, 0.09893238434163701, 0.07188612099644127, 0.09466192170818505, 0.08256227758007118]",0.0052799355117227,3.3043627219021974
DODOUSDT,2024-07-06,2024-07-07-00:00,first,"[0.3342981186685962, 0.15918958031837915, 0.12156295224312591, 0.09913169319826338, 0.07525325615050651, 0.06367583212735166, 0.052821997105643996, 0.05426917510853835, 0.03979739507959479]",0.0085792124124397,2.821821199622621
DODOUSDT,2024-07-06,2024-07-07-00:00,second,"[0.13386396526772792, 0.13386396526772792, 0.10130246020260492, 0.09913169319826338, 0.09840810419681621, 0.10564399421128799, 0.09696092619392185, 0.0918958031837916, 0.07814761215629522, 0.060781476121562955]",0.0096510642530116,3.289523151745764
DODOUSDT,2024-07-07,2024-07-08-00:00,first,"[0.30007283321194467, 0.14202476329206118, 0.12017479970866715, 0.09468317552804079, 0.08739985433357611, 0.07574654042243263, 0.05826656955571741, 0.06700655498907501, 0.05462490895848507]",0.0093365405767344,2.929033928413641
DODOUSDT,2024-07-07,2024-07-08-00:00,second,"[0.13401310997815002, 0.12672978878368535, 0.09832483612527312, 0.09541150764748725, 0.08448652585579024, 0.08885651857246904, 0.10269482884195193, 0.08958485069191552, 0.08667152221412965, 0.09322651128914786]",0.0089445558095538,3.304163851668216
DODOUSDT,2024-07-08,2024-07-09-00:00,first,"[0.33070866141732286, 0.1732283464566929, 0.11095204008589836, 0.08947745168217609, 0.06657122405153901, 0.05798138869005011, 0.0658554044380816, 0.07015032211882606, 0.03507516105941303]",0.012564427307818,2.824927367926413
