symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
EDUUSDT,2024-07-01,2024-07-02-00:00,first,"[0.2888386123680241, 0.1779788838612368, 0.13122171945701358, 0.08672699849170437, 0.08974358974358974, 0.07239819004524888, 0.053544494720965306, 0.06184012066365008, 0.03770739064856712]",0.0077493222180307,2.890217292451907
EDUUSDT,2024-07-01,2024-07-02-00:00,second,"[0.11538461538461539, 0.11161387631975868, 0.09803921568627451, 0.11085972850678733, 0.11613876319758673, 0.0889894419306184, 0.08974358974358974, 0.08823529411764706, 0.08748114630467571, 0.09351432880844646]",0.0061755411913178,3.312504411945852
EDUUSDT,2024-07-02,2024-07-03-00:00,first,"[0.315939957112223, 0.16726233023588277, 0.11436740528949249, 0.10007147962830593, 0.07076483202287348, 0.07005003573981415, 0.061472480343102216, 0.057183702644746245, 0.04288777698355969]",0.0068191972756605,2.8641182632256146
EDUUSDT,2024-07-02,2024-07-03-00:00,second,"[0.12008577555396711, 0.12651894210150108, 0.09006433166547534, 0.11579699785561115, 0.1043602573266619, 0.08577555396711938, 0.09292351679771266, 0.09006433166547534, 0.0814867762687634, 0.09292351679771266]",0.0072962006149571,3.3062831058834856
EDUUSDT,2024-07-03,2024-07-04-00:00,first,"[0.2689015691868759, 0.17118402282453637, 0.1276747503566334, 0.10912981455064194, 0.0912981455064194, 0.07203994293865906, 0.06134094151212553, 0.05563480741797432, 0.042796005706134094]",0.0088882550139536,2.93545704386748
EDUUSDT,2024-07-03,2024-07-04-00:00,second,"[0.1276747503566334, 0.11340941512125535, 0.10627674750356633, 0.10271041369472182, 0.10413694721825963, 0.0920114122681883, 0.09415121255349501, 0.0920114122681883, 0.08059914407988587, 0.08701854493580599]",0.003256263871518,3.3097770940936075
EDUUSDT,2024-07-04,2024-07-05-00:00,first,"[0.28611898016997167, 0.16147308781869688, 0.11756373937677053, 0.09206798866855524, 0.09915014164305949, 0.07719546742209632, 0.05594900849858357, 0.05736543909348442, 0.05311614730878187]",0.0097309215069172,2.9313003162893163
EDUUSDT,2024-07-04,2024-07-05-00:00,second,"[0.12039660056657224, 0.11898016997167139, 0.11048158640226628, 0.10198300283286119, 0.09277620396600567, 0.11048158640226628, 0.08994334277620397, 0.07011331444759207, 0.09702549575070822, 0.08781869688385269]",0.0067097247057031,3.305578983521979
EDUUSDT,2024-07-05,2024-07-06-00:00,first,"[0.2677942212825934, 0.18675123326286117, 0.12544045102184637, 0.11909795630725863, 0.08738548273431994, 0.07540521494009866, 0.0613107822410148, 0.03875968992248062, 0.03805496828752643]",0.0118513620398749,2.8990476860786734
EDUUSDT,2024-07-05,2024-07-06-00:00,second,"[0.12473572938689217, 0.1226215644820296, 0.10288935870331219, 0.10359408033826638, 0.0817477096546864, 0.0916138125440451, 0.09654686398872446, 0.09584214235377025, 0.08456659619450317, 0.09584214235377025]",0.0066589986900835,3.3090060610112206
EDUUSDT,2024-07-06,2024-07-07-00:00,first,"[0.3055555555555556, 0.17708333333333334, 0.12638888888888888, 0.09166666666666666, 0.07430555555555556, 0.07291666666666667, 0.05277777777777778, 0.05347222222222222, 0.04583333333333333]",0.0034073791185262,2.865960831014341
EDUUSDT,2024-07-06,2024-07-07-00:00,second,"[0.12430555555555556, 0.13194444444444445, 0.10277777777777777, 0.09722222222222222, 0.10277777777777777, 0.1, 0.09097222222222222, 0.08888888888888889, 0.08680555555555555, 0.07430555555555556]",0.0056945935406877,3.3030468290738217
EDUUSDT,2024-07-07,2024-07-08-00:00,first,"[0.29493407356002777, 0.16793893129770993, 0.11450381679389313, 0.10131852879944483, 0.09507286606523248, 0.06939625260235947, 0.047883414295628035, 0.054823039555863984, 0.05412907702984039]",0.0077314894129756,2.901669820319681
EDUUSDT,2024-07-07,2024-07-08-00:00,second,"[0.12630117973629423, 0.11380985426786953, 0.11519777931991672, 0.10131852879944483, 0.08743927827897294, 0.1054823039555864, 0.10062456627342123, 0.08119361554476058, 0.08396946564885496, 0.08466342817487855]",0.0058106180194941,3.30652413161518
