symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
ERNUSDT,2024-07-01,2024-07-02-00:00,first,"[0.2850909090909091, 0.1781818181818182, 0.12509090909090909, 0.08218181818181818, 0.09454545454545454, 0.072, 0.05745454545454545, 0.05236363636363636, 0.05309090909090909]",0.006934373982767,2.9104923341356552
ERNUSDT,2024-07-01,2024-07-02-00:00,second,"[0.12872727272727272, 0.11854545454545455, 0.09309090909090909, 0.11636363636363636, 0.09163636363636364, 0.09090909090909091, 0.09672727272727273, 0.09381818181818181, 0.09090909090909091, 0.07927272727272727]",0.0071790396448023,3.3065005000377203
ERNUSDT,2024-07-02,2024-07-03-00:00,first,"[0.31089258698940997, 0.17397881996974282, 0.11497730711043873, 0.08245083207261725, 0.08623298033282904, 0.06278366111951589, 0.059001512859304085, 0.059001512859304085, 0.05068078668683813]",0.0068213728956302,2.8740896571398817
ERNUSDT,2024-07-02,2024-07-03-00:00,second,"[0.11951588502269289, 0.10136157337367625, 0.11800302571860817, 0.09606656580937972, 0.09304084720121028, 0.08169440242057488, 0.09379727685325265, 0.0907715582450832, 0.08698940998487141, 0.11875945537065052]",0.0087571480143508,3.3094821249858586
ERNUSDT,2024-07-03,2024-07-04-00:00,first,"[0.31835786212238576, 0.14717273431448488, 0.12083656080557707, 0.08520526723470179, 0.09759876065065841, 0.06893880712625872, 0.0627420604182804, 0.05809450038729667, 0.041053446940356314]",0.0109843310972428,2.875557378307989
ERNUSDT,2024-07-03,2024-07-04-00:00,second,"[0.12006196746707978, 0.10611928737412858, 0.12238574748257165, 0.11618900077459333, 0.10844306738962045, 0.08830364058869093, 0.0844306738962045, 0.0906274206041828, 0.07436096049573973, 0.08907823392718822]",0.0076595132434025,3.303637000662484
ERNUSDT,2024-07-04,2024-07-05-00:00,first,"[0.2905457340507302, 0.17217524980784013, 0.1291314373558801, 0.09531129900076864, 0.09454265949269793, 0.07378939277478862, 0.054573405073020755, 0.04611837048424289, 0.043812451960030745]",0.0058659371859619,2.8902087020091374
ERNUSDT,2024-07-04,2024-07-05-00:00,second,"[0.11990776325903152, 0.11068408916218293, 0.09607993850883935, 0.10299769408147579, 0.09992313604919292, 0.09684857801691008, 0.08378170637970792, 0.10146041506533436, 0.09223674096848578, 0.09607993850883935]",0.0054515073026481,3.315614284595753
ERNUSDT,2024-07-05,2024-07-06-00:00,first,"[0.29130434782608694, 0.18405797101449275, 0.10507246376811594, 0.08768115942028985, 0.09927536231884058, 0.07536231884057971, 0.06086956521739131, 0.04927536231884058, 0.04710144927536232]",0.0090439854209745,2.8965756453800204
ERNUSDT,2024-07-05,2024-07-06-00:00,second,"[0.11376811594202899, 0.12101449275362319, 0.11014492753623188, 0.08550724637681159, 0.10579710144927536, 0.1, 0.08478260869565217, 0.08840579710144927, 0.09202898550724638, 0.09855072463768116]",0.0070543571529075,3.311827750271919
