symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
FUNUSDT,2024-07-01,2024-07-02-00:00,first,"[0.2675343456254519, 0.17208966015907448, 0.12436731742588576, 0.09689081706435286, 0.08315256688358641, 0.07086044830079537, 0.060014461315979754, 0.06869125090383225, 0.05639913232104121]",0.0084639697913897,2.957988834762344
FUNUSDT,2024-07-01,2024-07-02-00:00,second,"[0.12075198843094721, 0.12581344902386118, 0.10484454085321765, 0.10412147505422993, 0.09761388286334056, 0.1012292118582791, 0.09906001446131597, 0.09616775126536514, 0.0737527114967462, 0.07664497469269703]",0.0058098164360738,3.3043689236473104
FUNUSDT,2024-07-02,2024-07-03-00:00,first,"[0.28773234200743497, 0.17323420074349444, 0.11672862453531599, 0.09665427509293681, 0.08773234200743495, 0.07881040892193308, 0.06394052044609666, 0.046096654275092935, 0.04907063197026022]",0.0065947622509166,2.91137969117154
FUNUSDT,2024-07-02,2024-07-03-00:00,second,"[0.11895910780669144, 0.11598513011152416, 0.09814126394052045, 0.11449814126394052, 0.08475836431226766, 0.09814126394052045, 0.08921933085501858, 0.08996282527881042, 0.09144981412639405, 0.09888475836431226]",0.0062989605458598,3.312292279764768
FUNUSDT,2024-07-03,2024-07-04-00:00,first,"[0.3241430700447094, 0.18479880774962743, 0.12071535022354694, 0.07675111773472429, 0.08271236959761549, 0.05961251862891207, 0.05812220566318927, 0.04918032786885246, 0.043964232488822655]",0.0078848900689261,2.819880718249038
FUNUSDT,2024-07-03,2024-07-04-00:00,second,"[0.11698956780923994, 0.11773472429210134, 0.11177347242921014, 0.10581222056631892, 0.10506706408345752, 0.09016393442622951, 0.09538002980625931, 0.08718330849478391, 0.08941877794336811, 0.08047690014903129]",0.0033784269694428,3.3105219393384804
FUNUSDT,2024-07-04,2024-07-05-00:00,first,"[0.27353595255744995, 0.18680504077094143, 0.11638250555967383, 0.0748702742772424, 0.10229799851742032, 0.07635285396590066, 0.061527057079318014, 0.05559673832468495, 0.05263157894736842]",0.012908891752438,2.927507084615237
FUNUSDT,2024-07-04,2024-07-05-00:00,second,"[0.1111934766493699, 0.11860637509266123, 0.09785025945144551, 0.10303928836174944, 0.10378057820607858, 0.10081541882876205, 0.09117865085248332, 0.09266123054114159, 0.08598962194217939, 0.09488510007412898]",0.0049047639876037,3.3158385947148576
FUNUSDT,2024-07-05,2024-07-06-00:00,first,"[0.28661087866108786, 0.1708507670850767, 0.12831241283124128, 0.0899581589958159, 0.07601115760111576, 0.07880055788005579, 0.06555090655509066, 0.05718270571827057, 0.046722454672245464]",0.0066181225404994,2.9166091614469924
FUNUSDT,2024-07-05,2024-07-06-00:00,second,"[0.12133891213389121, 0.10669456066945607, 0.11157601115760112, 0.10320781032078104, 0.10739191073919108, 0.11157601115760112, 0.07670850767085077, 0.09344490934449093, 0.0801952580195258, 0.08786610878661087]",0.0064716632639599,3.307497460597053
FUNUSDT,2024-07-06,2024-07-07-00:00,first,"[0.2880970432145565, 0.16755117513267628, 0.1197877179681577, 0.09021986353297953, 0.10159211523881728, 0.07884761182714177, 0.05989385898407885, 0.058377558756633814, 0.0356330553449583]",0.0096530310451923,2.906956772061813
FUNUSDT,2024-07-06,2024-07-07-00:00,second,"[0.11144806671721001, 0.10841546626231995, 0.09249431387414708, 0.10993176648976498, 0.11220621683093253, 0.10310841546626232, 0.10083396512509477, 0.09249431387414708, 0.07884761182714177, 0.09021986353297953]",0.0077510931815976,3.3136929756860605
FUNUSDT,2024-07-07,2024-07-08-00:00,first,"[0.2961095100864553, 0.16786743515850144, 0.13688760806916425, 0.08573487031700289, 0.09077809798270893, 0.07204610951008646, 0.06412103746397695, 0.05259365994236311, 0.03386167146974063]",0.008047838057043,2.8792759602614697
FUNUSDT,2024-07-07,2024-07-08-00:00,second,"[0.12463976945244956, 0.11167146974063401, 0.10446685878962536, 0.11527377521613832, 0.10734870317002881, 0.10230547550432277, 0.0936599423631124, 0.0792507204610951, 0.07853025936599424, 0.08285302593659942]",0.0057717326050547,3.305271455321755
FUNUSDT,2024-07-08,2024-07-09-00:00,first,"[0.29669540229885055, 0.16594827586206898, 0.1221264367816092, 0.09123563218390805, 0.08908045977011494, 0.07830459770114942, 0.06321839080459771, 0.05028735632183908, 0.04310344827586207]",0.0058852145822082,2.898526636381621
FUNUSDT,2024-07-08,2024-07-09-00:00,second,"[0.10704022988505747, 0.11494252873563218, 0.10847701149425287, 0.11063218390804598, 0.10560344827586207, 0.10272988505747127, 0.10201149425287356, 0.08261494252873564, 0.08836206896551724, 0.07758620689655173]",0.0056263436250174,3.311179943618236
FUNUSDT,2024-07-09,2024-07-10-00:00,first,"[0.2992237120677488, 0.1587861679604799, 0.14396612561750177, 0.09880028228652082, 0.068454481298518, 0.08256880733944955, 0.04728299223712068, 0.05716302046577276, 0.043754410726887794]",0.009455594225532,2.8785367824982364
