symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
FXSUSDT,2024-07-01,2024-07-02-00:00,first,"[0.328416149068323, 0.16149068322981366, 0.09627329192546584, 0.09394409937888198, 0.08850931677018634, 0.062111801242236024, 0.07608695652173914, 0.05512422360248447, 0.03804347826086957]",0.0130624299613464,2.8492695821388243
FXSUSDT,2024-07-01,2024-07-02-00:00,second,"[0.11956521739130435, 0.12189440993788819, 0.10093167701863354, 0.10714285714285714, 0.10093167701863354, 0.09549689440993789, 0.10015527950310558, 0.08850931677018634, 0.08307453416149069, 0.08229813664596274]",0.0036443243826705,3.3099881601677894
FXSUSDT,2024-07-02,2024-07-03-00:00,first,"[0.3200624512099922, 0.14363778298204527, 0.11631537861046058, 0.078064012490242, 0.11397345823575332, 0.06791569086651054, 0.07650273224043716, 0.04215456674473068, 0.04137392661982826]",0.0162898564961749,2.8634140789167075
FXSUSDT,2024-07-02,2024-07-03-00:00,second,"[0.1451990632318501, 0.11163153786104606, 0.10850897736143637, 0.0936768149882904, 0.09211553473848556, 0.11787665886026542, 0.08430913348946135, 0.07338017174082748, 0.08899297423887588, 0.08430913348946135]",0.0096284276705853,3.294333191091401
FXSUSDT,2024-07-03,2024-07-04-00:00,first,"[0.2986526946107784, 0.18038922155688622, 0.12350299401197605, 0.09805389221556886, 0.07709580838323353, 0.061377245508982034, 0.06811377245508982, 0.04790419161676647, 0.04491017964071856]",0.0034585927080267,2.874769258934195
FXSUSDT,2024-07-03,2024-07-04-00:00,second,"[0.13547904191616766, 0.11526946107784432, 0.1062874251497006, 0.10029940119760479, 0.11077844311377245, 0.09356287425149701, 0.08982035928143713, 0.08308383233532934, 0.08308383233532934, 0.08233532934131736]",0.0055298743671535,3.3032131462866383
FXSUSDT,2024-07-04,2024-07-05-00:00,first,"[0.3267882187938289, 0.1535764375876578, 0.10869565217391304, 0.09747545582047686, 0.08415147265077139, 0.06732117812061711, 0.04908835904628331, 0.0638148667601683, 0.04908835904628331]",0.0105914430741808,2.8606380647887297
FXSUSDT,2024-07-04,2024-07-05-00:00,second,"[0.14095371669004209, 0.0967741935483871, 0.10098176718092566, 0.11360448807854137, 0.09887798036465638, 0.1093969144460028, 0.08976157082748948, 0.08695652173913043, 0.08345021037868162, 0.07924263674614306]",0.0086538109168847,3.3017091559651868
FXSUSDT,2024-07-05,2024-07-06-00:00,first,"[0.32127659574468087, 0.1794326241134752, 0.09858156028368795, 0.09361702127659574, 0.09219858156028368, 0.06028368794326241, 0.05035460992907802, 0.05106382978723404, 0.05319148936170213]",0.0097865109893732,2.843174724134552
FXSUSDT,2024-07-05,2024-07-06-00:00,second,"[0.12127659574468085, 0.10921985815602837, 0.1127659574468085, 0.09787234042553192, 0.1127659574468085, 0.10425531914893617, 0.09007092198581561, 0.0851063829787234, 0.08865248226950355, 0.07801418439716312]",0.005332010561117,3.308695527014652
