symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
HBARUSDT,2024-07-01,2024-07-02-00:00,first,"[0.3517730496453901, 0.17163120567375886, 0.1198581560283688, 0.08865248226950355, 0.09007092198581561, 0.05531914893617021, 0.04680851063829787, 0.0425531914893617, 0.03333333333333333]",0.0136961622043554,2.751301159611596
HBARUSDT,2024-07-01,2024-07-02-00:00,second,"[0.11418439716312057, 0.10709219858156029, 0.10212765957446808, 0.14609929078014183, 0.11063829787234042, 0.08794326241134752, 0.07659574468085106, 0.08652482269503546, 0.07943262411347518, 0.08936170212765958]",0.0112928352447821,3.2950631653711007
HBARUSDT,2024-07-02,2024-07-03-00:00,first,"[0.3526501766784452, 0.15830388692579506, 0.1137809187279152, 0.0989399293286219, 0.0784452296819788, 0.05371024734982332, 0.053003533568904596, 0.04381625441696113, 0.04734982332155477]",0.0122760955768686,2.7835601540221653
HBARUSDT,2024-07-02,2024-07-03-00:00,second,"[0.09823321554770319, 0.12367491166077739, 0.12791519434628976, 0.12296819787985866, 0.09823321554770319, 0.09823321554770319, 0.07491166077738516, 0.07491166077738516, 0.0862190812720848, 0.09469964664310954]",0.0117550831147399,3.2978021053464457
HBARUSDT,2024-07-03,2024-07-04-00:00,first,"[0.30326162387231087, 0.11866759195003469, 0.09784871616932686, 0.07425399028452463, 0.05829285218598196, 0.12421929215822346, 0.09784871616932686, 0.07009021512838307, 0.055517002081887576]",0.0284573564732876,2.934856409119043
HBARUSDT,2024-07-03,2024-07-04-00:00,second,"[0.12005551700208189, 0.11103400416377515, 0.09854267869535045, 0.1054823039555864, 0.08535739070090215, 0.10617626648161, 0.08743927827897294, 0.0922970159611381, 0.09646079111727966, 0.09715475364330327]",0.0068042377249359,3.314450635838569
HBARUSDT,2024-07-04,2024-07-05-00:00,first,"[0.2900763358778626, 0.15058986814712005, 0.12074947952810548, 0.11172796668979876, 0.09437890353920889, 0.07078417765440666, 0.06870229007633588, 0.048577376821651634, 0.04441360166551006]",0.0099029649546153,2.919557626302742
HBARUSDT,2024-07-04,2024-07-05-00:00,second,"[0.11380985426786953, 0.10201249132546843, 0.09646079111727966, 0.11172796668979876, 0.10687022900763359, 0.09576682859125607, 0.09854267869535045, 0.0916030534351145, 0.08605135322692574, 0.09715475364330327]",0.0065073683724659,3.317000094275384
HBARUSDT,2024-07-05,2024-07-06-00:00,first,"[0.3414295628036086, 0.15197779319916724, 0.10687022900763359, 0.08119361554476058, 0.1040943789035392, 0.0527411519777932, 0.05412907702984039, 0.05898681471200555, 0.048577376821651634]",0.0168815285602538,2.8255485753704184
HBARUSDT,2024-07-05,2024-07-06-00:00,second,"[0.13462873004857737, 0.12144344205412907, 0.11034004163775156, 0.10756419153365718, 0.08535739070090215, 0.0916030534351145, 0.09854267869535045, 0.09090909090909091, 0.0784177654406662, 0.08119361554476058]",0.0065962037170024,3.3007398278846933
HBARUSDT,2024-07-06,2024-07-07-00:00,first,"[0.2812061711079944, 0.18723702664796635, 0.12552594670406733, 0.10518934081346423, 0.08555399719495091, 0.05890603085553997, 0.04908835904628331, 0.05960729312762973, 0.047685834502103785]",0.0081707047249918,2.894264154850166
HBARUSDT,2024-07-06,2024-07-07-00:00,second,"[0.11991584852734923, 0.10098176718092566, 0.12061711079943899, 0.09396914446002805, 0.10098176718092566, 0.091164095371669, 0.09396914446002805, 0.08695652173913043, 0.0785413744740533, 0.11290322580645161]",0.0082412078126993,3.3092097754614938
HBARUSDT,2024-07-07,2024-07-08-00:00,first,"[0.2741151977793199, 0.22623178348369188, 0.131852879944483, 0.09576682859125607, 0.0798056904927134, 0.06384455239417071, 0.05135322692574601, 0.04718945176960444, 0.029840388619014575]",0.0128175804909516,2.829936664284625
