symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
LQTYUSDT,2024-07-01,2024-07-02-00:00,first,"[0.27055921052631576, 0.16940789473684212, 0.11842105263157894, 0.09539473684210527, 0.11266447368421052, 0.08141447368421052, 0.05921052631578947, 0.05180921052631579, 0.04111842105263158]",0.0110724842460489,2.933596632417533
LQTYUSDT,2024-07-01,2024-07-02-00:00,second,"[0.12417763157894737, 0.1225328947368421, 0.0962171052631579, 0.10197368421052631, 0.10115131578947369, 0.11019736842105263, 0.09046052631578948, 0.07976973684210527, 0.08552631578947369, 0.08799342105263158]",0.0061000938893832,3.3072060595326414
LQTYUSDT,2024-07-02,2024-07-03-00:00,first,"[0.2849213691026827, 0.16558741905642924, 0.12303422756706753, 0.08880666049953746, 0.1091581868640148, 0.06753006475485661, 0.05180388529139685, 0.05735430157261795, 0.05180388529139685]",0.0095129755103537,2.918229218657317
LQTYUSDT,2024-07-02,2024-07-03-00:00,second,"[0.13043478260869565, 0.1147086031452359, 0.07678075855689177, 0.09990749306197964, 0.10545790934320073, 0.09158186864014801, 0.09805735430157261, 0.09343200740055504, 0.09158186864014801, 0.09805735430157261]",0.0083116349559541,3.3084803408266725
LQTYUSDT,2024-07-03,2024-07-04-00:00,first,"[0.28512053200332504, 0.17040731504571904, 0.11803823773898586, 0.10224438902743142, 0.11554447215295095, 0.06317539484621779, 0.05486284289276808, 0.046550290939318374, 0.04405652535328346]",0.0092661338054891,2.897132496538258
LQTYUSDT,2024-07-03,2024-07-04-00:00,second,"[0.1288445552784705, 0.12468827930174564, 0.10224438902743142, 0.08645054031587697, 0.10473815461346633, 0.10806317539484622, 0.09226932668329177, 0.08478802992518704, 0.07813798836242726, 0.08977556109725686]",0.0081115127107508,3.3036021943188163
LQTYUSDT,2024-07-04,2024-07-05-00:00,first,"[0.2889374090247453, 0.17612809315866085, 0.13173216885007277, 0.11644832605531295, 0.0851528384279476, 0.05458515283842795, 0.05458515283842795, 0.05240174672489083, 0.04002911208151383]",0.007464310233298,2.8746688670250964
LQTYUSDT,2024-07-04,2024-07-05-00:00,second,"[0.11208151382823872, 0.12299854439592431, 0.11353711790393013, 0.10553129548762737, 0.10262008733624454, 0.09315866084425037, 0.09097525473071325, 0.08369723435225619, 0.0858806404657933, 0.08951965065502183]",0.0043719957618904,3.3105159159619157
LQTYUSDT,2024-07-05,2024-07-06-00:00,first,"[0.3039772727272727, 0.18536931818181818, 0.11150568181818182, 0.10582386363636363, 0.07883522727272728, 0.06889204545454546, 0.05752840909090909, 0.0390625, 0.049005681818181816]",0.0058516964220387,2.856515829389076
LQTYUSDT,2024-07-05,2024-07-06-00:00,second,"[0.12571022727272727, 0.10227272727272728, 0.13352272727272727, 0.10085227272727272, 0.10298295454545454, 0.09517045454545454, 0.08948863636363637, 0.08735795454545454, 0.07528409090909091, 0.08735795454545454]",0.0071535083417405,3.301860344426294
LQTYUSDT,2024-07-06,2024-07-07-00:00,first,"[0.27466863033873345, 0.17378497790868924, 0.13033873343151695, 0.10824742268041238, 0.0861561119293078, 0.06332842415316642, 0.06848306332842416, 0.04050073637702504, 0.054491899852724596]",0.0095417328933428,2.918990746947738
LQTYUSDT,2024-07-06,2024-07-07-00:00,second,"[0.09867452135493372, 0.11634756995581738, 0.10456553755522828, 0.09867452135493372, 0.10972017673048601, 0.0979381443298969, 0.09499263622974963, 0.09572901325478646, 0.09057437407952872, 0.09278350515463918]",0.0061831495136505,3.317868123702858
LQTYUSDT,2024-07-07,2024-07-08-00:00,first,"[0.27906976744186046, 0.15753938484621155, 0.1245311327831958, 0.10427606901725431, 0.09152288072018004, 0.07426856714178545, 0.06676669167291822, 0.05251312828207052, 0.04951237809452363]",0.0090932680570432,2.941207989211555
LQTYUSDT,2024-07-07,2024-07-08-00:00,second,"[0.13203300825206302, 0.11627906976744186, 0.11852963240810202, 0.09302325581395349, 0.0967741935483871, 0.09527381845461365, 0.10202550637659415, 0.08177044261065267, 0.0795198799699925, 0.08477119279819954]",0.0066203220022438,3.302850376180768
LQTYUSDT,2024-07-08,2024-07-09-00:00,first,"[0.27773749093546046, 0.15155910079767948, 0.1457577955039884, 0.10224800580130529, 0.06961566352429296, 0.06889050036258158, 0.09209572153734591, 0.05221174764321972, 0.03988397389412618]",0.0140586138169785,2.925388587398102
LQTYUSDT,2024-07-08,2024-07-09-00:00,second,"[0.13415518491660625, 0.10369833212472807, 0.10732414793328499, 0.11457577955039884, 0.09354604786076867, 0.09644670050761421, 0.08846990572878898, 0.09934735315445975, 0.07396664249456128, 0.08846990572878898]",0.0074380106390235,3.304619070619723
LQTYUSDT,2024-07-09,2024-07-10-00:00,first,"[0.26249067859806113, 0.16331096196868009, 0.12826249067859807, 0.10961968680089486, 0.09545115585384041, 0.06935123042505593, 0.058165548098434, 0.0633855331841909, 0.049962714392244596]",0.0114043587006491,2.9605349714575167
LQTYUSDT,2024-07-09,2024-07-10-00:00,second,"[0.14839671886651754, 0.0976882923191648, 0.09694258016405667, 0.10141685309470544, 0.10067114093959731, 0.11782252050708426, 0.08650260999254288, 0.07829977628635347, 0.08873974645786727, 0.08351976137211037]",0.0102790733050844,3.296874596847785
LQTYUSDT,2024-07-10,2024-07-11-00:00,first,"[0.3015748031496063, 0.13937007874015747, 0.1062992125984252, 0.11338582677165354, 0.1220472440944882, 0.06141732283464567, 0.05511811023622047, 0.048818897637795275, 0.05196850393700787]",0.0146883628160929,2.900056906661057
LQTYUSDT,2024-07-10,2024-07-11-00:00,second,"[0.13228346456692913, 0.131496062992126, 0.10551181102362205, 0.1173228346456693, 0.08897637795275591, 0.08976377952755905, 0.08110236220472442, 0.08582677165354331, 0.07401574803149606, 0.09370078740157481]",0.010381373062642,3.2947182927620497
LQTYUSDT,2024-07-11,2024-07-12-00:00,first,"[0.28642797668609493, 0.16069941715237301, 0.11240632805995004, 0.10074937552039967, 0.10241465445462115, 0.07410491257285595, 0.051623646960865945, 0.05661948376353039, 0.054954204829308906]",0.01086545987697,2.928738956137148
LQTYUSDT,2024-07-11,2024-07-12-00:00,second,"[0.13905079100749376, 0.12156536219816819, 0.12239800166527894, 0.093255620316403, 0.10241465445462115, 0.08409658617818484, 0.08825978351373855, 0.07160699417152373, 0.08409658617818484, 0.093255620316403]",0.0101976008613495,3.293551925770441
LQTYUSDT,2024-07-12,2024-07-13-00:00,first,"[0.2676167854315123, 0.19714964370546317, 0.12589073634204276, 0.10134600158353127, 0.08788598574821853, 0.07363420427553444, 0.06967537608867776, 0.040380047505938245, 0.03642121931908155]",0.0118937680923345,2.896134113102119
LQTYUSDT,2024-07-12,2024-07-13-00:00,second,"[0.1377672209026128, 0.11797307996832937, 0.10292953285827396, 0.09501187648456057, 0.1060965954077593, 0.1021377672209026, 0.08471892319873317, 0.07521773555027712, 0.0934283452098179, 0.08471892319873317]",0.0078556290112442,3.301269699583129
LQTYUSDT,2024-07-13,2024-07-14-00:00,first,"[0.289048473967684, 0.16786355475763015, 0.12477558348294435, 0.10502692998204669, 0.10053859964093358, 0.06104129263913824, 0.05116696588868941, 0.04488330341113106, 0.05565529622980251]",0.0087493502747614,2.8976655495955903
LQTYUSDT,2024-07-13,2024-07-14-00:00,second,"[0.13464991023339318, 0.13734290843806105, 0.09425493716337523, 0.09874326750448834, 0.08707360861759425, 0.08348294434470377, 0.0807899461400359, 0.07360861759425494, 0.0843806104129264, 0.12567324955116696]",0.0158198688320983,3.286884662804521
LQTYUSDT,2024-07-14,2024-07-15-00:00,first,"[0.29780033840947545, 0.17174280879864637, 0.12690355329949238, 0.08544839255499154, 0.10406091370558376, 0.0727580372250423, 0.047377326565143825, 0.04314720812182741, 0.050761421319796954]",0.0083688139339338,2.875294911417276
LQTYUSDT,2024-07-14,2024-07-15-00:00,second,"[0.13705583756345177, 0.10913705583756345, 0.10575296108291032, 0.10913705583756345, 0.09983079526226735, 0.08714043993231811, 0.09306260575296109, 0.0922165820642978, 0.0727580372250423, 0.09390862944162437]",0.0065919869503603,3.3034124656669763
LQTYUSDT,2024-07-15,2024-07-16-00:00,first,"[0.3220050977060323, 0.17417162276975362, 0.10365335598980459, 0.07731520815632965, 0.1070518266779949, 0.07051826677994902, 0.048428207306711976, 0.034834324553950725, 0.062022090059473234]",0.0152626131823455,2.833996083998537
LQTYUSDT,2024-07-15,2024-07-16-00:00,second,"[0.14188615123194562, 0.11469838572642312, 0.11894647408666101, 0.0951571792693288, 0.10960067969413764, 0.08411214953271028, 0.08326253186066271, 0.09770603228547153, 0.07561597281223449, 0.0790144435004248]",0.0099573320955021,3.2937773792132896
LQTYUSDT,2024-07-16,2024-07-17-00:00,first,"[0.30879038317054847, 0.16003005259203607, 0.11945905334335086, 0.08865514650638617, 0.08564988730277986, 0.06912096168294515, 0.05709992486851991, 0.0608564988730278, 0.05033809166040571]",0.0068195062976514,2.891428085585634
LQTYUSDT,2024-07-16,2024-07-17-00:00,second,"[0.14800901577761083, 0.09917355371900827, 0.10142749812171299, 0.10894064613072878, 0.09391435011269722, 0.09691960931630353, 0.09090909090909091, 0.08039068369646882, 0.08640120210368145, 0.09391435011269722]",0.008420040929897,3.301280341959133
LQTYUSDT,2024-07-17,2024-07-18-00:00,first,"[0.29124709527498066, 0.1812548412083656, 0.10224632068164213, 0.10766847405112316, 0.10147172734314484, 0.07203718048024788, 0.05964368706429125, 0.043377226955848176, 0.041053446940356314]",0.0099899234283356,2.88389529036356
LQTYUSDT,2024-07-17,2024-07-18-00:00,second,"[0.13245546088303642, 0.11618900077459333, 0.12006196746707978, 0.09914794732765299, 0.09759876065065841, 0.104570100697134, 0.08365608055770721, 0.0844306738962045, 0.07745933384972889, 0.0844306738962045]",0.0068416846019151,3.3006095406032974
LQTYUSDT,2024-07-18,2024-07-19-00:00,first,"[0.29163468917881813, 0.1987720644666155, 0.12509593246354567, 0.09823484267075978, 0.0844205679201842, 0.06216423637759018, 0.04911742133537989, 0.051419800460475826, 0.039140445126630855]",0.0065932068476749,2.8526557095206844
