symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
MANAUSDT,2024-07-01,2024-07-02-00:00,first,"[0.311046511627907, 0.17732558139534885, 0.12209302325581395, 0.10610465116279069, 0.0690406976744186, 0.04869186046511628, 0.061046511627906974, 0.05159883720930233, 0.053052325581395346]",0.0069424868647086,2.85062547162292
MANAUSDT,2024-07-01,2024-07-02-00:00,second,"[0.10901162790697674, 0.11337209302325581, 0.10755813953488372, 0.10537790697674419, 0.10610465116279069, 0.09302325581395349, 0.09593023255813954, 0.08284883720930232, 0.09375, 0.09302325581395349]",0.0047212285186998,3.31586965819169
MANAUSDT,2024-07-02,2024-07-03-00:00,first,"[0.2909090909090909, 0.17745454545454545, 0.12436363636363636, 0.09527272727272727, 0.08145454545454546, 0.064, 0.06254545454545454, 0.056, 0.048]",0.0033955734145547,2.8997914250097785
MANAUSDT,2024-07-02,2024-07-03-00:00,second,"[0.12363636363636364, 0.12436363636363636, 0.10690909090909091, 0.09818181818181818, 0.09672727272727273, 0.09963636363636363, 0.09672727272727273, 0.07854545454545454, 0.08872727272727272, 0.08654545454545455]",0.0046895228820028,3.3077847600698678
MANAUSDT,2024-07-03,2024-07-04-00:00,first,"[0.29512893982808025, 0.16260744985673353, 0.11819484240687679, 0.0995702005730659, 0.083810888252149, 0.07163323782234957, 0.062320916905444126, 0.0508595988538682, 0.055873925501432664]",0.0058714850732855,2.914068547028199
MANAUSDT,2024-07-03,2024-07-04-00:00,second,"[0.11031518624641834, 0.12535816618911175, 0.11532951289398281, 0.1010028653295129, 0.1010028653295129, 0.08882521489971347, 0.09813753581661891, 0.08810888252148998, 0.08595988538681948, 0.08595988538681948]",0.0048792146189346,3.3102551921502528
MANAUSDT,2024-07-04,2024-07-05-00:00,first,"[0.32462949894142556, 0.15949188426252647, 0.13549752999294284, 0.08821453775582216, 0.0776287932251235, 0.05575158786167961, 0.05786873676781934, 0.04940014114326041, 0.051517290049400144]",0.0088706880335138,2.8401863431168586
MANAUSDT,2024-07-04,2024-07-05-00:00,second,"[0.11785462244177841, 0.12561750176429076, 0.08821453775582216, 0.10162314749470713, 0.11150317572335922, 0.1086803105151729, 0.08045165843330981, 0.0995059985885674, 0.08892025405786874, 0.0776287932251235]",0.0090859312646671,3.305076456484463
MANAUSDT,2024-07-05,2024-07-06-00:00,first,"[0.2756454989532449, 0.1807397069085834, 0.15631542219120725, 0.09839497557571528, 0.07885554780181438, 0.07397069085833916, 0.051639916259595256, 0.041172365666434056, 0.04326587578506629]",0.0098964438291542,2.879374161603453
MANAUSDT,2024-07-05,2024-07-06-00:00,second,"[0.11304954640614097, 0.12072575017445918, 0.10258199581297976, 0.09141660851360782, 0.11165387299371947, 0.0928122819260293, 0.10258199581297976, 0.0837404047452896, 0.0942079553384508, 0.08722958827634333]",0.0072517431002453,3.312380788056256
MANAUSDT,2024-07-06,2024-07-07-00:00,first,"[0.3087818696883853, 0.1706798866855524, 0.11331444759206799, 0.08711048158640226, 0.07861189801699717, 0.07861189801699717, 0.06161473087818697, 0.056657223796033995, 0.04461756373937677]",0.0063432150355424,2.880952302298863
MANAUSDT,2024-07-06,2024-07-07-00:00,second,"[0.13031161473087818, 0.12110481586402266, 0.1048158640226629, 0.09702549575070822, 0.11118980169971672, 0.10694050991501416, 0.09773371104815864, 0.07790368271954674, 0.07577903682719547, 0.07719546742209632]",0.008670181480083,3.298887511287161
MANAUSDT,2024-07-07,2024-07-08-00:00,first,"[0.3127690100430416, 0.17288378766140602, 0.12984218077474893, 0.09469153515064563, 0.07532281205164992, 0.06886657101865136, 0.05380200860832138, 0.04519368723098996, 0.046628407460545196]",0.004318479296315,2.848456058787902
MANAUSDT,2024-07-07,2024-07-08-00:00,second,"[0.11477761836441894, 0.13486370157819225, 0.11477761836441894, 0.10114777618364419, 0.09899569583931134, 0.0975609756097561, 0.08823529411764706, 0.09971305595408896, 0.06886657101865136, 0.08106169296987087]",0.0074349048042931,3.2993000160976518
MANAUSDT,2024-07-08,2024-07-09-00:00,first,"[0.28031383737517834, 0.19400855920114124, 0.12339514978601997, 0.0891583452211127, 0.0898716119828816, 0.06776034236804565, 0.05991440798858773, 0.05420827389443652, 0.04136947218259629]",0.0076443180613567,2.8936681236136224
