symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
PROSUSDT,2024-07-01,2024-07-02-00:00,first,"[0.29831006612784716, 0.16825863335782512, 0.1381337252020573, 0.09184423218221896, 0.09037472446730345, 0.06245407788390889, 0.05951506245407789, 0.0470242468772961, 0.0440852314474651]",0.0057581294421838,2.8755809699844246
PROSUSDT,2024-07-01,2024-07-02-00:00,second,"[0.09698750918442321, 0.1278471711976488, 0.10727406318883174, 0.10947832476120499, 0.08890521675238795, 0.09698750918442321, 0.09037472446730345, 0.09698750918442321, 0.09625275532696546, 0.08890521675238795]",0.0077284384120116,3.3129529419025583
PROSUSDT,2024-07-02,2024-07-03-00:00,first,"[0.2776183644189383, 0.17431850789096126, 0.12769010043041606, 0.11692969870875179, 0.08751793400286945, 0.07101865136298421, 0.05164992826398852, 0.04878048780487805, 0.04447632711621234]",0.0078176887134282,2.905433340144474
PROSUSDT,2024-07-02,2024-07-03-00:00,second,"[0.1133428981348637, 0.11190817790530846, 0.11047345767575323, 0.09253945480631277, 0.10473457675753228, 0.08106169296987087, 0.08680057388809183, 0.11119081779053085, 0.09182209469153516, 0.09612625538020086]",0.0084596212232615,3.3128155331212343
PROSUSDT,2024-07-03,2024-07-04-00:00,first,"[0.32453637660485024, 0.17261055634807418, 0.12838801711840228, 0.07845934379457917, 0.07346647646219687, 0.05991440798858773, 0.06348074179743224, 0.05492154065620542, 0.0442225392296719]",0.0080474387732313,2.834098664140115
PROSUSDT,2024-07-03,2024-07-04-00:00,second,"[0.10627674750356633, 0.11840228245363767, 0.10271041369472182, 0.10627674750356633, 0.11198288159771755, 0.0891583452211127, 0.0912981455064194, 0.09700427960057062, 0.08701854493580599, 0.0898716119828816]",0.0059321191809965,3.314469899330552
PROSUSDT,2024-07-04,2024-07-05-00:00,first,"[0.273071104387292, 0.15658093797276854, 0.11875945537065052, 0.09001512859304085, 0.08698940998487141, 0.07639939485627836, 0.07866868381240545, 0.06505295007564296, 0.05446293494704992]",0.0134540840027259,2.971574501122144
PROSUSDT,2024-07-04,2024-07-05-00:00,second,"[0.11270801815431165, 0.12632375189107414, 0.12102874432677761, 0.09152798789712557, 0.094553706505295, 0.09379727685325265, 0.08850226928895613, 0.10514372163388805, 0.08472012102874432, 0.08169440242057488]",0.0078865252338143,3.3066410045039865
PROSUSDT,2024-07-05,2024-07-06-00:00,first,"[0.3014105419450631, 0.16406829992576094, 0.11655530809205643, 0.09205642167780252, 0.08092056421677803, 0.07646622123236822, 0.06829992576095026, 0.053452115812917596, 0.0467706013363029]",0.0056133286614261,2.9016653685663947
PROSUSDT,2024-07-05,2024-07-06-00:00,second,"[0.11284335560504825, 0.12694877505567928, 0.10467706013363029, 0.10467706013363029, 0.09205642167780252, 0.1091314031180401, 0.09279881217520415, 0.08908685968819599, 0.08908685968819599, 0.07869339272457312]",0.0054754289951691,3.3088973371276373
PROSUSDT,2024-07-06,2024-07-07-00:00,first,"[0.3014598540145985, 0.17153284671532848, 0.11021897810218978, 0.09416058394160584, 0.1, 0.07007299270072993, 0.06642335766423357, 0.04890510948905109, 0.03722627737226277]",0.0072902724577013,2.8798756142560538
PROSUSDT,2024-07-06,2024-07-07-00:00,second,"[0.10583941605839416, 0.10583941605839416, 0.10145985401459855, 0.10875912408759124, 0.11532846715328467, 0.10145985401459855, 0.09416058394160584, 0.09343065693430656, 0.08832116788321168, 0.0854014598540146]",0.0058504369757117,3.316050570597236
PROSUSDT,2024-07-07,2024-07-08-00:00,first,"[0.3291044776119403, 0.16567164179104477, 0.10970149253731343, 0.08283582089552238, 0.09477611940298507, 0.07462686567164178, 0.05522388059701493, 0.04552238805970149, 0.04253731343283582]",0.0114109847431884,2.833827645994983
PROSUSDT,2024-07-07,2024-07-08-00:00,second,"[0.12164179104477611, 0.10223880597014925, 0.10746268656716418, 0.12014925373134329, 0.08283582089552238, 0.09701492537313433, 0.10074626865671642, 0.09776119402985074, 0.08582089552238806, 0.08432835820895522]",0.0065801286306037,3.3098322283580064
PROSUSDT,2024-07-08,2024-07-09-00:00,first,"[0.28076639646278556, 0.18201915991156964, 0.11348563006632277, 0.09285187914517318, 0.08548268238761975, 0.08400884303610906, 0.05747973470891673, 0.061164333087693444, 0.04274134119380987]",0.0087340447203758,2.917880404899765
PROSUSDT,2024-07-08,2024-07-09-00:00,second,"[0.10685335298452468, 0.11938098747236552, 0.10611643330876934, 0.1156963890935888, 0.08769344141488578, 0.10316875460574797, 0.11274871039056743, 0.09358879882092852, 0.0707442888725129, 0.08400884303610906]",0.009192003177944,3.305616008112188
PROSUSDT,2024-07-09,2024-07-10-00:00,first,"[0.29727793696275073, 0.17335243553008595, 0.11389684813753581, 0.0995702005730659, 0.07449856733524356, 0.06446991404011461, 0.0651862464183381, 0.06088825214899714, 0.0508595988538682]",0.0054871833334377,2.9022123648361395
PROSUSDT,2024-07-09,2024-07-10-00:00,second,"[0.1353868194842407, 0.11604584527220631, 0.11604584527220631, 0.11532951289398281, 0.08595988538681948, 0.09598853868194843, 0.08739255014326648, 0.07808022922636103, 0.07521489971346705, 0.09455587392550144]",0.009129222709908,3.2970305692061896
PROSUSDT,2024-07-10,2024-07-11-00:00,first,"[0.2917933130699088, 0.1778115501519757, 0.11398176291793313, 0.08662613981762918, 0.0858662613981763, 0.0858662613981763, 0.06458966565349544, 0.050911854103343465, 0.0425531914893617]",0.0075383326422706,2.9004226975026905
PROSUSDT,2024-07-10,2024-07-11-00:00,second,"[0.12462006079027356, 0.12082066869300911, 0.10866261398176291, 0.09954407294832827, 0.11246200607902736, 0.08282674772036475, 0.0919452887537994, 0.08966565349544073, 0.0790273556231003, 0.09042553191489362]",0.0058906682294989,3.305696434390785
PROSUSDT,2024-07-11,2024-07-12-00:00,first,"[0.29767441860465116, 0.1697674418604651, 0.14108527131782947, 0.08759689922480621, 0.0937984496124031, 0.06744186046511629, 0.04496124031007752, 0.05891472868217054, 0.03875968992248062]",0.0086713367430222,2.8673262435853664
PROSUSDT,2024-07-11,2024-07-12-00:00,second,"[0.13023255813953488, 0.1372093023255814, 0.11085271317829458, 0.10155038759689923, 0.08837209302325581, 0.09457364341085271, 0.09069767441860466, 0.08682170542635659, 0.07751937984496124, 0.08217054263565891]",0.007180740526693,3.2965533726574603
PROSUSDT,2024-07-12,2024-07-13-00:00,first,"[0.3061986557132188, 0.1837191934279313, 0.13293502613890965, 0.07542942494398805, 0.09260642270351008, 0.07244212098581031, 0.060492905153099324, 0.04256908140403286, 0.033607169529499624]",0.0093809666974649,2.8355935850280893
PROSUSDT,2024-07-12,2024-07-13-00:00,second,"[0.11426437640029873, 0.12322628827483197, 0.12471994025392083, 0.10604929051530994, 0.11053024645257654, 0.09858103061986558, 0.08812546676624347, 0.07692307692307693, 0.06348020911127707, 0.09410007468259896]",0.0096365836054971,3.295213382724587
PROSUSDT,2024-07-13,2024-07-14-00:00,first,"[0.29859571322985956, 0.1714708056171471, 0.13821138211382114, 0.09090909090909091, 0.08425720620842572, 0.0672579453067258, 0.050997782705099776, 0.0524759793052476, 0.04582409460458241]",0.0044555160542685,2.874520583565295
PROSUSDT,2024-07-13,2024-07-14-00:00,second,"[0.1130820399113082, 0.13008130081300814, 0.1286031042128603, 0.1049519586104952, 0.08499630450849963, 0.09090909090909091, 0.090169992609017, 0.09608277900960828, 0.07686622320768663, 0.08425720620842572]",0.0084651981464688,3.299957825933198
PROSUSDT,2024-07-14,2024-07-15-00:00,first,"[0.30879038317054847, 0.16378662659654394, 0.11645379413974455, 0.09767092411720511, 0.08564988730277986, 0.067618332081142, 0.05709992486851991, 0.059353869271224644, 0.04357625845229151]",0.0053028509211651,2.8811480765465265
PROSUSDT,2024-07-14,2024-07-15-00:00,second,"[0.11419984973703982, 0.11119459053343352, 0.10293012772351616, 0.09691960931630353, 0.10894064613072878, 0.09842223891810668, 0.10142749812171299, 0.09541697971450037, 0.08715251690458302, 0.08339594290007513]",0.0046990399525014,3.315434570301929
PROSUSDT,2024-07-15,2024-07-16-00:00,first,"[0.2811361981063365, 0.18936635105608157, 0.12163146394756008, 0.0968681718863802, 0.07793153678077203, 0.06773488710852149, 0.06482155863073562, 0.055353241077931534, 0.04515659140568099]",0.0055763377248683,2.9039921642349524
PROSUSDT,2024-07-15,2024-07-16-00:00,second,"[0.11944646758922069, 0.10706482155863073, 0.1143481427530954, 0.11289147851420248, 0.11070648215586307, 0.09031318281136198, 0.0764748725418791, 0.09322651128914786, 0.0852148579752367, 0.09031318281136198]",0.0065354389384656,3.3078943351963543
PROSUSDT,2024-07-16,2024-07-17-00:00,first,"[0.28343023255813954, 0.21148255813953487, 0.12936046511627908, 0.1002906976744186, 0.07485465116279069, 0.05377906976744186, 0.047238372093023256, 0.06177325581395349, 0.0377906976744186]",0.0119587656943927,2.845451833906772
PROSUSDT,2024-07-16,2024-07-17-00:00,second,"[0.125, 0.10174418604651163, 0.12354651162790697, 0.11409883720930232, 0.10319767441860465, 0.09520348837209303, 0.09302325581395349, 0.08284883720930232, 0.0806686046511628, 0.0806686046511628]",0.0065408986309772,3.3040108557078933
PROSUSDT,2024-07-17,2024-07-18-00:00,first,"[0.3036925395629239, 0.1785983421250942, 0.09721175584024115, 0.08063300678221552, 0.0987189148455162, 0.0693293142426526, 0.059532780708364735, 0.07083647324792766, 0.04144687264506405]",0.0107365788687801,2.885718532124995
PROSUSDT,2024-07-17,2024-07-18-00:00,second,"[0.13489073097211757, 0.11303692539562923, 0.10173323285606632, 0.09947249434815374, 0.10625470987189148, 0.08590806330067823, 0.09796533534287867, 0.09495101733232857, 0.08440090429540316, 0.08138658628485305]",0.0060695195204233,3.306297156558085
PROSUSDT,2024-07-18,2024-07-19-00:00,first,"[0.3180428134556575, 0.15978593272171254, 0.12232415902140673, 0.08409785932721713, 0.0863914373088685, 0.07492354740061162, 0.053516819571865444, 0.05733944954128441, 0.04357798165137615]",0.0085303764259603,2.864395467487207
PROSUSDT,2024-07-18,2024-07-19-00:00,second,"[0.13149847094801223, 0.12996941896024464, 0.11926605504587157, 0.08944954128440367, 0.09327217125382263, 0.09480122324159021, 0.0779816513761468, 0.09709480122324159, 0.07492354740061162, 0.09174311926605505]",0.0103663306212367,3.2962978275974297
PROSUSDT,2024-07-19,2024-07-20-00:00,first,"[0.32323232323232326, 0.15728715728715728, 0.11544011544011544, 0.09235209235209235, 0.06854256854256854, 0.07215007215007214, 0.06349206349206349, 0.05555555555555555, 0.05194805194805195]",0.0096665157994952,2.867882731883604
