symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
PUNDIXUSDT,2024-07-01,2024-07-02-00:00,first,"[0.29705215419501135, 0.16628873771730915, 0.1564625850340136, 0.08919123204837491, 0.0854119425547997, 0.05366591080876795, 0.06953892668178382, 0.049886621315192746, 0.03250188964474679]",0.0109558943637745,2.853824342563668
PUNDIXUSDT,2024-07-01,2024-07-02-00:00,second,"[0.12471655328798185, 0.11337868480725624, 0.1360544217687075, 0.08767951625094482, 0.10052910052910052, 0.08616780045351474, 0.09297052154195011, 0.08465608465608465, 0.07860922146636433, 0.09523809523809523]",0.0085463697792448,3.2997081673592805
PUNDIXUSDT,2024-07-02,2024-07-03-00:00,first,"[0.2911392405063291, 0.1787974683544304, 0.12658227848101267, 0.07753164556962025, 0.09731012658227849, 0.06091772151898734, 0.06962025316455696, 0.05617088607594937, 0.041930379746835444]",0.0086945114492341,2.8916803011461854
PUNDIXUSDT,2024-07-02,2024-07-03-00:00,second,"[0.11313291139240507, 0.09968354430379747, 0.12183544303797468, 0.09414556962025317, 0.0981012658227848, 0.10759493670886076, 0.0981012658227848, 0.0893987341772152, 0.08227848101265822, 0.09572784810126582]",0.0078777342044653,3.313423668148016
PUNDIXUSDT,2024-07-03,2024-07-04-00:00,first,"[0.296998420221169, 0.1627172195892575, 0.12085308056872038, 0.07898894154818326, 0.09399684044233807, 0.07661927330173776, 0.06556082148499211, 0.05292259083728278, 0.05134281200631911]",0.0087582983130419,2.9108045869993573
PUNDIXUSDT,2024-07-03,2024-07-04-00:00,second,"[0.12954186413902052, 0.12717219589257503, 0.11216429699842022, 0.1018957345971564, 0.10426540284360189, 0.09557661927330174, 0.10031595576619273, 0.0947867298578199, 0.06003159557661927, 0.07424960505529225]",0.0083641294334931,3.291026382721293
PUNDIXUSDT,2024-07-04,2024-07-05-00:00,first,"[0.31794095382286147, 0.16654049962149886, 0.09613928841786526, 0.08554125662376987, 0.08554125662376987, 0.07721423164269493, 0.06056018168054504, 0.059046177138531414, 0.05147615442846329]",0.0110486586686452,2.879635694570481
PUNDIXUSDT,2024-07-04,2024-07-05-00:00,second,"[0.13171839515518546, 0.10900832702498107, 0.10825132475397427, 0.11203633610900833, 0.08932626797880394, 0.10522331566994701, 0.07645722937168811, 0.08327024981074943, 0.10446631339894019, 0.08024224072672217]",0.0090376484248113,3.302576274217486
PUNDIXUSDT,2024-07-05,2024-07-06-00:00,first,"[0.3268398268398268, 0.16161616161616163, 0.11832611832611832, 0.09090909090909091, 0.07647907647907648, 0.07287157287157287, 0.05411255411255411, 0.05194805194805195, 0.046897546897546896]",0.0074822667231883,2.846453606293259
PUNDIXUSDT,2024-07-05,2024-07-06-00:00,second,"[0.15223665223665223, 0.113997113997114, 0.09595959595959595, 0.09668109668109669, 0.10028860028860029, 0.08441558441558442, 0.09163059163059163, 0.08513708513708514, 0.09018759018759019, 0.08946608946608947]",0.0079501336492909,3.29783600325733
PUNDIXUSDT,2024-07-06,2024-07-07-00:00,first,"[0.2823259372609028, 0.19051262433052793, 0.13465952563121653, 0.08416220351951033, 0.0772762050497322, 0.06885998469778118, 0.06503442999234889, 0.04896710022953328, 0.04820198928844682]",0.0078982958016366,2.892516239208657
