symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
SNXUSDT,2024-07-01,2024-07-02-00:00,first,"[0.31922525107604016, 0.1800573888091822, 0.10114777618364419, 0.09253945480631277, 0.08608321377331421, 0.05810616929698709, 0.06743185078909612, 0.04949784791965567, 0.04591104734576758]",0.008590402997278,2.8475140359929103
SNXUSDT,2024-07-01,2024-07-02-00:00,second,"[0.1284074605451937, 0.11908177905308465, 0.10043041606886657, 0.10975609756097561, 0.10473457675753228, 0.09182209469153516, 0.08751793400286945, 0.08321377331420372, 0.08034433285509325, 0.09469153515064563]",0.0066933925013527,3.306267755999066
SNXUSDT,2024-07-02,2024-07-03-00:00,first,"[0.29433406916850624, 0.1545253863134658, 0.12729948491537896, 0.09124356144223694, 0.08609271523178808, 0.07579102281089035, 0.061074319352465045, 0.05886681383370125, 0.05077262693156733]",0.0075396112896688,2.9212377651305195
SNXUSDT,2024-07-02,2024-07-03-00:00,second,"[0.12214863870493009, 0.1243561442236939, 0.09565857247976453, 0.09492273730684327, 0.10448859455481972, 0.10154525386313466, 0.1008094186902134, 0.08241353936718175, 0.08241353936718175, 0.09124356144223694]",0.0071329427127922,3.3088448192235367
SNXUSDT,2024-07-03,2024-07-04-00:00,first,"[0.32155731795241527, 0.18168709444844988, 0.11679884643114635, 0.10021629416005767, 0.06993511175198269, 0.06705118961788031, 0.05191059841384282, 0.04253785147801009, 0.04830569574621485]",0.0071293431124468,2.824099414382452
SNXUSDT,2024-07-03,2024-07-04-00:00,second,"[0.13338139870223503, 0.11896178803172314, 0.11175198269646719, 0.0973323720259553, 0.110310021629416, 0.09444844989185291, 0.09156452775775054, 0.07354001441961067, 0.08074981975486661, 0.08795962509012256]",0.0069336781629493,3.3001883205910074
SNXUSDT,2024-07-04,2024-07-05-00:00,first,"[0.3101754385964912, 0.1705263157894737, 0.12140350877192982, 0.08912280701754385, 0.08350877192982456, 0.060350877192982454, 0.05824561403508772, 0.051929824561403506, 0.05473684210526316]",0.0052185087846046,2.8726989857667973
SNXUSDT,2024-07-04,2024-07-05-00:00,second,"[0.11157894736842106, 0.11017543859649123, 0.10666666666666667, 0.11368421052631579, 0.10596491228070175, 0.09964912280701754, 0.08771929824561403, 0.09964912280701754, 0.07438596491228071, 0.09052631578947369]",0.0065618689164738,3.311410942697074
SNXUSDT,2024-07-05,2024-07-06-00:00,first,"[0.32217573221757323, 0.16248256624825663, 0.1199442119944212, 0.09414225941422594, 0.08716875871687588, 0.06834030683403068, 0.05299860529986053, 0.05090655509065551, 0.04184100418410042]",0.0067837258725023,2.8466181566016227
SNXUSDT,2024-07-05,2024-07-06-00:00,second,"[0.11227336122733612, 0.1199442119944212, 0.10948396094839609, 0.09902370990237098, 0.10251046025104603, 0.10529986052998605, 0.08926080892608089, 0.08577405857740586, 0.08298465829846582, 0.09344490934449093]",0.0051978021055362,3.3123744944957614
SNXUSDT,2024-07-06,2024-07-07-00:00,first,"[0.3056921995783556, 0.16654954321855236, 0.12719606465214336, 0.10470836261419536, 0.08292340126493324, 0.0646521433591005, 0.05270555165144062, 0.04567814476458187, 0.049894588896697116]",0.0050215855817082,2.868924836216697
SNXUSDT,2024-07-06,2024-07-07-00:00,second,"[0.11806043569922699, 0.10751932536893886, 0.11243851018973998, 0.10400562192550948, 0.09978917779339423, 0.09557273366127898, 0.07940969782150387, 0.09978917779339423, 0.10260014054813774, 0.08081517919887561]",0.0056168573354597,3.311792080882598
SNXUSDT,2024-07-07,2024-07-08-00:00,first,"[0.303714493809177, 0.1726147123088128, 0.1143481427530954, 0.09322651128914786, 0.08230152949745084, 0.07283321194464676, 0.05753823743627094, 0.051711580480699196, 0.051711580480699196]",0.0040454115249771,2.88724991633986
SNXUSDT,2024-07-07,2024-07-08-00:00,second,"[0.13911143481427532, 0.13401310997815002, 0.10050983248361253, 0.11070648215586307, 0.08667152221412965, 0.09468317552804079, 0.09104151493080845, 0.07574654042243263, 0.07501820830298617, 0.09249817916970138]",0.0106865843649801,3.2916388027437167
SNXUSDT,2024-07-08,2024-07-09-00:00,first,"[0.3043175487465181, 0.1796657381615599, 0.12395543175487465, 0.0905292479108635, 0.07729805013927576, 0.056406685236768804, 0.060584958217270196, 0.05988857938718663, 0.04735376044568245]",0.0043971933895137,2.8705167510072864
SNXUSDT,2024-07-08,2024-07-09-00:00,second,"[0.1511142061281337, 0.0988857938718663, 0.10584958217270195, 0.11281337047353761, 0.09749303621169916, 0.08635097493036212, 0.07938718662952646, 0.09540389972144847, 0.08844011142061281, 0.08426183844011143]",0.0091681432134855,3.296470521502868
SNXUSDT,2024-07-09,2024-07-10-00:00,first,"[0.30980945659844744, 0.13761467889908258, 0.11856033874382499, 0.10797459421312633, 0.07410021171489062, 0.07057163020465773, 0.07127734650670431, 0.05434015525758645, 0.05575158786167961]",0.0110968916341795,2.909204890599141
SNXUSDT,2024-07-09,2024-07-10-00:00,second,"[0.1333803810868031, 0.10938602681721948, 0.11573747353563868, 0.08962597035991532, 0.10797459421312633, 0.0995059985885674, 0.08962597035991532, 0.08821453775582216, 0.08539167254763586, 0.08115737473535639]",0.0062224483503689,3.3048827133735013
SNXUSDT,2024-07-10,2024-07-11-00:00,first,"[0.30867709815078237, 0.15220483641536273, 0.12731152204836416, 0.09317211948790896, 0.08036984352773827, 0.07965860597439545, 0.049786628733997154, 0.05547652916073969, 0.05334281650071124]",0.0079621409787012,2.8899945580409425
SNXUSDT,2024-07-10,2024-07-11-00:00,second,"[0.11522048364153627, 0.1116642958748222, 0.09886201991465149, 0.10455192034139403, 0.09886201991465149, 0.09672830725462304, 0.09601706970128022, 0.09743954480796586, 0.0953058321479374, 0.08534850640113797]",0.0036180507863726,3.317191063053162
SNXUSDT,2024-07-11,2024-07-12-00:00,first,"[0.3258992805755396, 0.1510791366906475, 0.1237410071942446, 0.10287769784172662, 0.06618705035971223, 0.0683453237410072, 0.06402877697841726, 0.05539568345323741, 0.04244604316546763]",0.0094478877471575,2.8520786502947177
SNXUSDT,2024-07-11,2024-07-12-00:00,second,"[0.13309352517985612, 0.11007194244604317, 0.1093525179856115, 0.09712230215827339, 0.11294964028776978, 0.10143884892086331, 0.0856115107913669, 0.0776978417266187, 0.07625899280575539, 0.09640287769784173]",0.0085507704683918,3.302236160553793
SNXUSDT,2024-07-12,2024-07-13-00:00,first,"[0.3104181431608788, 0.15308291991495393, 0.13182140326009922, 0.07654145995747696, 0.0744153082919915, 0.08717221828490432, 0.07087172218284904, 0.04677533664068037, 0.04890148830616584]",0.0116711146119202,2.8835138221671683
SNXUSDT,2024-07-12,2024-07-13-00:00,second,"[0.1332388377037562, 0.12473423104181432, 0.10630758327427356, 0.10630758327427356, 0.08079376328844791, 0.09496810772501772, 0.08646350106307583, 0.10134656272147413, 0.07725017717930546, 0.0885896527285613]",0.0081937187814374,3.300602646370564
SNXUSDT,2024-07-13,2024-07-14-00:00,first,"[0.3078078078078078, 0.15840840840840842, 0.12837837837837837, 0.0960960960960961, 0.06981981981981981, 0.07282282282282282, 0.060810810810810814, 0.05855855855855856, 0.0472972972972973]",0.0061907097304529,2.886223169420706
SNXUSDT,2024-07-13,2024-07-14-00:00,second,"[0.12837837837837837, 0.13438438438438438, 0.1066066066066066, 0.0960960960960961, 0.09084084084084085, 0.0990990990990991, 0.10135135135135136, 0.06981981981981981, 0.07282282282282282, 0.1006006006006006]",0.0110390236332651,3.2946022838434854
SNXUSDT,2024-07-14,2024-07-15-00:00,first,"[0.2980769230769231, 0.16272189349112426, 0.1301775147928994, 0.10355029585798817, 0.07988165680473373, 0.07100591715976332, 0.05325443786982249, 0.05251479289940828, 0.04881656804733728]",0.0046799882798843,2.891886868609198
SNXUSDT,2024-07-14,2024-07-15-00:00,second,"[0.1301775147928994, 0.1242603550295858, 0.10576923076923077, 0.09615384615384616, 0.10872781065088757, 0.10502958579881656, 0.09171597633136094, 0.08210059171597633, 0.07544378698224852, 0.08062130177514792]",0.00752809123957,3.3003064966703306
