symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
CAKEUSDT,2024-01-01-00:00,2024-01-02-00:00,first,"[0.29354614850798055, 0.17696044413601666, 0.12560721721027066, 0.09299097848716169, 0.08743927827897294, 0.07217210270645386, 0.06384455239417071, 0.049271339347675226, 0.03816793893129771]",0.0046385814235508,2.884169627748831
CAKEUSDT,2024-01-01-00:00,2024-01-02-00:00,second,"[0.1311589174184594, 0.12074947952810548, 0.09993060374739764, 0.10756419153365718, 0.09784871616932686, 0.09784871616932686, 0.0798056904927134, 0.09021512838306732, 0.08882720333102012, 0.08605135322692574]",0.0050112575066444,3.3058889956796778
CAKEUSDT,2024-01-02-00:00,2024-01-03-00:00,first,"[0.30811936155447606, 0.17765440666204024, 0.11172796668979876, 0.09784871616932686, 0.0791117279666898, 0.06870229007633588, 0.05829285218598196, 0.05065926439972242, 0.047883414295628035]",0.0030607880104655,2.869516095847098
CAKEUSDT,2024-01-02-00:00,2024-01-03-00:00,second,"[0.13948646773074255, 0.11866759195003469, 0.08952116585704371, 0.10270645385149202, 0.1193615544760583, 0.10617626648161, 0.08258154059680778, 0.08258154059680778, 0.07564191533657183, 0.08327550312283137]",0.0106274141128212,3.294391710863942
CAKEUSDT,2024-01-03-00:00,2024-01-04-00:00,first,"[0.2777777777777778, 0.18541666666666667, 0.12361111111111112, 0.10277777777777777, 0.08888888888888889, 0.06527777777777778, 0.05486111111111111, 0.05, 0.05138888888888889]",0.0067849363444854,2.907622458260475
CAKEUSDT,2024-01-03-00:00,2024-01-04-00:00,second,"[0.12222222222222222, 0.1111111111111111, 0.10208333333333333, 0.1076388888888889, 0.10833333333333334, 0.08888888888888889, 0.09513888888888888, 0.09166666666666666, 0.08333333333333333, 0.08958333333333333]",0.0043084450255163,3.3122642558736777
CAKEUSDT,2024-01-04-00:00,2024-01-05-00:00,first,"[0.3102012491325468, 0.16377515614156835, 0.12074947952810548, 0.10340041637751561, 0.061068702290076333, 0.07633587786259542, 0.062456627342123525, 0.054823039555863984, 0.04718945176960444]",0.0076928675004124,2.8751786410953875
CAKEUSDT,2024-01-04-00:00,2024-01-05-00:00,second,"[0.11589174184594032, 0.11380985426786953, 0.11172796668979876, 0.10895211658570438, 0.10687022900763359, 0.11242192921582235, 0.08952116585704371, 0.08743927827897294, 0.09090909090909091, 0.062456627342123525]",0.0066349563045637,3.30158340125111
CAKEUSDT,2024-01-05-00:00,2024-01-06-00:00,first,"[0.2921582234559334, 0.18043025676613464, 0.12352532963219987, 0.09715475364330327, 0.0784177654406662, 0.07286606523247745, 0.05898681471200555, 0.05065926439972242, 0.04580152671755725]",0.0025648706308367,2.8898018686562685
CAKEUSDT,2024-01-05-00:00,2024-01-06-00:00,second,"[0.1179736294240111, 0.1193615544760583, 0.12144344205412907, 0.09993060374739764, 0.10617626648161, 0.09576682859125607, 0.08049965301873699, 0.08743927827897294, 0.09576682859125607, 0.07564191533657183]",0.0064316466687095,3.304739846455287
CAKEUSDT,2024-01-06-00:00,2024-01-07-00:00,first,"[0.29375, 0.20069444444444445, 0.11597222222222223, 0.10972222222222222, 0.075, 0.06388888888888888, 0.05138888888888889, 0.05, 0.03958333333333333]",0.0083145321339842,2.8487952579086593
CAKEUSDT,2024-01-06-00:00,2024-01-07-00:00,second,"[0.13333333333333333, 0.10347222222222222, 0.10486111111111111, 0.09444444444444444, 0.10208333333333333, 0.1076388888888889, 0.10277777777777777, 0.09513888888888888, 0.08125, 0.075]",0.00811615810056,3.3058780233105787
CAKEUSDT,2024-01-07-00:00,2024-01-08-00:00,first,"[0.2972222222222222, 0.18611111111111112, 0.1375, 0.0875, 0.08194444444444444, 0.06041666666666667, 0.06458333333333334, 0.04375, 0.04097222222222222]",0.0070968222665769,2.854850344351513
CAKEUSDT,2024-01-07-00:00,2024-01-08-00:00,second,"[0.11319444444444444, 0.11736111111111111, 0.12152777777777778, 0.11666666666666667, 0.1, 0.1, 0.08402777777777778, 0.08333333333333333, 0.08472222222222223, 0.07916666666666666]",0.0063674314218417,3.304415786701251
CAKEUSDT,2024-01-08-00:00,2024-01-09-00:00,first,"[0.2760778859527121, 0.18011126564673158, 0.12100139082058414, 0.10292072322670376, 0.08553546592489569, 0.0737134909596662, 0.05146036161335188, 0.055632823365785816, 0.05354659248956885]",0.007871342414071,2.9233605342996603
CAKEUSDT,2024-01-08-00:00,2024-01-09-00:00,second,"[0.1168289290681502, 0.1070931849791377, 0.10570236439499305, 0.09109874826147427, 0.11196105702364395, 0.10083449235048679, 0.09596662030598054, 0.08553546592489569, 0.08762169680111266, 0.09735744089012517]",0.0061627455763714,3.3149071837406225
CAKEUSDT,2024-01-09-00:00,2024-01-10-00:00,first,"[0.2782789729354615, 0.16793893129770993, 0.14850798056904926, 0.11172796668979876, 0.08049965301873699, 0.07009021512838307, 0.05412907702984039, 0.04510756419153366, 0.04371963913948647]",0.0095220066914163,2.8958828254582296
CAKEUSDT,2024-01-09-00:00,2024-01-10-00:00,second,"[0.12144344205412907, 0.11242192921582235, 0.11519777931991672, 0.0922970159611381, 0.09021512838306732, 0.09021512838306732, 0.09021512838306732, 0.08535739070090215, 0.10617626648161, 0.09646079111727966]",0.0076420211467985,3.3115967195213254
CAKEUSDT,2024-01-10-00:00,2024-01-11-00:00,first,"[0.2682418346073662, 0.1931897150799166, 0.13898540653231412, 0.09589993050729674, 0.08200138985406533, 0.07088255733148019, 0.05489923558026407, 0.04586518415566365, 0.05003474635163308]",0.0093729540547811,2.904051569314147
CAKEUSDT,2024-01-10-00:00,2024-01-11-00:00,second,"[0.1348158443363447, 0.09728978457261987, 0.1063238359972203, 0.10006949270326616, 0.11813759555246699, 0.09381514940931203, 0.08964558721334259, 0.08617095205003475, 0.08130646282140375, 0.09242529534398888]",0.0080787824621296,3.30582466882367
CAKEUSDT,2024-01-11-00:00,2024-01-12-00:00,first,"[0.28036086051353226, 0.16863289382373353, 0.13601665510062458, 0.1054823039555864, 0.08674531575294935, 0.07009021512838307, 0.06176266481609993, 0.049271339347675226, 0.041637751561415685]",0.0075840938847471,2.9089523711699035
CAKEUSDT,2024-01-11-00:00,2024-01-12-00:00,second,"[0.10825815405968078, 0.12352532963219987, 0.11380985426786953, 0.09715475364330327, 0.11034004163775156, 0.11380985426786953, 0.07702984038861901, 0.0922970159611381, 0.0916030534351145, 0.07217210270645386]",0.0095532131741023,3.3030094805770527
CAKEUSDT,2024-01-12-00:00,2024-01-13-00:00,first,"[0.2914642609299098, 0.1457321304649549, 0.11242192921582235, 0.12005551700208189, 0.08813324080499653, 0.06870229007633588, 0.07356002775850104, 0.048577376821651634, 0.05135322692574601]",0.0122259591873344,2.9281084376539597
CAKEUSDT,2024-01-12-00:00,2024-01-13-00:00,second,"[0.11450381679389313, 0.10617626648161, 0.10825815405968078, 0.11242192921582235, 0.10617626648161, 0.09854267869535045, 0.08952116585704371, 0.09299097848716169, 0.08882720333102012, 0.08258154059680778]",0.0039444030123277,3.3139275111542186
CAKEUSDT,2024-01-13-00:00,2024-01-14-00:00,first,"[0.27966689798750866, 0.17904233171408743, 0.13809854267869534, 0.10825815405968078, 0.0922970159611381, 0.06384455239417071, 0.049271339347675226, 0.041637751561415685, 0.047883414295628035]",0.0094890474286427,2.885651337978629
CAKEUSDT,2024-01-13-00:00,2024-01-14-00:00,second,"[0.13324080499653018, 0.11589174184594032, 0.09021512838306732, 0.12074947952810548, 0.08327550312283137, 0.0922970159611381, 0.0916030534351145, 0.08535739070090215, 0.1054823039555864, 0.08188757807078417]",0.0099790689023808,3.3018920898986535
CAKEUSDT,2024-01-14-00:00,2024-01-15-00:00,first,"[0.30410577592205984, 0.17049408489909534, 0.1266527487821851, 0.11482254697286012, 0.06680584551148225, 0.06610995128740431, 0.06680584551148225, 0.038274182324286705, 0.04592901878914405]",0.0070417229242293,2.8584804897102734
CAKEUSDT,2024-01-14-00:00,2024-01-15-00:00,second,"[0.12247738343771747, 0.11064718162839249, 0.11830201809324982, 0.10716771050800278, 0.09672929714683368, 0.10508002783576896, 0.10020876826722339, 0.08350730688935282, 0.0848990953375087, 0.0709812108559499]",0.006070721744651,3.3042547308192467
CAKEUSDT,2024-01-15-00:00,2024-01-16-00:00,first,"[0.29325920778318276, 0.16886726893676163, 0.14037526059763725, 0.1063238359972203, 0.07157748436414177, 0.056289089645587216, 0.06393328700486449, 0.05281445448227936, 0.046560111188325225]",0.0073902754818282,2.883451344612689
