symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
FDUSDUSDT,2024-01-01-00:00,2024-01-02-00:00,first,"[0.2824427480916031, 0.1734906315058987, 0.1304649548924358, 0.11034004163775156, 0.09090909090909091, 0.07217210270645386, 0.055517002081887576, 0.04580152671755725, 0.0388619014573213]",0.0079798677446972,2.8934003295713855
FDUSDUSDT,2024-01-01-00:00,2024-01-02-00:00,second,"[0.12491325468424705, 0.10617626648161, 0.11450381679389313, 0.11034004163775156, 0.10201249132546843, 0.10340041637751561, 0.09299097848716169, 0.08605135322692574, 0.0777238029146426, 0.08188757807078417]",0.005070850983125,3.306966124785185
FDUSDUSDT,2024-01-02-00:00,2024-01-03-00:00,first,"[0.30673143650242884, 0.1734906315058987, 0.1297709923664122, 0.10340041637751561, 0.07564191533657183, 0.06662040249826509, 0.05343511450381679, 0.05412907702984039, 0.03678001387925052]",0.0044445898996618,2.8530929350734895
FDUSDUSDT,2024-01-02-00:00,2024-01-03-00:00,second,"[0.09715475364330327, 0.10270645385149202, 0.09993060374739764, 0.09646079111727966, 0.1193615544760583, 0.1040943789035392, 0.09299097848716169, 0.09437890353920889, 0.10478834142956281, 0.08813324080499653]",0.0101703172354613,3.3172445993736903
FDUSDUSDT,2024-01-03-00:00,2024-01-04-00:00,first,"[0.3060374739764053, 0.1596113809854268, 0.13879250520471895, 0.10825815405968078, 0.06662040249826509, 0.07286606523247745, 0.054823039555863984, 0.049271339347675226, 0.04371963913948647]",0.0080285919027403,2.8647267909582173
FDUSDUSDT,2024-01-03-00:00,2024-01-04-00:00,second,"[0.14018043025676613, 0.10131852879944483, 0.10895211658570438, 0.09576682859125607, 0.09646079111727966, 0.09507286606523248, 0.08327550312283137, 0.08535739070090215, 0.10131852879944483, 0.0922970159611381]",0.0083359836728221,3.3063929634462483
FDUSDUSDT,2024-01-04-00:00,2024-01-05-00:00,first,"[0.30950728660652327, 0.15475364330326163, 0.13532269257460097, 0.10131852879944483, 0.0784177654406662, 0.06870229007633588, 0.05412907702984039, 0.05343511450381679, 0.04441360166551006]",0.0060684122671977,2.871941161000632
FDUSDUSDT,2024-01-04-00:00,2024-01-05-00:00,second,"[0.11380985426786953, 0.11519777931991672, 0.10756419153365718, 0.1179736294240111, 0.11103400416377515, 0.09646079111727966, 0.09646079111727966, 0.08605135322692574, 0.08327550312283137, 0.07217210270645386]",0.0057527204671702,3.3055833680105198
FDUSDUSDT,2024-01-05-00:00,2024-01-06-00:00,first,"[0.3199167244968772, 0.1714087439278279, 0.11450381679389313, 0.10270645385149202, 0.08396946564885496, 0.07217210270645386, 0.048577376821651634, 0.04580152671755725, 0.040943789035392086]",0.007710378300756,2.8356803727243394
FDUSDUSDT,2024-01-05-00:00,2024-01-06-00:00,second,"[0.12005551700208189, 0.11450381679389313, 0.12768910478834142, 0.09993060374739764, 0.1054823039555864, 0.0922970159611381, 0.10617626648161, 0.08535739070090215, 0.07633587786259542, 0.07217210270645386]",0.0075666399921903,3.2995299025605433
FDUSDUSDT,2024-01-06-00:00,2024-01-07-00:00,first,"[0.29354614850798055, 0.1554476058292852, 0.12699514226231784, 0.10270645385149202, 0.0922970159611381, 0.06176266481609993, 0.05690492713393477, 0.054823039555863984, 0.055517002081887576]",0.0076441433423693,2.913774771956124
FDUSDUSDT,2024-01-06-00:00,2024-01-07-00:00,second,"[0.11450381679389313, 0.11242192921582235, 0.12352532963219987, 0.08952116585704371, 0.09646079111727966, 0.0916030534351145, 0.09784871616932686, 0.11034004163775156, 0.0784177654406662, 0.08535739070090215]",0.007905180404868,3.3082222795561105
FDUSDUSDT,2024-01-07-00:00,2024-01-08-00:00,first,"[0.28591256072172105, 0.1852879944482998, 0.13948646773074255, 0.08952116585704371, 0.07633587786259542, 0.0798056904927134, 0.05968077723802915, 0.047883414295628035, 0.03608605135322693]",0.0085093772527786,2.8751554647629822
FDUSDUSDT,2024-01-07-00:00,2024-01-08-00:00,second,"[0.11589174184594032, 0.1193615544760583, 0.10895211658570438, 0.0922970159611381, 0.09021512838306732, 0.09784871616932686, 0.09437890353920889, 0.09437890353920889, 0.09437890353920889, 0.0922970159611381]",0.0051826289810547,3.3147656988122933
FDUSDUSDT,2024-01-08-00:00,2024-01-09-00:00,first,"[0.31228313671061764, 0.16724496877168632, 0.12560721721027066, 0.09576682859125607, 0.08952116585704371, 0.055517002081887576, 0.049271339347675226, 0.054823039555863984, 0.04996530187369882]",0.0066977488621183,2.8587642420263832
FDUSDUSDT,2024-01-08-00:00,2024-01-09-00:00,second,"[0.12283136710617627, 0.1311589174184594, 0.11311589174184594, 0.10062456627342123, 0.09784871616932686, 0.09299097848716169, 0.0922970159611381, 0.08535739070090215, 0.06800832755031229, 0.09576682859125607]",0.0070969563580199,3.2999385981199674
FDUSDUSDT,2024-01-09-00:00,2024-01-10-00:00,first,"[0.2873004857737682, 0.17696044413601666, 0.131852879944483, 0.0936849410131853, 0.0784177654406662, 0.07217210270645386, 0.05135322692574601, 0.05829285218598196, 0.04996530187369882]",0.0054126183431074,2.901236879646041
FDUSDUSDT,2024-01-09-00:00,2024-01-10-00:00,second,"[0.12491325468424705, 0.11727966689798751, 0.11866759195003469, 0.09993060374739764, 0.10825815405968078, 0.08813324080499653, 0.09090909090909091, 0.09021512838306732, 0.07564191533657183, 0.08605135322692574]",0.0054947190967317,3.304354601805178
FDUSDUSDT,2024-01-10-00:00,2024-01-11-00:00,first,"[0.2970159611380985, 0.1707147814018043, 0.1297709923664122, 0.09507286606523248, 0.07356002775850104, 0.0777238029146426, 0.06939625260235947, 0.04371963913948647, 0.04302567661346287]",0.0060030165926254,2.8838304406370456
FDUSDUSDT,2024-01-10-00:00,2024-01-11-00:00,second,"[0.10964607911172797, 0.12005551700208189, 0.10756419153365718, 0.12144344205412907, 0.08605135322692574, 0.10478834142956281, 0.09576682859125607, 0.08674531575294935, 0.08674531575294935, 0.08119361554476058]",0.006756498770631,3.307897059106374
FDUSDUSDT,2024-01-11-00:00,2024-01-12-00:00,first,"[0.28938237335183903, 0.1707147814018043, 0.12352532963219987, 0.09715475364330327, 0.08396946564885496, 0.07702984038861901, 0.07078417765440666, 0.041637751561415685, 0.04580152671755725]",0.0062116172951299,2.9026672663270436
FDUSDUSDT,2024-01-11-00:00,2024-01-12-00:00,second,"[0.14642609299097847, 0.10131852879944483, 0.11103400416377515, 0.10270645385149202, 0.10478834142956281, 0.10617626648161, 0.0791117279666898, 0.08535739070090215, 0.0791117279666898, 0.08396946564885496]",0.008587699878727,3.2966269849385665
FDUSDUSDT,2024-01-12-00:00,2024-01-13-00:00,first,"[0.31228313671061764, 0.16169326856349758, 0.131852879944483, 0.0916030534351145, 0.0784177654406662, 0.06939625260235947, 0.06384455239417071, 0.05343511450381679, 0.03747397640527411]",0.0063893210727744,2.8625773630420075
FDUSDUSDT,2024-01-12-00:00,2024-01-13-00:00,second,"[0.11866759195003469, 0.12005551700208189, 0.10825815405968078, 0.0922970159611381, 0.10062456627342123, 0.09923664122137404, 0.09715475364330327, 0.09576682859125607, 0.08396946564885496, 0.08396946564885496]",0.0036472080402677,3.3117941805283766
FDUSDUSDT,2024-01-13-00:00,2024-01-14-00:00,first,"[0.3060374739764053, 0.1873698820263706, 0.12699514226231784, 0.09437890353920889, 0.0777238029146426, 0.06384455239417071, 0.04580152671755725, 0.047883414295628035, 0.04996530187369882]",0.0050111818333677,2.8445017779557946
FDUSDUSDT,2024-01-13-00:00,2024-01-14-00:00,second,"[0.11172796668979876, 0.12213740458015267, 0.09646079111727966, 0.12144344205412907, 0.08327550312283137, 0.1040943789035392, 0.08882720333102012, 0.0936849410131853, 0.09090909090909091, 0.08743927827897294]",0.0083784482784149,3.3091850850272766
FDUSDUSDT,2024-01-14-00:00,2024-01-15-00:00,first,"[0.2921582234559334, 0.16655100624566274, 0.1297709923664122, 0.09437890353920889, 0.07702984038861901, 0.07494795281054822, 0.05898681471200555, 0.05759888965995836, 0.048577376821651634]",0.0051321200324265,2.9080912250156947
FDUSDUSDT,2024-01-14-00:00,2024-01-15-00:00,second,"[0.1304649548924358, 0.1325468424705066, 0.10895211658570438, 0.09090909090909091, 0.0936849410131853, 0.09437890353920889, 0.10131852879944483, 0.08952116585704371, 0.08258154059680778, 0.07564191533657183]",0.0075033671910219,3.2993579929437025
FDUSDUSDT,2024-01-15-00:00,2024-01-16-00:00,first,"[0.3324080499653019, 0.16446911866759195, 0.12283136710617627, 0.08882720333102012, 0.07633587786259542, 0.06731436502428868, 0.05690492713393477, 0.04718945176960444, 0.04371963913948647]",0.0070545843766658,2.824336769095446
FDUSDUSDT,2024-01-15-00:00,2024-01-16-00:00,second,"[0.1311589174184594, 0.09854267869535045, 0.11727966689798751, 0.0936849410131853, 0.11450381679389313, 0.1054823039555864, 0.09993060374739764, 0.07702984038861901, 0.08535739070090215, 0.07702984038861901]",0.0098988734715993,3.301644631577158
FDUSDUSDT,2024-01-16-00:00,2024-01-17-00:00,first,"[0.3386537126995142, 0.17696044413601666, 0.08813324080499653, 0.08049965301873699, 0.07702984038861901, 0.07217210270645386, 0.04580152671755725, 0.061068702290076333, 0.05968077723802915]",0.0150128181581684,2.823948754207908
FDUSDUSDT,2024-01-16-00:00,2024-01-17-00:00,second,"[0.131852879944483, 0.12560721721027066, 0.10201249132546843, 0.10340041637751561, 0.10895211658570438, 0.10201249132546843, 0.09437890353920889, 0.08535739070090215, 0.08119361554476058, 0.0652324774462179]",0.007774812549552,3.2956664435839027
FDUSDUSDT,2024-01-17-00:00,2024-01-18-00:00,first,"[0.2866065232477446, 0.16516308119361556, 0.12560721721027066, 0.09299097848716169, 0.09090909090909091, 0.06939625260235947, 0.07494795281054822, 0.04441360166551006, 0.04996530187369882]",0.0080021345735707,2.9177051895964663
FDUSDUSDT,2024-01-17-00:00,2024-01-18-00:00,second,"[0.1193615544760583, 0.10825815405968078, 0.11103400416377515, 0.10617626648161, 0.10131852879944483, 0.10062456627342123, 0.08813324080499653, 0.08258154059680778, 0.08882720333102012, 0.0936849410131853]",0.0037923214239066,3.31315531596278
FDUSDUSDT,2024-01-18-00:00,2024-01-19-00:00,first,"[0.32061068702290074, 0.17904233171408743, 0.10964607911172797, 0.09646079111727966, 0.07356002775850104, 0.06731436502428868, 0.06315058986814712, 0.04302567661346287, 0.04718945176960444]",0.0065533207800868,2.8394174744864
FDUSDUSDT,2024-01-18-00:00,2024-01-19-00:00,second,"[0.12699514226231784, 0.11034004163775156, 0.11380985426786953, 0.10687022900763359, 0.10131852879944483, 0.10478834142956281, 0.08535739070090215, 0.08813324080499653, 0.08466342817487855, 0.0777238029146426]",0.0047932659727156,3.306161654605658
FDUSDUSDT,2024-01-19-00:00,2024-01-20-00:00,first,"[0.31297709923664124, 0.1845940319222762, 0.11380985426786953, 0.08674531575294935, 0.07286606523247745, 0.07286606523247745, 0.0652324774462179, 0.04718945176960444, 0.04371963913948647]",0.0074688183354778,2.8501305914275434
FDUSDUSDT,2024-01-19-00:00,2024-01-20-00:00,second,"[0.11103400416377515, 0.1054823039555864, 0.11311589174184594, 0.09923664122137404, 0.09715475364330327, 0.09437890353920889, 0.10062456627342123, 0.09923664122137404, 0.0936849410131853, 0.08605135322692574]",0.0055195527564101,3.3176074282191412
FDUSDUSDT,2024-01-20-00:00,2024-01-21-00:00,first,"[0.31714087439278277, 0.16308119361554477, 0.10964607911172797, 0.08882720333102012, 0.07564191533657183, 0.0784177654406662, 0.06384455239417071, 0.04996530187369882, 0.05343511450381679]",0.0091360186441067,2.877024619644217
FDUSDUSDT,2024-01-20-00:00,2024-01-21-00:00,second,"[0.1297709923664122, 0.1193615544760583, 0.10964607911172797, 0.10131852879944483, 0.09646079111727966, 0.08535739070090215, 0.0936849410131853, 0.09299097848716169, 0.09299097848716169, 0.0784177654406662]",0.0049515748600521,3.306509810820848
FDUSDUSDT,2024-01-21-00:00,2024-01-22-00:00,first,"[0.26995142262317834, 0.16308119361554477, 0.14018043025676613, 0.10062456627342123, 0.09090909090909091, 0.07217210270645386, 0.05343511450381679, 0.05135322692574601, 0.05829285218598196]",0.0108101046566242,2.940419791373931
FDUSDUSDT,2024-01-21-00:00,2024-01-22-00:00,second,"[0.10478834142956281, 0.11866759195003469, 0.11519777931991672, 0.10825815405968078, 0.09021512838306732, 0.08882720333102012, 0.10478834142956281, 0.08743927827897294, 0.08743927827897294, 0.09437890353920889]",0.0071755039627302,3.3129048589717724
FDUSDUSDT,2024-01-22-00:00,2024-01-23-00:00,first,"[0.3039555863983345, 0.17973629424011103, 0.131852879944483, 0.09021512838306732, 0.0798056904927134, 0.06037473976405274, 0.05412907702984039, 0.049271339347675226, 0.05065926439972242]",0.0042246638975782,2.8610652299981467
FDUSDUSDT,2024-01-22-00:00,2024-01-23-00:00,second,"[0.1193615544760583, 0.10895211658570438, 0.10964607911172797, 0.10687022900763359, 0.10131852879944483, 0.09923664122137404, 0.09299097848716169, 0.09021512838306732, 0.08535739070090215, 0.08605135322692574]",0.0015977964006088,3.3136423637699766
FDUSDUSDT,2024-01-23-00:00,2024-01-24-00:00,first,"[0.3164469118667592, 0.16446911866759195, 0.1311589174184594, 0.0916030534351145, 0.07217210270645386, 0.07702984038861901, 0.06453851492019431, 0.047883414295628035, 0.03469812630117974]",0.008503714602989,2.845802228313456
FDUSDUSDT,2024-01-23-00:00,2024-01-24-00:00,second,"[0.1304649548924358, 0.12074947952810548, 0.10825815405968078, 0.10478834142956281, 0.10756419153365718, 0.08327550312283137, 0.08952116585704371, 0.08813324080499653, 0.09090909090909091, 0.07633587786259542]",0.0057397740422029,3.302832315301059
FDUSDUSDT,2024-01-24-00:00,2024-01-25-00:00,first,"[0.32130464954892435, 0.17834836918806385, 0.11727966689798751, 0.09576682859125607, 0.06870229007633588, 0.056210964607911175, 0.06176266481609993, 0.054823039555863984, 0.04580152671755725]",0.0066704522491341,2.8370061175234036
FDUSDUSDT,2024-01-24-00:00,2024-01-25-00:00,second,"[0.13324080499653018, 0.1193615544760583, 0.11589174184594032, 0.08743927827897294, 0.08466342817487855, 0.09993060374739764, 0.09437890353920889, 0.0936849410131853, 0.08882720333102012, 0.08258154059680778]",0.0069901735011143,3.303670896103063
FDUSDUSDT,2024-01-25-00:00,2024-01-26-00:00,first,"[0.33587786259541985, 0.183206106870229, 0.10687022900763359, 0.09021512838306732, 0.07147814018043026, 0.06662040249826509, 0.05065926439972242, 0.049271339347675226, 0.04580152671755725]",0.0093348335339707,2.803244625836036
FDUSDUSDT,2024-01-25-00:00,2024-01-26-00:00,second,"[0.11519777931991672, 0.11450381679389313, 0.11311589174184594, 0.10340041637751561, 0.10964607911172797, 0.08674531575294935, 0.09021512838306732, 0.0936849410131853, 0.09993060374739764, 0.07356002775850104]",0.0059878969757882,3.3090755826144607
