symbol,start_date,end_date,actual_frequencies,digit_type,target,entropy
GRTUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.3393476752255378, 0.16238723108952116, 0.11589174184594032, 0.09437890353920889, 0.07633587786259542, 0.06037473976405274, 0.056210964607911175, 0.048577376821651634, 0.046495489243580844]",first,TA,2.8157519638843955
GRTUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.1311589174184594, 0.10964607911172797, 0.1054823039555864, 0.10270645385149202, 0.10825815405968078, 0.08882720333102012, 0.0936849410131853, 0.08743927827897294, 0.08535739070090215, 0.08743927827897294]",second,TA,3.3089254507303667
GRTUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.29424011103400416, 0.20471894517696043, 0.14018043025676613, 0.09021512838306732, 0.07494795281054822, 0.05898681471200555, 0.05065926439972242, 0.041637751561415685, 0.04441360166551006]",first,TA,2.8277262344440155
GRTUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.12352532963219987, 0.11311589174184594, 0.1040943789035392, 0.10825815405968078, 0.09784871616932686, 0.09646079111727966, 0.10201249132546843, 0.08674531575294935, 0.08049965301873699, 0.08743927827897294]",second,TA,3.3108169550568647
GRTUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.3046495489243581, 0.16099930603747398, 0.12283136710617627, 0.09715475364330327, 0.0791117279666898, 0.08188757807078417, 0.0520471894517696, 0.04718945176960444, 0.05412907702984039]",first,TA,2.887743693751742
GRTUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.09993060374739764, 0.12144344205412907, 0.10201249132546843, 0.10131852879944483, 0.11658570437196392, 0.08605135322692574, 0.09646079111727966, 0.1040943789035392, 0.0798056904927134, 0.0922970159611381]",second,TA,3.3116148095961258
GRTUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.3004857737682165, 0.16377515614156835, 0.11727966689798751, 0.08605135322692574, 0.09576682859125607, 0.06939625260235947, 0.06662040249826509, 0.055517002081887576, 0.04510756419153366]",first,TA,2.9006201105525014
GRTUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.11866759195003469, 0.131852879944483, 0.11034004163775156, 0.09993060374739764, 0.10964607911172797, 0.10062456627342123, 0.07564191533657183, 0.08952116585704371, 0.08813324080499653, 0.07564191533657183]",second,TA,3.3002782385221066
GRTUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.33518390006939625, 0.15197779319916724, 0.10617626648161, 0.09299097848716169, 0.07702984038861901, 0.07009021512838307, 0.05968077723802915, 0.05412907702984039, 0.0527411519777932]",first,TA,2.851836888458027
GRTUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.12005551700208189, 0.12005551700208189, 0.1193615544760583, 0.10687022900763359, 0.08813324080499653, 0.10201249132546843, 0.09299097848716169, 0.09090909090909091, 0.07217210270645386, 0.08743927827897294]",second,TA,3.3041549758170077
GRTUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.28680555555555554, 0.1673611111111111, 0.11944444444444445, 0.10486111111111111, 0.07430555555555556, 0.07152777777777777, 0.06805555555555555, 0.05763888888888889, 0.05]",first,TA,2.9238370510878515
GRTUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.11180555555555556, 0.11875, 0.10625, 0.1076388888888889, 0.10555555555555556, 0.09861111111111111, 0.1, 0.1, 0.07569444444444444, 0.07569444444444444]",second,TA,3.308338043273237
GRTUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.2741151977793199, 0.1873698820263706, 0.12907702984038863, 0.09646079111727966, 0.09646079111727966, 0.06453851492019431, 0.05759888965995836, 0.046495489243580844, 0.047883414295628035]",first,TA,2.904769563401241
GRTUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.1297709923664122, 0.1179736294240111, 0.10895211658570438, 0.10131852879944483, 0.10895211658570438, 0.08952116585704371, 0.08188757807078417, 0.08535739070090215, 0.08743927827897294, 0.08882720333102012]",second,TA,3.305652833788305
GRTUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.3178348369188064, 0.1693268563497571, 0.12144344205412907, 0.08466342817487855, 0.08743927827897294, 0.06731436502428868, 0.055517002081887576, 0.05759888965995836, 0.0388619014573213]",first,TA,2.850668390370289
GRTUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.12907702984038863, 0.10201249132546843, 0.10895211658570438, 0.11311589174184594, 0.10756419153365718, 0.09437890353920889, 0.08396946564885496, 0.09090909090909091, 0.08188757807078417, 0.08813324080499653]",second,TA,3.3077724206906134
GRTUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.30069444444444443, 0.16666666666666666, 0.11944444444444445, 0.10625, 0.09652777777777778, 0.06388888888888888, 0.049305555555555554, 0.052083333333333336, 0.04513888888888889]",first,TA,2.8789293901851343
GRTUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.10902777777777778, 0.12013888888888889, 0.11458333333333333, 0.10069444444444445, 0.10208333333333333, 0.08819444444444445, 0.09027777777777778, 0.09791666666666667, 0.09652777777777778, 0.08055555555555556]",second,TA,3.312315544110112
GRTUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.29909784871616935, 0.1825121443442054, 0.12560721721027066, 0.09923664122137404, 0.07633587786259542, 0.0784177654406662, 0.05759888965995836, 0.04302567661346287, 0.03816793893129771]",first,TA,2.859004578604371
GRTUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.12074947952810548, 0.11450381679389313, 0.11450381679389313, 0.10825815405968078, 0.10756419153365718, 0.09021512838306732, 0.09090909090909091, 0.08466342817487855, 0.0791117279666898, 0.08952116585704371]",second,TA,3.307903551763247
GRTUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.2833333333333333, 0.17847222222222223, 0.13472222222222222, 0.10277777777777777, 0.08125, 0.05416666666666667, 0.059722222222222225, 0.05486111111111111, 0.050694444444444445]",first,TA,2.89894620449932
GRTUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.13333333333333333, 0.1125, 0.11527777777777778, 0.09444444444444444, 0.10069444444444445, 0.09166666666666666, 0.08958333333333333, 0.09097222222222222, 0.10208333333333333, 0.06944444444444445]",second,TA,3.3022482232419583
GRTUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.2914642609299098, 0.1714087439278279, 0.10687022900763359, 0.11450381679389313, 0.08952116585704371, 0.05898681471200555, 0.06453851492019431, 0.06315058986814712, 0.0395558639833449]",first,TA,2.90102222998836
GRTUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.12144344205412907, 0.11519777931991672, 0.10201249132546843, 0.10062456627342123, 0.0936849410131853, 0.09715475364330327, 0.09437890353920889, 0.09090909090909091, 0.09507286606523248, 0.08952116585704371]",second,TA,3.3150066383439634
GRTUSDT,2024-01-13-00:00,2024-01-14-00:00,"[0.3289382373351839, 0.14989590562109645, 0.09299097848716169, 0.08188757807078417, 0.07286606523247745, 0.06870229007633588, 0.0791117279666898, 0.05898681471200555, 0.06662040249826509]",first,TA,2.883878903457424
GRTUSDT,2024-01-13-00:00,2024-01-14-00:00,"[0.12630117973629423, 0.12907702984038863, 0.11242192921582235, 0.10964607911172797, 0.09507286606523248, 0.08743927827897294, 0.09646079111727966, 0.08535739070090215, 0.08258154059680778, 0.07564191533657183]",second,TA,3.299932769870963
GRTUSDT,2024-01-14-00:00,2024-01-15-00:00,"[0.2907702984038862, 0.08188757807078417, 0.08952116585704371, 0.10478834142956281, 0.11172796668979876, 0.10340041637751561, 0.08188757807078417, 0.07425399028452463, 0.06176266481609993]",first,TA,2.9805783836838686
GRTUSDT,2024-01-14-00:00,2024-01-15-00:00,"[0.1325468424705066, 0.12630117973629423, 0.12144344205412907, 0.10340041637751561, 0.09507286606523248, 0.10270645385149202, 0.0798056904927134, 0.08119361554476058, 0.08258154059680778, 0.07494795281054822]",second,TA,3.293805161197407
GRTUSDT,2024-01-15-00:00,2024-01-16-00:00,"[0.31714087439278277, 0.10617626648161, 0.08952116585704371, 0.0936849410131853, 0.08535739070090215, 0.0784177654406662, 0.08674531575294935, 0.07494795281054822, 0.06800832755031229]",first,TA,2.9415876311432942
GRTUSDT,2024-01-15-00:00,2024-01-16-00:00,"[0.13462873004857737, 0.12074947952810548, 0.09923664122137404, 0.10131852879944483, 0.10617626648161, 0.09299097848716169, 0.09437890353920889, 0.08605135322692574, 0.08258154059680778, 0.08188757807078417]",second,TA,3.3040149113423727
