symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
PROSUSDT,2024-01-01-00:00,2024-01-02-00:00,first,"[0.3110273327049953, 0.18567389255419417, 0.1112158341187559, 0.08765315739868049, 0.06974552309142319, 0.06314797360980208, 0.058435438265786996, 0.058435438265786996, 0.05466540999057493]",0.0080476215724295,2.8629573354346953
PROSUSDT,2024-01-01-00:00,2024-01-02-00:00,second,"[0.12252591894439209, 0.11969839773798303, 0.09048067860508954, 0.09613572101790764, 0.0942507068803016, 0.09236569274269557, 0.06503298774740811, 0.08576814326107446, 0.09519321394910461, 0.13854853911404336]",0.0139658584209064,3.29308412113201
PROSUSDT,2024-01-02-00:00,2024-01-03-00:00,first,"[0.30833917309039943, 0.15557112824106517, 0.14085494043447794, 0.1051156271899089, 0.08199018920812894, 0.06587245970567625, 0.060266292922214436, 0.046951646811492644, 0.0350385423966363]",0.0081142854532178,2.8560741967815346
PROSUSDT,2024-01-02-00:00,2024-01-03-00:00,second,"[0.12263489838822705, 0.10021023125437982, 0.1107217939733707, 0.1051156271899089, 0.10651716888577435, 0.09530483531885074, 0.08128941836019622, 0.0918009810791871, 0.08759635599159075, 0.09880868955851436]",0.0054275180118976,3.312667572610313
PROSUSDT,2024-01-03-00:00,2024-01-04-00:00,first,"[0.2928679817905918, 0.18285280728376327, 0.1062215477996965, 0.1047040971168437, 0.07359635811836115, 0.06904400606980274, 0.06676783004552352, 0.054628224582701064, 0.04931714719271624]",0.0072142423580569,2.898815920436281
PROSUSDT,2024-01-03-00:00,2024-01-04-00:00,second,"[0.11001517450682853, 0.10698027314112292, 0.10773899848254932, 0.11305007587253414, 0.09484066767830046, 0.11153262518968134, 0.1039453717754173, 0.07738998482549317, 0.08877086494688922, 0.08573596358118361]",0.0072171927825667,3.311563103624525
PROSUSDT,2024-01-04-00:00,2024-01-05-00:00,first,"[0.2848432055749129, 0.20209059233449478, 0.13066202090592335, 0.08101045296167247, 0.08710801393728224, 0.05139372822299652, 0.0627177700348432, 0.04965156794425087, 0.050522648083623695]",0.0109200813435998,2.8696726380577817
PROSUSDT,2024-01-04-00:00,2024-01-05-00:00,second,"[0.13066202090592335, 0.11585365853658537, 0.09843205574912892, 0.11149825783972125, 0.10452961672473868, 0.08275261324041812, 0.07926829268292683, 0.08885017421602788, 0.07578397212543554, 0.11236933797909408]",0.0103416810850788,3.3007084582601554
PROSUSDT,2024-01-05-00:00,2024-01-06-00:00,first,"[0.3072227873855544, 0.1780264496439471, 0.12004069175991862, 0.10681586978636826, 0.07934893184130214, 0.06612410986775177, 0.048830111902339775, 0.03763987792472025, 0.05595116988809766]",0.0063100453798335,2.8508890358916292
PROSUSDT,2024-01-05-00:00,2024-01-06-00:00,second,"[0.12512716174974567, 0.11800610376398779, 0.11190233977619532, 0.08545269582909461, 0.09257375381485249, 0.09257375381485249, 0.08748728382502544, 0.08748728382502544, 0.08952187182095625, 0.10986775178026449]",0.00789339044893,3.308236511130698
PROSUSDT,2024-01-06-00:00,2024-01-07-00:00,first,"[0.3109691160809372, 0.16613418530351437, 0.14270500532481364, 0.09691160809371673, 0.07135250266240682, 0.06070287539936102, 0.043663471778487756, 0.05005324813631523, 0.05750798722044728]",0.0087683290842004,2.8489869695728616
PROSUSDT,2024-01-06-00:00,2024-01-07-00:00,second,"[0.11501597444089456, 0.09371671991480299, 0.1033013844515442, 0.09371671991480299, 0.09052183173588925, 0.08839190628328009, 0.0979765708200213, 0.07880724174653887, 0.0979765708200213, 0.14057507987220447]",0.0141172160185314,3.3039474436007206
PROSUSDT,2024-01-07-00:00,2024-01-08-00:00,first,"[0.321826280623608, 0.18040089086859687, 0.12806236080178174, 0.09465478841870824, 0.08685968819599109, 0.053452115812917596, 0.036748329621380846, 0.03897550111358575, 0.05902004454342984]",0.0109267860215878,2.804393375420505
PROSUSDT,2024-01-07-00:00,2024-01-08-00:00,second,"[0.0957683741648107, 0.10690423162583519, 0.08351893095768374, 0.09131403118040089, 0.10244988864142539, 0.0801781737193764, 0.08240534521158129, 0.09020044543429843, 0.0957683741648107, 0.1714922048997773]",0.019366971960376,3.2822092397944114
PROSUSDT,2024-01-08-00:00,2024-01-09-00:00,first,"[0.2995555555555556, 0.18755555555555556, 0.11288888888888889, 0.09244444444444444, 0.07377777777777778, 0.06577777777777778, 0.05333333333333334, 0.056, 0.058666666666666666]",0.0064935444796632,2.880814769984185
PROSUSDT,2024-01-08-00:00,2024-01-09-00:00,second,"[0.11288888888888889, 0.10755555555555556, 0.10755555555555556, 0.10844444444444444, 0.09244444444444444, 0.08711111111111111, 0.08711111111111111, 0.08, 0.10222222222222223, 0.11466666666666667]",0.009687273493164,3.311928731051673
PROSUSDT,2024-01-09-00:00,2024-01-10-00:00,first,"[0.321882001493652, 0.17699775952203137, 0.11053024645257654, 0.0888722927557879, 0.08289768483943241, 0.05750560119492158, 0.0537714712471994, 0.05078416728902166, 0.05675877520537715]",0.0081058288294512,2.8449108647925936
