symbol,start_date,end_date,actual_frequencies,digit_type,target,entropy
SNTUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.30863192182410426, 0.16286644951140064, 0.11970684039087948, 0.0985342019543974, 0.07980456026058631, 0.06351791530944625, 0.05537459283387622, 0.05374592833876222, 0.05781758957654723]",first,TA,2.885179150594105
SNTUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.1262214983713355, 0.11889250814332247, 0.10749185667752444, 0.09527687296416938, 0.0985342019543974, 0.0985342019543974, 0.08469055374592833, 0.08387622149837133, 0.09201954397394137, 0.09446254071661238]",second,TA,3.3098696247225616
SNTUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.31542594013814274, 0.17651573292402148, 0.12586339217191098, 0.08825786646201074, 0.07751343054489639, 0.06600153491941672, 0.059094397544128936, 0.051419800460475826, 0.039907904834996163]",first,TA,2.8437265845112094
SNTUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.12586339217191098, 0.13584036838066002, 0.09363008442056792, 0.10437452033768227, 0.10897927858787414, 0.09363008442056792, 0.0844205679201842, 0.07904834996162702, 0.08058326937835764, 0.09363008442056792]",second,TA,3.2993723154658237
SNTUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.30726256983240224, 0.15482841181165202, 0.11652035115722266, 0.09896249002394254, 0.0965682362330407, 0.0670391061452514, 0.05666400638467677, 0.04309656823623304, 0.05905826017557861]",first,TA,2.889649878053087
SNTUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.1524341580207502, 0.14365522745411013, 0.09976057462090981, 0.09337589784517158, 0.08140462889066241, 0.09257781324820431, 0.0782122905027933, 0.08379888268156424, 0.0782122905027933, 0.0965682362330407]",second,TA,3.2798756377928666
SNTUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.3066004258339248, 0.18026969481902058, 0.12349183818310859, 0.08658623136976579, 0.0794889992902768, 0.06529453513129879, 0.060326472675656495, 0.053229240596167494, 0.044712562100780694]",first,TA,2.8643031975146145
SNTUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.1156848828956707, 0.11781405251951739, 0.10078069552874379, 0.09794180269694819, 0.09439318665720368, 0.10432931156848829, 0.10007097232079488, 0.0887154009936125, 0.09723207948899928, 0.0830376153300213]",second,TA,3.314460904692353
SNTUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.29108327192336036, 0.18422991893883567, 0.11348563006632277, 0.08253500368459837, 0.07811348563006633, 0.07442888725128961, 0.05969049373618276, 0.051584377302873984, 0.06484893146647015]",first,TA,2.906752894501414
SNTUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.13411938098747236, 0.10759027266028003, 0.09948415622697127, 0.09801031687546058, 0.09285187914517318, 0.10832719233603537, 0.10095799557848195, 0.08695652173913043, 0.08327192336035372, 0.08843036109064112]",second,TA,3.3086116715173595
SNTUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.29282700421940927, 0.1518987341772152, 0.12742616033755275, 0.11645569620253164, 0.08607594936708861, 0.05907172995780591, 0.07257383966244725, 0.04725738396624472, 0.046413502109704644]",first,TA,2.9058169592217613
SNTUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.11308016877637131, 0.10126582278481013, 0.0970464135021097, 0.09789029535864979, 0.09873417721518987, 0.09451476793248945, 0.08354430379746836, 0.09535864978902954, 0.09873417721518987, 0.11983122362869199]",second,TA,3.3154986104090853
SNTUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.2849462365591398, 0.18727598566308243, 0.13440860215053763, 0.08781362007168458, 0.08064516129032258, 0.06451612903225806, 0.06989247311827956, 0.042114695340501794, 0.04838709677419355]",first,TA,2.8862256490393565
SNTUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.12007168458781362, 0.10752688172043011, 0.10663082437275985, 0.1039426523297491, 0.1039426523297491, 0.08064516129032258, 0.10304659498207885, 0.07885304659498207, 0.07437275985663082, 0.12096774193548387]",second,TA,3.3036515778958373
SNTUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.30351170568561875, 0.18478260869565216, 0.11120401337792642, 0.09280936454849498, 0.07107023411371237, 0.07441471571906355, 0.06605351170568562, 0.043478260869565216, 0.052675585284280936]",first,TA,2.872265371387051
SNTUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.10869565217391304, 0.0903010033444816, 0.10451505016722408, 0.09949832775919733, 0.09615384615384616, 0.09782608695652174, 0.10367892976588629, 0.10117056856187291, 0.1020066889632107, 0.09615384615384616]",second,TA,3.3201637572808025
SNTUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.29396984924623115, 0.17587939698492464, 0.11725293132328309, 0.10217755443886097, 0.09212730318257957, 0.06197654941373534, 0.0661641541038526, 0.046063651591289785, 0.04438860971524288]",first,TA,2.8878657179333933
SNTUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.11139028475711893, 0.10385259631490787, 0.10050251256281408, 0.09045226130653267, 0.09547738693467336, 0.09631490787269682, 0.10469011725293133, 0.08961474036850921, 0.10469011725293133, 0.10301507537688442]",second,TA,3.3188059081518557
SNTUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.2881646655231561, 0.1672384219554031, 0.1260720411663808, 0.09948542024013722, 0.07632933104631218, 0.06689536878216124, 0.08404802744425385, 0.06174957118353345, 0.030017152658662092]",first,TA,2.9011355944628834
SNTUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.09348198970840481, 0.10377358490566038, 0.10891938250428816, 0.09948542024013722, 0.10548885077186965, 0.09433962264150944, 0.09691252144082332, 0.10120068610634649, 0.11921097770154374, 0.07718696397941681]",second,TA,3.313841063967165
SNTUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.3018575851393189, 0.17414860681114552, 0.11996904024767802, 0.09442724458204334, 0.07739938080495357, 0.0696594427244582, 0.06037151702786378, 0.05804953560371517, 0.04411764705882353]",first,TA,2.88426130539103
SNTUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.12306501547987617, 0.09597523219814241, 0.10526315789473684, 0.09829721362229102, 0.10294117647058823, 0.10913312693498452, 0.09597523219814241, 0.08978328173374613, 0.10139318885448917, 0.0781733746130031]",second,TA,3.312743412356237
SNTUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.28559533721898417, 0.1765195670274771, 0.12656119900083265, 0.10741049125728559, 0.08576186511240633, 0.06827643630308076, 0.04412989175686927, 0.04829308909242298, 0.05745212323064113]",first,TA,2.8960651175014758
SNTUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.15154038301415487, 0.10741049125728559, 0.09908409658617819, 0.10990840965861781, 0.08409658617818484, 0.09242298084929226, 0.0890924229808493, 0.0974188176519567, 0.07660283097418817, 0.09242298084929226]",second,TA,3.2963091119455967
SNTUSDT,2024-01-13-00:00,2024-01-14-00:00,"[0.29992576095025986, 0.18040089086859687, 0.10541945063103192, 0.09205642167780252, 0.0801781737193764, 0.07275426874536006, 0.06607275426874536, 0.062360801781737196, 0.04083147735708983]",first,TA,2.889765428011825
SNTUSDT,2024-01-13-00:00,2024-01-14-00:00,"[0.1291759465478842, 0.10170749814402376, 0.09799554565701558, 0.10690423162583519, 0.08908685968819599, 0.10616184112843356, 0.09502598366740905, 0.08760207869339272, 0.09057164068299926, 0.0957683741648107]",second,TA,3.312631083349771
SNTUSDT,2024-01-14-00:00,2024-01-15-00:00,"[0.29608482871125613, 0.15823817292006526, 0.1166394779771615, 0.0929853181076672, 0.08401305057096248, 0.07422512234910278, 0.06688417618270799, 0.06035889070146819, 0.05057096247960848]",first,TA,2.9228911035863647
SNTUSDT,2024-01-14-00:00,2024-01-15-00:00,"[0.15742251223491027, 0.10195758564437195, 0.1199021207177814, 0.09380097879282219, 0.0929853181076672, 0.100326264274062, 0.07911908646003263, 0.09380097879282219, 0.07830342577487764, 0.08238172920065252]",second,TA,3.28862756917653
SNTUSDT,2024-01-15-00:00,2024-01-16-00:00,"[0.3112745098039216, 0.15522875816993464, 0.12009803921568628, 0.07679738562091504, 0.08741830065359477, 0.08251633986928104, 0.06045751633986928, 0.05718954248366013, 0.049019607843137254]",first,TA,2.8912976024569215
SNTUSDT,2024-01-15-00:00,2024-01-16-00:00,"[0.12091503267973856, 0.1184640522875817, 0.09068627450980392, 0.0923202614379085, 0.10049019607843138, 0.11764705882352941, 0.08741830065359477, 0.08496732026143791, 0.09477124183006536, 0.0923202614379085]",second,TA,3.309893152442032
SNTUSDT,2024-01-16-00:00,2024-01-17-00:00,"[0.2975018925056775, 0.1627554882664648, 0.12414837244511734, 0.08781226343679031, 0.09386828160484481, 0.08402725208175625, 0.05450416351249054, 0.05147615442846329, 0.04390613171839516]",first,TA,2.8961832872645163
SNTUSDT,2024-01-16-00:00,2024-01-17-00:00,"[0.12566237698713095, 0.09992429977289932, 0.1165783497350492, 0.0991672975018925, 0.11203633610900833, 0.08781226343679031, 0.08705526116578349, 0.10598031794095382, 0.0817562452687358, 0.08402725208175625]",second,TA,3.3075025688057806
SNTUSDT,2024-01-17-00:00,2024-01-18-00:00,"[0.26294498381877024, 0.16019417475728157, 0.1302588996763754, 0.08980582524271845, 0.08980582524271845, 0.09223300970873786, 0.07362459546925566, 0.05016181229773463, 0.050970873786407765]",first,TA,2.9672281566649548
SNTUSDT,2024-01-17-00:00,2024-01-18-00:00,"[0.13673139158576053, 0.11974110032362459, 0.12135922330097088, 0.09951456310679611, 0.09061488673139159, 0.09951456310679611, 0.0784789644012945, 0.09061488673139159, 0.08414239482200647, 0.07928802588996764]",second,TA,3.297308142487201
SNTUSDT,2024-01-18-00:00,2024-01-19-00:00,"[0.29606784888203547, 0.17347725520431764, 0.1218195836545875, 0.09406322282189669, 0.07555898226676946, 0.06630686198920586, 0.08018504240555127, 0.05011565150346955, 0.04240555127216654]",first,TA,2.891889180519655
SNTUSDT,2024-01-18-00:00,2024-01-19-00:00,"[0.14186584425597532, 0.117964533538936, 0.09946029298380879, 0.1063993831919815, 0.1117964533538936, 0.08866615265998458, 0.08635312259059368, 0.08789514263685427, 0.07864302235929067, 0.08095605242868158]",second,TA,3.2974662477802354
SNTUSDT,2024-01-19-00:00,2024-01-20-00:00,"[0.3012232415902141, 0.17737003058103976, 0.10474006116207951, 0.09250764525993883, 0.08180428134556575, 0.07033639143730887, 0.06880733944954129, 0.053516819571865444, 0.04969418960244648]",first,TA,2.894409807137178
SNTUSDT,2024-01-19-00:00,2024-01-20-00:00,"[0.12385321100917432, 0.13761467889908258, 0.09480122324159021, 0.0963302752293578, 0.09097859327217125, 0.10015290519877676, 0.08868501529051988, 0.10015290519877676, 0.09250764525993883, 0.07492354740061162]",second,TA,3.301742526751612
