symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
STGUSDT,2024-01-01-00:00,2024-01-02-00:00,first,"[0.30858806404657935, 0.17831149927219797, 0.1215429403202329, 0.10334788937409024, 0.07278020378457059, 0.05458515283842795, 0.053857350800582245, 0.05167394468704512, 0.055312954876273655]",0.0058429047823135,2.857952037048807
STGUSDT,2024-01-01-00:00,2024-01-02-00:00,second,"[0.11062590975254731, 0.12299854439592431, 0.11353711790393013, 0.11135371179039301, 0.10480349344978165, 0.0982532751091703, 0.07569141193595343, 0.09461426491994178, 0.08733624454148471, 0.08078602620087336]",0.0062363635171223,3.3063085175827203
STGUSDT,2024-01-02-00:00,2024-01-03-00:00,first,"[0.2718239886444287, 0.177430801987225, 0.12916962384669978, 0.10929737402413059, 0.07806955287437899, 0.0745209368346345, 0.058907026259758695, 0.05535841022001419, 0.0454222853087296]",0.0068117567654986,2.9246967483027784
STGUSDT,2024-01-02-00:00,2024-01-03-00:00,second,"[0.12207239176721078, 0.11426543647977289, 0.11497515968772179, 0.10432931156848829, 0.08445706174591909, 0.10432931156848829, 0.09439318665720368, 0.08374733853797019, 0.0908445706174592, 0.08658623136976579]",0.0044912079831529,3.309361334352868
STGUSDT,2024-01-03-00:00,2024-01-04-00:00,first,"[0.2851123595505618, 0.17134831460674158, 0.14396067415730338, 0.10112359550561797, 0.08356741573033707, 0.07443820224719101, 0.056179775280898875, 0.0449438202247191, 0.03932584269662921]",0.0078029116324122,2.885425903864997
STGUSDT,2024-01-03-00:00,2024-01-04-00:00,second,"[0.1151685393258427, 0.11095505617977527, 0.12148876404494383, 0.10533707865168539, 0.11797752808988764, 0.09550561797752809, 0.09901685393258428, 0.07724719101123595, 0.07584269662921349, 0.08146067415730338]",0.0073972454864035,3.3025356766081417
STGUSDT,2024-01-04-00:00,2024-01-05-00:00,first,"[0.29796205200281095, 0.1932536893886156, 0.129304286718201, 0.08995080815179199, 0.08292340126493324, 0.05762473647224174, 0.054111033028812365, 0.054813773717498245, 0.04005621925509487]",0.0064291970956135,2.851299263688727
STGUSDT,2024-01-04-00:00,2024-01-05-00:00,second,"[0.12719606465214336, 0.10681658468025299, 0.09135628952916373, 0.09627547434996486, 0.09768095572733661, 0.09416725228390724, 0.08222066057624737, 0.09557273366127898, 0.11665495432185524, 0.09205903021784961]",0.0097768238700178,3.3108080444175676
STGUSDT,2024-01-05-00:00,2024-01-06-00:00,first,"[0.3021276595744681, 0.18723404255319148, 0.11773049645390071, 0.10212765957446808, 0.08652482269503546, 0.06382978723404255, 0.05531914893617021, 0.04113475177304964, 0.04397163120567376]",0.0055114823604043,2.8512430874116133
STGUSDT,2024-01-05-00:00,2024-01-06-00:00,second,"[0.11418439716312057, 0.1099290780141844, 0.1127659574468085, 0.1, 0.09574468085106383, 0.11134751773049645, 0.10070921985815603, 0.09219858156028368, 0.07304964539007092, 0.09007092198581561]",0.0065738773326795,3.3107191564112965
STGUSDT,2024-01-06-00:00,2024-01-07-00:00,first,"[0.2892086330935252, 0.18489208633093526, 0.12302158273381295, 0.10575539568345324, 0.08273381294964029, 0.06762589928057554, 0.0618705035971223, 0.04316546762589928, 0.041726618705035974]",0.0057236540271253,2.8781564237203794
STGUSDT,2024-01-06-00:00,2024-01-07-00:00,second,"[0.13525179856115108, 0.11510791366906475, 0.10359712230215827, 0.1, 0.1, 0.09424460431654676, 0.09136690647482014, 0.08633093525179857, 0.07985611510791367, 0.09424460431654676]",0.0052075184969266,3.306600943162695
STGUSDT,2024-01-07-00:00,2024-01-08-00:00,first,"[0.3044117647058823, 0.18308823529411763, 0.11764705882352941, 0.0875, 0.08455882352941177, 0.060294117647058824, 0.06691176470588235, 0.04779411764705882, 0.04779411764705882]",0.0059361705726008,2.8676235547447884
STGUSDT,2024-01-07-00:00,2024-01-08-00:00,second,"[0.14558823529411766, 0.11397058823529412, 0.11029411764705882, 0.08970588235294118, 0.09485294117647058, 0.1, 0.08676470588235294, 0.0875, 0.07794117647058824, 0.09338235294117647]",0.0078339670495373,3.2991073833641167
STGUSDT,2024-01-08-00:00,2024-01-09-00:00,first,"[0.27591136526090065, 0.18656182987848463, 0.10864903502501787, 0.11508220157255182, 0.09578270192994996, 0.06433166547533953, 0.057183702644746245, 0.053609721229449604, 0.04288777698355969]",0.0106003142337093,2.907373745223509
STGUSDT,2024-01-08-00:00,2024-01-09-00:00,second,"[0.1093638313080772, 0.10293066476054324, 0.09792709077912795, 0.12008577555396711, 0.10793423874195854, 0.0943531093638313, 0.10007147962830593, 0.091493924231594, 0.09363831308077197, 0.08220157255182273]",0.0074578380213115,3.3145420817910582
STGUSDT,2024-01-09-00:00,2024-01-10-00:00,first,"[0.3114874815905744, 0.1723122238586156, 0.12002945508100148, 0.0898379970544919, 0.08026509572901326, 0.0743740795287187, 0.06480117820324006, 0.05154639175257732, 0.035346097201767304]",0.0058159391192969,2.858448328755737
STGUSDT,2024-01-09-00:00,2024-01-10-00:00,second,"[0.12960235640648013, 0.10898379970544919, 0.101620029455081, 0.10014727540500737, 0.09425625920471281, 0.10677466863033873, 0.09646539027982327, 0.0817378497790869, 0.0780559646539028, 0.10235640648011782]",0.0080940459113656,3.3085430557400324
STGUSDT,2024-01-10-00:00,2024-01-11-00:00,first,"[0.29836309523809523, 0.16964285714285715, 0.1130952380952381, 0.07589285714285714, 0.09226190476190477, 0.07217261904761904, 0.06696428571428571, 0.05952380952380952, 0.052083333333333336]",0.0093279903815491,2.9091441751675746
STGUSDT,2024-01-10-00:00,2024-01-11-00:00,second,"[0.12053571428571429, 0.13690476190476192, 0.11011904761904762, 0.11681547619047619, 0.08482142857142858, 0.08556547619047619, 0.07886904761904762, 0.09226190476190477, 0.07217261904761904, 0.10193452380952381]",0.0113003312006456,3.2941564664739476
STGUSDT,2024-01-11-00:00,2024-01-12-00:00,first,"[0.3352073085031623, 0.15249472944483486, 0.13633169360505973, 0.08362614195361912, 0.08292340126493324, 0.06605762473647224, 0.05340829234012649, 0.04567814476458187, 0.04427266338721012]",0.0109583166784998,2.8186808944502486
STGUSDT,2024-01-11-00:00,2024-01-12-00:00,second,"[0.11314125087842586, 0.12789880534082923, 0.11103302881236823, 0.11524947294448348, 0.09838369641602249, 0.09697821503865074, 0.09557273366127898, 0.08081517919887561, 0.084328882642305, 0.07659873506676036]",0.0059278243136455,3.3038883292306265
STGUSDT,2024-01-12-00:00,2024-01-13-00:00,first,"[0.2984330484330484, 0.19444444444444445, 0.10968660968660969, 0.08262108262108261, 0.08262108262108261, 0.06552706552706553, 0.0641025641025641, 0.05555555555555555, 0.04700854700854701]",0.0074572730318098,2.874904729632489
STGUSDT,2024-01-12-00:00,2024-01-13-00:00,second,"[0.11538461538461539, 0.12179487179487179, 0.10113960113960115, 0.09472934472934473, 0.1047008547008547, 0.10113960113960115, 0.10185185185185185, 0.08475783475783476, 0.08831908831908832, 0.08618233618233619]",0.0054341842183111,3.3124577258203125
STGUSDT,2024-01-13-00:00,2024-01-14-00:00,first,"[0.3176815847395451, 0.16214233308877476, 0.11592076302274394, 0.07997065297138664, 0.09537784299339692, 0.07850330154071901, 0.0652971386647102, 0.04548789435069699, 0.03961848862802641]",0.0114910865818811,2.8588825964968527
STGUSDT,2024-01-13-00:00,2024-01-14-00:00,second,"[0.1305942773294204, 0.10271460014673514, 0.10931768158473955, 0.11225238444607484, 0.09537784299339692, 0.09904622157006603, 0.09317681584739546, 0.08657373440939105, 0.07776962582538519, 0.09317681584739546]",0.0059764930168666,3.307997651420587
STGUSDT,2024-01-14-00:00,2024-01-15-00:00,first,"[0.30312750601443467, 0.17321571772253408, 0.10344827586206896, 0.09623095429029671, 0.10425020048115477, 0.07778668805132317, 0.06094627105052125, 0.0408981555733761, 0.040096230954290296]",0.0091023749505617,2.8710245160026115
STGUSDT,2024-01-14-00:00,2024-01-15-00:00,second,"[0.15477145148356056, 0.11868484362469928, 0.11146752205292702, 0.09783480352846832, 0.08901363271852446, 0.10264635124298316, 0.07858861267040898, 0.06655974338412189, 0.07939053728949479, 0.10104250200481155]",0.0129094423078042,3.283107301525033
STGUSDT,2024-01-15-00:00,2024-01-16-00:00,first,"[0.32153614457831325, 0.17093373493975902, 0.10015060240963855, 0.08207831325301204, 0.08283132530120482, 0.07530120481927711, 0.06927710843373494, 0.0572289156626506, 0.04066265060240964]",0.0110827106728652,2.859989837705133
STGUSDT,2024-01-15-00:00,2024-01-16-00:00,second,"[0.13478915662650603, 0.12048192771084337, 0.11295180722891567, 0.10090361445783133, 0.0911144578313253, 0.09337349397590361, 0.08734939759036145, 0.08433734939759036, 0.07981927710843373, 0.09487951807228916]",0.0071428373141832,3.3027205654913976
STGUSDT,2024-01-16-00:00,2024-01-17-00:00,first,"[0.3136503067484663, 0.18174846625766872, 0.09662576687116564, 0.09355828220858896, 0.09662576687116564, 0.059049079754601226, 0.06748466257668712, 0.04754601226993865, 0.04371165644171779]",0.0100477232686697,2.85292254035709
STGUSDT,2024-01-16-00:00,2024-01-17-00:00,second,"[0.14263803680981596, 0.11886503067484662, 0.1142638036809816, 0.08742331288343558, 0.09969325153374232, 0.09279141104294479, 0.08895705521472393, 0.0897239263803681, 0.07285276073619631, 0.09279141104294479]",0.0082340118281902,3.296998198419045
STGUSDT,2024-01-17-00:00,2024-01-18-00:00,first,"[0.2976776917663617, 0.17874736101337085, 0.1294862772695285, 0.08515130190007038, 0.0781140042223786, 0.06403940886699508, 0.06052076002814919, 0.059113300492610835, 0.047149894440534836]",0.004241252798771,2.883989921905697
STGUSDT,2024-01-17-00:00,2024-01-18-00:00,second,"[0.12526389866291343, 0.1266713581984518, 0.09218859957776214, 0.10204081632653061, 0.09570724841660802, 0.09359605911330049, 0.09711470795214637, 0.08515130190007038, 0.08585503166783955, 0.0964109781843772]",0.0067038966305446,3.308675338236085
STGUSDT,2024-01-18-00:00,2024-01-19-00:00,first,"[0.32395382395382394, 0.18398268398268397, 0.11255411255411256, 0.0836940836940837, 0.0873015873015873, 0.07215007215007214, 0.04329004329004329, 0.049783549783549784, 0.04329004329004329]",0.0098086393311704,2.818790574133241
STGUSDT,2024-01-18-00:00,2024-01-19-00:00,second,"[0.1176046176046176, 0.12698412698412698, 0.11544011544011544, 0.09668109668109669, 0.09812409812409813, 0.10028860028860029, 0.09812409812409813, 0.08946608946608947, 0.07431457431457432, 0.08297258297258298]",0.0056146733677034,3.3049286739566544
STGUSDT,2024-01-19-00:00,2024-01-20-00:00,first,"[0.3045032165832738, 0.1958541815582559, 0.13581129378127232, 0.091493924231594, 0.07576840600428877, 0.04932094353109364, 0.056468906361686916, 0.04646175839885633, 0.04431736954967834]",0.0075797112432976,2.825176552791279
STGUSDT,2024-01-19-00:00,2024-01-20-00:00,second,"[0.11794138670478914, 0.12080057183702644, 0.10650464617583988, 0.10293066476054324, 0.10507505360972123, 0.09077912794853467, 0.091493924231594, 0.08434596140100072, 0.09649749821300929, 0.08363116511794139]",0.0041209528811519,3.311090506373022
STGUSDT,2024-01-20-00:00,2024-01-21-00:00,first,"[0.2903930131004367, 0.21179039301310043, 0.12008733624454149, 0.08078602620087336, 0.07423580786026202, 0.06695778748180495, 0.06331877729257641, 0.05604075691411936, 0.036390101892285295]",0.0102055992422752,2.8514542633786033
STGUSDT,2024-01-20-00:00,2024-01-21-00:00,second,"[0.11790393013100436, 0.11280931586608442, 0.09970887918486172, 0.11499272197962154, 0.10043668122270742, 0.10262008733624454, 0.07933042212518195, 0.09606986899563319, 0.09170305676855896, 0.08442503639010189]",0.0053170750306879,3.3112179383539107
STGUSDT,2024-01-21-00:00,2024-01-22-00:00,first,"[0.28433734939759037, 0.2, 0.10441767068273092, 0.10120481927710843, 0.09799196787148594, 0.06827309236947791, 0.058634538152610445, 0.05381526104417671, 0.03132530120481928]",0.0114768670106257,2.871181455294449
STGUSDT,2024-01-21-00:00,2024-01-22-00:00,second,"[0.12931726907630522, 0.12208835341365462, 0.0963855421686747, 0.09558232931726908, 0.09236947791164658, 0.09156626506024096, 0.08353413654618475, 0.09156626506024096, 0.09236947791164658, 0.10522088353413654]",0.0088146964170779,3.3085496546169755
STGUSDT,2024-01-22-00:00,2024-01-23-00:00,first,"[0.32112890922959575, 0.15865751334858885, 0.12128146453089245, 0.09763539282990084, 0.08771929824561403, 0.05110602593440122, 0.060259344012204424, 0.04958047292143402, 0.05263157894736842]",0.0085564068903687,2.8544064084640732
STGUSDT,2024-01-22-00:00,2024-01-23-00:00,second,"[0.12662090007627766, 0.12204424103737604, 0.10068649885583524, 0.09992372234935164, 0.09992372234935164, 0.06941266209000763, 0.09839816933638444, 0.08085430968726164, 0.08314263920671243, 0.11899313501144165]",0.0108229971232628,3.2988974890026315
STGUSDT,2024-01-23-00:00,2024-01-24-00:00,first,"[0.2920289855072464, 0.19130434782608696, 0.12318840579710146, 0.09420289855072464, 0.08478260869565217, 0.06304347826086956, 0.05289855072463768, 0.05289855072463768, 0.04565217391304348]",0.0050134399323754,2.873427610396267
STGUSDT,2024-01-23-00:00,2024-01-24-00:00,second,"[0.1282608695652174, 0.11884057971014493, 0.11231884057971014, 0.09710144927536232, 0.0927536231884058, 0.10072463768115943, 0.1, 0.0891304347826087, 0.07391304347826087, 0.08695652173913043]",0.0059322509244731,3.305153515349806
STGUSDT,2024-01-24-00:00,2024-01-25-00:00,first,"[0.31085043988269795, 0.19208211143695014, 0.10997067448680352, 0.09310850439882698, 0.07991202346041056, 0.0689149560117302, 0.05791788856304985, 0.04912023460410557, 0.03812316715542522]",0.0063356089764196,2.838852399991594
STGUSDT,2024-01-24-00:00,2024-01-25-00:00,second,"[0.13196480938416422, 0.12243401759530792, 0.10703812316715543, 0.10117302052785923, 0.10557184750733138, 0.09530791788856305, 0.08577712609970674, 0.0813782991202346, 0.0872434017595308, 0.08211143695014662]",0.0052186200429573,3.303217482414211
STGUSDT,2024-01-25-00:00,2024-01-26-00:00,first,"[0.2941628264208909, 0.20814132104454686, 0.09831029185867896, 0.07910906298003072, 0.09293394777265745, 0.065284178187404, 0.06374807987711213, 0.05145929339477726, 0.04685099846390169]",0.0117687056586547,2.8650362563455425
STGUSDT,2024-01-25-00:00,2024-01-26-00:00,second,"[0.13748079877112135, 0.11981566820276497, 0.10906298003072197, 0.09293394777265745, 0.08525345622119816, 0.10445468509984639, 0.08218125960061444, 0.07526881720430108, 0.07987711213517665, 0.11367127496159754]",0.0120839896392184,3.2957681251813167
STGUSDT,2024-01-26-00:00,2024-01-27-00:00,first,"[0.23563636363636364, 0.28363636363636363, 0.10981818181818181, 0.09090909090909091, 0.072, 0.06545454545454546, 0.05381818181818182, 0.04872727272727273, 0.04]",0.0238989121290405,2.827275708654704
STGUSDT,2024-01-26-00:00,2024-01-27-00:00,second,"[0.10545454545454545, 0.09236363636363637, 0.10690909090909091, 0.128, 0.13454545454545455, 0.10254545454545455, 0.09381818181818181, 0.08581818181818182, 0.07127272727272728, 0.07927272727272727]",0.0128438713650386,3.2961848228445776
STGUSDT,2024-01-27-00:00,2024-01-28-00:00,first,"[0.25656877897990726, 0.2241112828438949, 0.1151468315301391, 0.09041731066460587, 0.08964451313755796, 0.05332302936630603, 0.0695517774343122, 0.05100463678516229, 0.05023183925811438]",0.0165594377849358,2.9003420021483803
STGUSDT,2024-01-27-00:00,2024-01-28-00:00,second,"[0.11051004636785162, 0.11360123647604328, 0.10973724884080371, 0.10123647604327667, 0.11282843894899536, 0.09814528593508501, 0.09582689335394126, 0.08500772797527048, 0.07109737248840804, 0.10200927357032458]",0.0068736231466022,3.3094681805658306
STGUSDT,2024-01-28-00:00,2024-01-29-00:00,first,"[0.31840390879478825, 0.18403908794788273, 0.11237785016286644, 0.0781758957654723, 0.08713355048859935, 0.0781758957654723, 0.0496742671009772, 0.052931596091205214, 0.03908794788273615]",0.0102849391650369,2.8335896585260585
STGUSDT,2024-01-28-00:00,2024-01-29-00:00,second,"[0.13599348534201955, 0.11237785016286644, 0.10586319218241043, 0.10260586319218241, 0.08469055374592833, 0.10179153094462541, 0.10586319218241043, 0.08143322475570032, 0.07654723127035831, 0.09283387622149837]",0.0083506984901244,3.302776366097926
STGUSDT,2024-01-29-00:00,2024-01-30-00:00,first,"[0.28785488958990535, 0.18533123028391169, 0.11829652996845426, 0.10015772870662461, 0.0859621451104101, 0.0694006309148265, 0.055205047318611984, 0.04810725552050473, 0.04968454258675079]",0.0056998842888606,2.892556334823113
STGUSDT,2024-01-29-00:00,2024-01-30-00:00,second,"[0.11514195583596215, 0.1056782334384858, 0.11593059936908517, 0.08832807570977919, 0.09936908517350158, 0.09779179810725552, 0.09069400630914827, 0.09700315457413249, 0.09069400630914827, 0.09936908517350158]",0.006474102763827,3.315963003196895
STGUSDT,2024-01-30-00:00,2024-01-31-00:00,first,"[0.27299925205684367, 0.22288706058339566, 0.12715033657442035, 0.09199700822737472, 0.09424083769633508, 0.0605833956619297, 0.04487658937920718, 0.039640987284966345, 0.0456245325355273]",0.0142371095872322,2.84397522426142
STGUSDT,2024-01-30-00:00,2024-01-31-00:00,second,"[0.14136125654450263, 0.10471204188481675, 0.1099476439790576, 0.11069558713537771, 0.08227374719521316, 0.0987284966342558, 0.08900523560209424, 0.09349289454001496, 0.08077786088257292, 0.08900523560209424]",0.0076748418944672,3.3019554186940683
STGUSDT,2024-01-31-00:00,2024-02-01-00:00,first,"[0.28996865203761757, 0.2061128526645768, 0.12147335423197492, 0.0877742946708464, 0.09012539184952978, 0.06426332288401254, 0.05956112852664577, 0.04467084639498432, 0.03605015673981191]",0.0094522046577243,2.8479599799812636
STGUSDT,2024-01-31-00:00,2024-02-01-00:00,second,"[0.13322884012539185, 0.1042319749216301, 0.11990595611285267, 0.10501567398119123, 0.0932601880877743, 0.09796238244514106, 0.08463949843260188, 0.08855799373040753, 0.07366771159874608, 0.09952978056426333]",0.0082275435070953,3.3030755885304455
STGUSDT,2024-02-01-00:00,2024-02-02-00:00,first,"[0.2838758516275549, 0.19303557910673733, 0.12263436790310371, 0.08856926570779712, 0.08402725208175625, 0.07494322482967448, 0.059046177138531414, 0.04466313398940197, 0.04920514761544285]",0.0076196996666358,2.8903093530943007
STGUSDT,2024-02-01-00:00,2024-02-02-00:00,second,"[0.12112036336109008, 0.11582134746404239, 0.10295230885692658, 0.08932626797880394, 0.08327024981074943, 0.10825132475397427, 0.09538228614685844, 0.093111279333838, 0.09386828160484481, 0.09689629068887207]",0.0075820869715134,3.312809355333574
STGUSDT,2024-02-02-00:00,2024-02-03-00:00,first,"[0.31217838765008576, 0.2006861063464837, 0.10891938250428816, 0.09262435677530018, 0.09005145797598628, 0.058319039451114926, 0.05231560891938251, 0.03945111492281304, 0.045454545454545456]",0.0103585447122818,2.816875861287687
STGUSDT,2024-02-02-00:00,2024-02-03-00:00,second,"[0.12264150943396226, 0.1234991423670669, 0.1320754716981132, 0.11749571183533447, 0.08404802744425385, 0.09090909090909091, 0.08490566037735849, 0.07204116638078903, 0.06432246998284734, 0.10806174957118353]",0.0144111603214126,3.2844300337870513
STGUSDT,2024-02-03-00:00,2024-02-04-00:00,first,"[0.32255083179297594, 0.16820702402957485, 0.10073937153419593, 0.09704251386321626, 0.09149722735674677, 0.07208872458410351, 0.05545286506469501, 0.04713493530499076, 0.04528650646950092]",0.0086913896103926,2.8497489888020477
STGUSDT,2024-02-03-00:00,2024-02-04-00:00,second,"[0.12107208872458411, 0.11367837338262476, 0.1266173752310536, 0.10073937153419593, 0.08872458410351201, 0.09242144177449169, 0.08410351201478743, 0.07208872458410351, 0.07763401109057301, 0.12292051756007394]",0.011422372371126,3.2959449354575696
